time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.01,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.02,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.03,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.04,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.05,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.06,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.07,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.08,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.09,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.1,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.11,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.12,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.13,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.14,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.15,-0.275812,-4.050989,9.076897,10.43,-20.825001,4.305
0.16,-0.631398875,-4.5075632500000005,7.626777000000001,10.43,-20.825001,4.305
0.17,-0.942537390625,-4.90706571875,6.357922,10.43,-20.825001,4.305
0.18,-1.214783591796875,-5.256630378906251,5.247673875,10.43,-20.825001,4.305
0.19,-1.4529990178222656,-5.5624994565429695,4.276206765625,10.43,-20.825001,4.305
0.2,-1.6614375155944825,-5.830134899475099,3.4261730449218755,10.43,-20.825001,4.305
0.21,-1.8438212011451722,-6.064315912040712,2.6823935393066414,10.43,-20.825001,4.305
0.22,-2.0034069260020257,-6.269224298035623,2.031586471893311,10.43,-20.825001,4.305
0.23,-2.1430444352517726,-6.44851913578117,1.4621302879066471,10.43,-20.825001,4.305
0.24,-2.265227255845301,-6.605402118808525,0.9638561269183163,10.43,-20.825001,4.305
0.25,-2.3721372238646383,-6.742674728957459,0.5278662360535268,10.43,-20.825001,4.305
0.26,-2.4656834458815586,-6.8627882628377765,0.14637508154683593,-14.634374750000003,-10.898126125000001,-1.0850002500000002
0.27,-2.5475363901463637,-6.967887604983055,-0.18742967864651855,-36.565702656250004,-2.2121106093750003,-5.80125046875
0.28,-2.6191577163780684,-7.059849529360173,-0.4795088438157037,-55.755614574218754,5.388152966796875,-9.927969410156251
0.29,-2.6818263768308097,-7.140316213190152,-0.7350781133387407,-72.54678750244142,12.038383595947266,-13.53884848388672
0.3,-2.7366614547269585,-7.210724561541383,-0.9587012241713981,-87.23906381463624,17.85733539645386,-16.69836767340088
0.31,-2.7846421478860885,-7.27233186634871,-1.1543714461499732,-100.09480558780672,22.948918221897127,-19.46294696422577
0.32,-2.8728716294003274,-11.086236258055122,-3.1728147653812266,-111.34357963933088,27.40405319415999,-21.88195384369755
0.33,-2.950072425725286,-14.42340260079823,-4.9389526697085735,-121.18625693441453,31.30229629488999,-23.998584863235354
0.34,-3.0176231225096255,-17.343423150698452,-6.484323335995002,-129.7985995676127,34.71325900802874,-25.850637005330935
0.35,-3.076729982195922,-19.898441131861144,-7.836522668995627,-137.33439937166114,37.69785138202515,-27.47118262966457
0.36,-3.128448484421432,-22.1340818653785,-9.019697085371174,-143.9282242002035,40.309369709272005,-28.889160050956498
0.37,-3.1737021738687528,-24.09026750720619,-10.054974699699777,-149.69782092517806,42.594448245613,-30.129890294586936
0.38,-3.2132991521351584,-25.801929943805415,-10.960842612237304,-154.7462180595308,44.59389196491137,-31.215529257763567
0.39,-3.2479465081182637,-27.29963457582974,-11.753477035707641,-159.16356555208947,46.343405219297445,-32.16546335054312
0.4,-3.2782629446034806,-28.61012612885102,-12.447032156244186,-163.02874460807828,47.87422931688526,-32.99665568172523
