time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.01,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.02,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.03,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.04,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.05,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.06,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.07,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.08,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.09,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.1,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.11,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.12,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.13,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.14,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.15,-0.457771,-4.978024,6.087019,-20.335,-24.535001,7.84
0.16,-0.838736375,-5.472235125,5.430864,-20.335,-24.535001,7.84
0.17,-1.172081078125,-5.904669859375001,4.856728374999999,-20.335,-24.535001,7.84
0.18,-1.463757693359375,-6.283050251953126,4.354359703124999,-20.335,-24.535001,7.84
0.19,-1.7189747316894533,-6.614133095458985,3.914787115234374,-20.335,-24.535001,7.84
0.2,-1.9422896402282717,-6.903830583526613,3.5301611008300773,-20.335,-24.535001,7.84
0.21,-2.137690185199738,-7.157315885585787,3.1936133382263177,-20.335,-24.535001,7.84
0.22,-2.3086656620497705,-7.379115524887563,2.899134045948028,-20.335,-24.535001,7.84
0.23,-2.4582692042935492,-7.573190209276618,2.641464665204525,-20.335,-24.535001,7.84
0.24,-2.5891723037568553,-7.743005558117041,2.4160039570539595,-24.364374875,-13.046250750000002,4.1343749999999995
0.25,-2.7037125157872484,-7.891593988352411,2.2187258374222147,-27.890077890624998,-2.9935942812500027,0.8919531249999997
0.26,-2.803935201313842,-8.021608864808359,2.046107482744438,-30.97506802929687,5.8024801289062475,-1.9451660156250004
