time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-0.831267,-2.928588,8.34906,14.175,-29.399999,1.925
0.01,-0.8244704589843749,-2.92772458984375,8.344683847656249,14.175,-29.399999,1.925
0.02,-0.8066295388183593,-2.925458138183594,8.333196447753906,14.175,-29.399999,1.925
0.03,-0.7754079285278319,-2.9214918477783205,8.313093497924804,14.175,-29.399999,1.925
0.04,-0.7305892885208128,-2.912746195755005,8.281540213668823,14.175,-29.399999,1.925
0.05,-0.6727004719491003,-2.8973805869226457,8.237191144904136,14.175,-29.399999,1.925
0.06,-0.6019477704768775,-2.87542920196116,8.177292641142248,14.175,-29.399999,1.925
0.07,-0.5202315673269926,-2.8454741374194024,8.100346594875633,14.175,-29.399999,1.925
0.08,-0.4294556607133037,-2.806967922851212,8.006232187952511,14.175,-29.399999,1.925
0.09,-0.33217313104630053,-2.7605258808193156,7.8957235116137126,14.175,-29.399999,1.925
0.1,-0.23056392914168203,-2.7069919290683395,7.770259425037147,14.175,-29.399999,1.925
0.11,-0.1269594009387391,-2.6478657956294898,7.631346527460764,14.175,-29.399999,1.925
0.12,-0.023209455351422548,-2.584507950903696,7.48084331552165,14.175,-29.399999,1.925
0.13,0.07923772815634439,-2.5181353809076716,7.3207868096776965,14.175,-29.399999,1.925
0.14,0.17891975510432084,-2.4492774444884358,7.1519899356882926,14.175,-29.399999,1.925
0.15,0.27478105930235985,-2.3785300519628976,6.975702534390665,14.175,-29.399999,1.925
0.16,0.36546129581507136,-2.305810097209112,6.790964214005999,14.175,-29.399999,1.925
0.17,0.4494558668684818,-2.23065626757854,6.595226035393994,14.175,-29.399999,1.925
0.18,0.5258800322918459,-2.1530108850213194,6.387635359754826,14.175,-29.399999,1.925
0.19,0.5917523055224135,-2.0736168381621405,6.166701477131264,14.175,-29.399999,1.925
0.2,0.6454000683257858,-1.9932020087583684,5.932430580728288,14.175,-29.399999,1.925
0.21,0.681624868382033,-1.9130677239353169,5.687857907789761,14.175,-29.399999,1.925
0.22,0.6976220401338205,-1.8342302288258572,5.435937165603507,14.175,-29.399999,1.925
0.23,0.6923505881998603,-1.7574685863244917,5.179454877344058,14.175,-29.399999,1.925
0.24,0.6617128324185091,-1.6851575102162548,4.919088550337065,14.175,-29.399999,1.925
0.25,0.6041134449479316,-1.6188378705084243,4.655967481832825,14.175,-29.399999,1.925
0.26,0.5181955016375106,-1.5609374571451315,4.389702186163945,14.175,-29.399999,1.925
0.27,0.40692444426092833,-1.5115426048619631,4.1180259987003005,14.175,-29.399999,1.925
0.28,0.27359360503538227,-1.470442152180065,3.840183548033326,14.175,-29.399999,1.925
0.29,0.12611960308275044,-1.436312568384998,3.5527465760536523,14.175,-29.399999,1.925
0.3,-0.029298296087684694,-1.408034321119793,3.2543920825842196,14.175,-29.399999,1.925
0.31,-0.186217048125052,-1.3851971608632943,2.940730532284233,14.175,-29.399999,1.925
0.32,-0.33994934496790874,-1.3673370596082912,2.6100916247214236,14.175,-29.399999,1.925
0.33,-0.48719171601539857,-1.3539641798484343,2.262731664034616,14.175,-29.399999,1.925
0.34,-0.6261196213854059,-1.3451770327989359,1.8998448053976973,14.175,-29.399999,1.925
0.35,-0.755596680530995,-1.3408617324719823,1.52360697427587,14.175,-29.399999,1.925
0.36,-0.8752016786673863,-1.340944895622673,1.1385049160995124,14.175,-29.399999,1.925
0.37,-0.9840236092963109,-1.345472182773157,0.750835718243617,14.175,-29.399999,1.925
0.38,-1.0817029613350135,-1.354274382095214,0.3656854104746443,14.175,-29.399999,1.925
0.39,-1.1661536919623243,-1.3672868843619366,-0.01069302491101326,14.175,-29.399999,1.925
0.4,-1.2363817899531688,-1.3842600799407505,-0.37375238054887283,13.859863273437501,-29.170926736328127,1.935595703125
0.41,-1.2902381068110846,-1.406740207987089,-0.7186828815811143,13.032629366210939,-28.56961204418946,1.963409423828125
0.42,-1.3268811677973602,-1.435482595430604,-1.0423676364531653,11.584970028564454,-27.517311332946782,2.0120834350585937
0.43,-1.3464153141870185,-1.470668033370298,-1.3429992776990767,9.47380016116333,-25.982706129051213,2.0830663681030273
0.44,-1.3483409542458191,-1.514780156177464,-1.617986455353435,6.702889710199358,-23.968536798938278,2.1762314677238463
0.45,-1.333076255033089,-1.5690130798666768,-1.8661579936022235,3.3085244077684894,-21.50117936954993,2.29035871475935
0.46,-1.3009222330811245,-1.6369334279729064,-2.086598142883851,-0.651568445067523,-18.622595701930194,2.423507169634104
0.47,-1.2528690598602237,-1.7202097711743058,-2.2794544584881042,-5.106672904508038,-15.384189075857991,2.5732991813682022
0.48,-1.1920110738771246,-1.822307143664842,-2.443910544887043,-9.979443407021101,-11.84218182859152,2.737134194202372
0.49,-1.122432196957145,-1.9463412558188882,-2.5786552366315156,-15.190600749986459,-8.054201855820434,2.9123466384833594
0.5,-1.047378959693283,-2.093214541764685,-2.6838236435683873,-20.662315960100084,-4.076822884410793,3.096319704978396
0.51,-0.9686822178633273,-2.263866219855009,-2.7616127921357534,-26.320566916013043,0.03614855193326738,3.286564580558491
0.52,-0.8878787632134998,-2.4575704611635576,-2.8145190389817167,-32.09669810017419,4.234806893201163,3.480772891046504
0.53,-0.8062464682157555,-2.6724721485930036,-2.8451806027026136,-37.92836900725995,8.473836949288943,3.6768485891353637
0.54,-0.7246410712305097,-2.9090946089666425,-2.85866487088355,-43.76003991434572,12.712867005376722,3.8729242872242233
0.55,-0.6437940798716933,-3.1663929626658116,-2.8590783477733317,-49.54311356387244,16.916571810997105,4.067366021162343
0.56,-0.5647818069892199,-3.4486441770419525,-2.8524342519048824,-55.70661769934405,21.32276755324842,3.785517630351429
0.57,-0.4884104083915331,-3.7669428275877888,-2.8412654029136357,-62.509582674658205,26.073465864604483,2.7304126461392855
0.58,-0.4152556333103296,-4.126550822794972,-2.8274848292227297,-70.08477471625054,31.23972189175838,0.7383933562043024
0.59,-0.3452591615194189,-4.533046221325375,-2.812021494242749,-78.47315989476107,36.841190692407416,-2.2560294217005414
0.6,-0.27838292653798286,-4.987357257259822,-2.7956002388587926,-87.65085681964067,42.86139870204503,-6.247807816476587
