time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-3.334644,-2.941995,7.724652,19.39,-49.700001,1.19
0.01,-3.334644,-2.941995,7.724652,19.39,-49.700001,1.19
0.02,-3.334644,-2.941995,7.724652,19.39,-49.700001,1.19
0.03,-3.334644,-2.941995,7.724652,19.39,-49.700001,1.19
0.04,-3.334644,-2.941995,7.724652,19.39,-49.700001,1.19
0.05,-3.141144625,-2.95511525,7.65004875,19.39,-49.700001,1.19
0.06,-2.971832671875,-2.96659546875,7.58477090625,19.39,-49.700001,1.19
0.07,-2.583412212890625,-3.00006553515625,7.53692304296875,19.39,-49.700001,1.19
0.08,-2.243544311279297,-3.0293518432617192,7.495056162597656,19.39,-49.700001,1.19
0.09,-1.723535522369385,-3.0533664878540043,7.429207767272949,19.39,-49.700001,1.19
0.1,-1.2685278320732118,-3.074379301872254,7.37159042136383,19.39,-49.700001,1.19
0.11,-1.2726511030640606,-2.989244514138222,7.169713368693351,19.39,-49.700001,1.19
0.12,-1.2762589651810532,-2.9147515748709445,6.993070947606682,19.39,-49.700001,1.19
0.13,-1.1379418445334215,-2.8864633780120763,6.769293579155847,19.39,-49.700001,1.19
0.14,-1.0169143639667437,-2.8617112057605665,6.573488381761366,19.39,-49.700001,1.19
0.15,-0.8330308184709008,-2.7635045550404955,6.335533959041195,19.39,-49.700001,1.19
0.16,-0.6721327161620382,-2.6775737356604337,6.127323839161045,19.39,-49.700001,1.19
0.17,-0.6786913766417834,-2.5327657687028795,5.859518234265915,19.39,-49.700001,1.19
0.18,-0.6844302045615605,-2.4060587976150196,5.6251883299826755,19.39,-49.700001,1.19
0.19,-0.8973493039913654,-2.199512197913142,5.475193038734841,19.39,-49.700001,1.19
0.2,-1.0836535159924447,-2.018783923173999,5.343947158892986,19.39,-49.700001,1.19
0.21,-0.9499492014933891,-1.556655057777249,5.2812821390313625,19.39,-49.700001,1.19
0.22,-0.8329579263067155,-1.152292300555093,5.226450246652442,19.39,-49.700001,1.19
0.23,-0.3550686855183761,-0.5279877629857064,5.025324340820887,19.39,-49.700001,1.19
0.24,0.06308440017142086,0.018278707387506865,4.849339173218277,19.39,-49.700001,1.19
0.25,-0.09374064985000674,0.6393889939640686,4.285769026565992,19.39,-49.700001,1.19
0.26,-0.23096256861875591,1.1828604947185601,3.792645148245243,19.39,-49.700001,1.19
0.27,-0.6801347475414115,1.86986493287874,2.820890129714588,19.39,-49.700001,1.19
0.28,-1.073160404098735,2.470993816268898,1.9706044885002645,19.39,-49.700001,1.19
0.29,-1.4921558535863932,3.1367064642352855,0.8554394274377315,19.39,-49.700001,1.19
0.3,-1.8587768718880942,3.719205031205875,-0.12033000099198499,19.39,-49.700001,1.19
0.31,-1.9726952629020822,4.056958152305141,-1.314156125867987,19.39,-49.700001,1.19
0.32,-2.072373855039322,4.352492133266998,-2.3587539851344888,19.39,-49.700001,1.19
0.33,-1.6136539981594065,4.306183366608623,-3.4480734869926777,19.39,-49.700001,1.19
0.34,-1.2122741233894807,4.265663195782546,-4.4012280511185935,19.39,-49.700001,1.19
0.35,-0.48824098296579566,3.917094671309728,-5.1923190447287695,19.39,-49.700001,1.19
0.36,0.14528801490492876,3.6120972123960122,-5.8845236641376735,19.39,-49.700001,1.19
0.37,0.9576638880418127,2.8280196858465105,-6.398406581120464,19.39,-49.700001,1.19
0.38,1.668492777036586,2.1419518501156967,-6.848054133480407,19.39,-49.700001,1.19
0.39,2.3340928049070127,0.7955634938512346,-7.162791491795356,19.39,-49.700001,1.19
0.4,2.9164928292936363,-0.3825263178801699,-7.438186680320936,19.39,-49.700001,1.19
0.41,3.1993063506319315,-2.2359912781451485,-7.456979595280819,9.673125125000002,-73.81062775000001,-15.828750375
0.42,3.44676818180294,-3.857773118377005,-7.473423395870716,1.170859609375002,-94.90742615625001,-30.720156953125
0.43,3.693754909077572,-5.8772411035798795,-7.093154846386876,-6.268622716796873,-113.36712476171876,-43.75013770898437
0.44,3.9098682954428754,-7.644275590632395,-6.760419865588517,-12.778169752197265,-129.5193610415039,-55.15137087036132
0.45,4.598822133512516,-8.959440641803345,-5.669443632389952,-18.474023408172606,-143.65256778631593,-65.12744988656615
0.46,5.201656741823452,-10.110210061577927,-4.714839428341208,-23.45789535715103,-156.01912368802644,-73.85651902574538
0.47,5.62719602409552,-10.068273678880686,-3.5947543747985575,-27.818783312507154,-166.83986010202312,-81.49445452252722
0.48,5.999542896083581,-10.031579344020601,-2.6146799529487375,-31.63456027344376,-176.30800446427025,-88.17764808221132
0.49,5.758249409073133,-9.170200301018026,-2.644009958830145,-34.97336511426329,-184.5926307812365,-94.0254424469349
0.5,5.547117607938992,-8.416493638390772,-2.6696737139763766,-37.89481934998038,-191.84167880858195,-99.14226251606804
0.51,4.155483906946618,-7.2290949335919255,-3.5828867497293295,-40.45109180623284,-198.18459583250922,-103.61948007655954
0.52,2.9378044185782906,-6.190121066892935,-4.381948156013163,-42.687830205453736,-203.73464822844556,-107.5370454419896
0.53,0.39422161625600394,-5.498664683531318,-4.830784761511517,-44.644976304772015,-208.59094407488988,-110.96491513674091
0.54,-1.8314133357759967,-4.893640348089904,-5.223516791322578,-46.35747914167551,-212.84020294052863,-113.9643011196483
0.55,-3.462085418803997,-4.821834429578666,-5.334561942407255,-47.855919123966075,-216.55830444796254,-116.58876385469226
0.56,-4.888923491453497,-4.759004250881333,-5.431726449606348,-49.16705410847031,-219.81164326696722,-118.88516874785573
0.57,-4.99503305502181,-4.523982469521166,-5.126922518405555,-68.96054721991152,-164.02456260859634,-87.45639790437377
0.58,-5.087878923144084,-4.3183384108310205,-4.86021907860486,-86.27985369242258,-115.21086703252179,-59.95622341632706
0.59,-5.506908557751073,-4.140649359477143,-3.9616109437792533,-101.43424685586976,-72.49888340345656,-35.893570739286176
0.6,-5.873559488032189,-3.9851714395425,-3.175328825806847,-114.69434087388603,-35.12589772802449,-14.838749646875403
0.61,-6.907777552028166,-3.8344077595996873,-2.298227097580991,-126.29692313965027,-2.424535262021429,3.584218808984021
0.62,-7.812718358024645,-3.702489539649726,-1.5307630853833671,-136.44918262219397,26.18915689573125,19.70431620786102
0.63,-8.950444688271563,-3.4740102221935105,-0.6698803247104463,-145.33240966941972,51.22613753376484,33.80940143187839
0.64,-9.945955227237619,-3.274090819419322,0.08339209087835942,-153.10523333574224,73.13349559204424,46.15135100289359
0.65,-10.592403573832916,-2.861955841991907,1.0589473295185645,-159.90645404377446,92.30243389303871,56.950556877531895
0.66,-11.158045877103802,-2.5013377367429186,1.912558163328744,-165.85752216330266,109.07525490640887,66.3998620178404
0.67,-11.652982892465827,-2.185796894650054,2.6594676429126514,-171.06470676788982,123.75147329310776,74.66800401561035
0.68,-11.991108905907598,-1.5425240328187972,3.73471868754857,-175.62099329690358,136.5931643814693,81.90262826365905
0.69,-12.12314691766915,-0.5235936537164476,4.558268726604998,-179.60774400979062,147.82964408378564,88.23292448070167
0.7,-12.238680177960507,0.36797042799810836,5.278875010779373,-183.0961508835668,157.6615638233124,93.77193367061396
0.71,-12.316692405715445,1.707351499498345,5.6441448844319515,-186.14850689812096,166.26449359539833,98.61856671178721
0.72,-12.384953105001015,2.879309937061052,5.9637560238779574,-188.81931841085583,173.79205714597356,102.8593706228138
0.73,-12.935943216875888,3.6844405699284204,6.9343001458932125,-171.89752873449885,221.70492262772686,125.31257591996207
0.74,-13.418059564766402,4.388929873687368,7.783526252656561,-157.0909627676865,263.628679924261,144.9591305549668
0.75,-13.475395369170602,4.447695389476447,9.28640509607449,-144.1352175467257,300.3119675587284,162.14986586059595
0.76,-13.525564198024277,4.499115215791891,10.60142408406518,-132.798940478385,332.40984423888733,177.19175925302144
0.77,-12.714493923271242,4.5337221888179045,11.161133823557034,-122.87969804358687,360.4954863340264,190.35341597139376
0.78,-12.004807432862336,4.564003290215666,11.650879845612405,-114.20036091313852,385.07042316727313,201.86986559996953
0.79,-11.375261253754545,4.701182753938708,11.137637739910854,-106.60594092399622,406.573492896364,211.94675902497335
0.8,-10.824408347035227,4.8212147846963695,10.688550897421997,-99.9608234334967,425.3886789093185,220.76404077185168
0.81,-9.454968303655823,4.835224561609324,9.491187660244247,-94.14634562930962,441.8519666706537,228.4791623003702
0.82,-7.696870015698846,4.600849366408158,8.125576452713716,-89.05867755064592,456.25734346182196,235.22989363782392
0.83,-6.158534013736491,4.395771070607139,6.930666646124502,-84.60696798181519,468.86204815409417,241.13678355809594
0.84,-4.812490012019429,4.216327561781246,5.88512056535894,-80.7117221090883,479.89116475983235,246.30531223833395
0.85,-3.4030271355170005,3.1870819915585904,4.625911119689072,-77.30338197045226,489.5416417898533,250.8277748335422
0.86,-2.1697471185773756,2.2864921176137667,3.5241028547279383,-74.32108434914574,497.9858091911217,254.78492960434943
0.87,-0.9804653537552035,1.0152106029120458,2.767206247886946,-71.71157393050252,505.3744556672315,258.2474400288057
0.88,0.06015619046419696,-0.09716072245195984,2.1049217169010777,-69.4282523141897,511.8395213338275,261.277136650205
0.89,1.7931307916561723,0.6016759928545352,0.9125770022884429,-87.41534614991599,439.6739562920991,274.4193703189294
0.9,3.309483567699151,1.2131581187477183,-0.13072462299761256,-103.1540532561765,376.5290868805867,285.91882477906324
0.91,4.287235746736757,2.5472389789042538,-1.1421987951229111,-116.92542197415445,321.27732614551337,295.98084743168033
0.92,5.142768903394662,3.7145597315412218,-2.0272386957325472,-128.97536960238514,272.93203550232425,304.7851172527203
0.93,5.65281666547033,4.802499515098569,-2.8199434837659787,-139.519073777087,230.62990618953373,312.48885334613027
