time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.01,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.02,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.03,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.04,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.05,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.06,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.07,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.08,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.09,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.1,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.11,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.12,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.13,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.14,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.15,3.34039,-4.621767,13.48989,0.105,-0.07,0.035
0.16,2.8290363750000003,-3.7630626250000003,12.28282925,0.105,-0.07,0.035
0.17,2.381601953125,-3.0116962968750003,11.22665109375,0.105,-0.07,0.035
0.18,1.9900968339843752,-2.354250759765625,10.30249520703125,0.105,-0.07,0.035
0.19,1.6475298547363284,-1.7789859147949216,9.493858806152343,0.105,-0.07,0.035
0.2,1.3477837478942873,-1.2756291754455564,8.7863019553833,0.105,-0.07,0.035
0.21,1.0855059044075015,-0.8351920285148617,8.167189710960386,0.105,-0.07,0.035
0.22,0.8560127913565638,-0.449809524950504,7.625466497090338,0.105,-0.07,0.035
0.23,0.6552063174369933,-0.11259983433169102,7.151458684954046,0.105,-0.07,0.035
0.24,0.4795006527573691,0.18245864495977035,6.736701849334791,0.105,-0.07,0.035
0.25,0.32575819616269797,0.44063481433979906,6.373789618167942,-1.0281250000000002,-19.950001,-7.8968750000000005
0.26,0.1912335466423607,0.6665389625473241,6.05624141589695,-2.0196093750000004,-37.345001875,-14.837265625
0.27,0.07352447831206561,0.8642050922289086,5.778386738909831,-2.8871582031250007,-52.565627640625,-20.910107421875
0.28,-0.02947095647694259,1.037162955700295,5.535263896546103,-3.6462634277343757,-65.88367518554688,-26.223843994140623
0.29,-0.11959196191732477,1.188501086237758,5.32253140947784,-4.3104804992675785,-77.53696678735352,-30.873363494873047
0.3,-0.19844784167765916,1.3209219504580383,5.13639048329311,-4.8916704368591315,-87.73359693893433,-34.94169305801392
0.31,-0.26744673646795175,1.4367902066507836,4.973517172881471,-5.40021163225174,-96.65564832156754,-38.50148142576218
0.32,-0.32782076940945776,1.5381749308194357,4.831003026271287,-5.845185178220273,-104.46244328137159,-41.61629624754191
0.33,0.9977800767667246,-1.2271741855329936,3.258462397987376,-6.234537030942739,-111.29338887120014,-44.34175921659917
