time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.01,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.02,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.03,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.04,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.05,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.06,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.07,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.08,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.09,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.1,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.11,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.12,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.13,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.14,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.15,1.210508,-3.263776,3.190992,2.87,-45.290001,2.905
0.16,0.36501962499999985,-5.539273124999999,1.626333375,2.87,-45.290001,2.905
0.17,-0.3747827031250001,-7.530333109374999,0.2572570781250001,2.87,-45.290001,2.905
0.18,-1.022109740234375,-9.272510595703123,-0.9406846816406248,2.87,-45.290001,2.905
0.19,-1.5885208977050782,-10.796915896240233,-1.9888837214355466,2.87,-45.290001,2.905
0.2,-2.0841306604919434,-12.130770534210203,-2.9060578812561033,2.87,-45.290001,2.905
0.21,-2.5177892029304503,-13.297893342433929,-3.70858527109909,2.87,-45.290001,2.905
0.22,-2.8972404275641437,-14.319125799629688,-4.410796737211704,2.87,-45.290001,2.905
0.23,-3.2292602491186257,-15.212704199675978,-5.02523177006024,2.87,-45.290001,2.905
0.24,-3.5197775929787976,-15.99458529971648,-5.56286242380271,-49.840001875000006,-17.395001249999993,-23.393125124999997
0.25,-3.7739802688564477,-16.67873126225192,-6.033289245827371,-95.961253515625,7.013123531250008,-46.403984609375
0.26,-3.9964076102493915,-17.277358979470428,-6.444912715098949,-136.31734870117188,28.37023271484376,-66.53848665820313
0.27,-4.191031533968218,-17.801158232036624,-6.80508325071158,-171.62893198852538,47.05770325048829,-84.15617595092773
0.28,-4.361327467222191,-18.259482578032046,-7.120232469372632,-202.5265673649597,63.40923996917725,-99.57165408206177
0.29,-4.510336408819417,-18.660516380778038,-7.395988035701053,-229.56199831933975,77.71683459803009,-113.06019744680405
0.3,-4.64071923271699,-19.011420958180782,-7.637274156238421,-253.2180004044223,90.23597989827633,-124.86267289095355
0.31,-4.7548042036273666,-19.31846246340818,-7.848399511708618,-273.9170022288695,101.19023203599178,-135.18983890458435
0.32,-1.2128370531739456,-22.902221280482156,-5.915022322745041,-292.0286288252608,110.77520265649281,-144.2261091665113
0.33,1.8863842034727978,-26.038010245421884,-4.223317282401911,-307.87630209710323,119.1620519494312,-152.1328456456974
0.34,4.598202803038698,-28.781825589744148,-2.7430753721016723,-321.74301620996533,126.5005450807523,-159.0512400649852
0.35,6.971044077658862,-31.182664016026127,-1.4478637005889634,-333.87639105871966,132.92172657065828,-165.10483518186203
0.36,9.047280192951504,-33.28339763902286,-0.3145534880153431,-344.4930940513797,138.540260374326,-170.40173090912927
0.37,10.863986793832566,-35.121539559145,0.6770929479865747,-353.7827091699573,143.45647745253527,-175.0365146704881
0.38,12.453605069603496,-36.72991373925188,1.5447835794882527,-361.9111223987126,147.75816739596837,-179.09195046167707
0.39,13.844521060903059,-38.1372411468454,2.3040128820522208,-369.02348397387357,151.5221460964723,-182.64045677896743
0.4,15.061572553290176,-39.36865262848973,2.968338521795693,-375.24680035213936,154.81562745941326,-185.74539980659648
0.41,16.126492609128903,-40.446137674928515,3.549623456571231,-374.73782430812196,184.37180027698662,-222.12347358077193
0.42,17.05829765798779,-41.38893709056245,4.058247774499827,-374.2924702696067,210.23345149236332,-253.95428813317542
0.43,17.873627075739314,-42.21388657924215,4.503294052687348,-373.90278548590584,232.86239630581792,-281.8062508665285
0.44,18.587040316271903,-42.93571738183688,4.89270954610143,-373.5618113001676,252.66272301759068,-306.1767182582124
0.45,19.211276901737918,-43.567319334107275,5.233448102838751,-373.2634588876467,269.9880088903918,-327.5008772259358
0.46,19.757483914020682,-44.11997104234387,5.531594339983907,-373.00240052669085,285.14763402909284,-346.1595163226939
0.47,20.2354150497681,-44.60354128705089,5.792472297485919,-372.77397446085445,298.41230602545625,-362.4858255323571
0.48,20.65360479354709,-45.026665251169526,6.020740510300179,-372.5741016532477,310.01889402227425,-376.7713460908125
0.49,17.425513819353704,-40.953999969773335,6.824166446512656,-372.3992129465918,320.17465851949,-389.27117657946087
0.5,14.60093421693449,-37.390417848551664,7.527164140698574,-372.24618532826776,329.0609524545537,-400.2085282570282
0.51,12.12942706481768,-34.2722834924827,8.142287123111252,-372.11228616223434,336.8364596477345,-409.7787109748997
0.52,9.966858306715471,-31.543915930922363,8.680519732722345,-371.9951243919551,343.6400284417677,-418.1526208530372
