time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.01,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.02,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.03,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.04,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.05,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.06,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.07,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.08,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.09,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.1,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.11,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.12,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.13,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.14,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.15,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.16,1.398214,-2.376963,7.510132,3.815,-1.575,0.525
0.17,1.2502522500000002,-2.032868375,7.40857,3.815,-1.575,0.525
0.18,1.12078571875,-1.731785578125,7.319703250000001,3.815,-1.575,0.525
0.19,1.0075025039062502,-1.4683381308593748,7.241944843750001,3.815,-1.575,0.525
0.2,0.9083796909179689,-1.237821614501953,7.173906238281251,3.815,-1.575,0.525
0.21,0.8216472295532228,-1.0361196626892086,7.114372458496096,3.815,-1.575,0.525
0.22,0.7457563258590699,-0.8596304548530576,7.0622804011840845,3.815,-1.575,0.525
0.23,0.6793517851266863,-0.7052023979964254,7.0166998510360745,3.815,-1.575,0.525
0.24,0.6212478119858506,-0.5700778482468722,6.976816869656566,3.815,-1.575,0.525
0.25,0.5704068354876193,-0.4518438672160132,6.941919260949495,4.8475,-0.05687500000000001,-5.893125250000001
0.26,0.5259209810516668,-0.3483891338140116,6.9113838533308085,5.750937500000001,1.271484375,-11.508984843750001
0.27,0.4869958584202085,-0.25786624208726017,6.8846653716644575,6.5414453125000005,2.433798828125,-16.42286198828125
0.28,0.4529363761176824,-0.17865871182635265,6.861286700206401,7.233139648437501,3.450823974609375,-20.722504489746093
0.29,0.42313432910297205,-0.10935212284805856,6.8408303626806015,7.838372192382813,4.340720977783203,-24.48469167852783
0.3,0.3970575379651005,-0.04870885749205125,6.822931067345527,8.367950668334961,5.119380855560303,-27.77660546871185
0.31,0.3742403457194629,0.004353999694455157,6.807269183927336,8.83133183479309,5.8007082486152655,-30.657030035122865
0.32,0.2845083025045301,-0.16906125026735175,6.384788535936419,9.236790355443954,6.396869717538357,-33.17740153073251
0.33,0.20599276469146383,-0.32079959398393276,6.015117968944367,9.59156656101346,6.918511002846063,-35.38272658939095
0.34,0.13729166910503085,-0.45357064473594116,5.691656222826321,9.901995740886777,7.374947127490305,-37.31238601571708
0.35,0.07717821046690199,-0.5697453141439486,5.408627194973031,10.17362127327593,7.7743287365540175,-39.00083801375244
0.36,0.02457893415853924,-0.671398149875955,5.160976795601402,10.41129361411644,8.123787644484764,-40.478233512033384
0.37,-0.02144543261127816,-0.7603443811414606,4.944282696151228,10.619256912351885,8.429564188924168,-41.77095457302921
0.38,-0.061716753534868385,-0.8381723334987781,4.7546753591323245,10.8012247983079,8.697118665308647,-42.902085501400556
0.39,-0.09695415934300983,-0.9062717918114308,4.588768939240785,10.960446698519412,8.931228832145067,-43.891825063725484
0.4,-0.12778688942513358,-0.9658588178350019,4.443600821835687,11.672890736204486,7.946075228126933,-51.2065968057598
0.41,-0.15476552824699188,-1.0179974656056268,4.316578719106226,12.296279269178925,7.084065824611066,-57.607022080039826
0.42,-0.17837183721611788,-1.0636187824049235,4.205434379217948,12.841744235531559,6.329807596534683,-63.20739419503485
0.43,-0.19902735756410314,-1.103537434604308,4.108183081815705,13.319026081090113,5.669831646967847,-68.1077197956555
0.44,-0.21710093786859025,-1.1384662552787694,4.023088196588742,13.736647695953849,5.092352691096865,-72.39550469619856
0.45,-0.23291532063501647,-1.1690289733689232,3.9486301720151493,14.102066608959618,4.587058604709757,-76.14731648417374
0.46,-0.2467529055556394,-1.1957713516978077,3.8834794005132554,14.421808157839665,4.144926279121037,-79.43015179865202
0.47,-0.2588607923611845,-1.2191709327355817,3.826472475449098,14.701582013109707,3.7580604942309077,-82.30263269882052
0.48,-0.5005243183160364,-2.139767691143634,2.901298166017961,14.946384136470993,3.4195529324520444,-84.81605348646795
0.49,-0.7119799035265318,-2.94528985475068,2.091770645265716,15.160585994412118,3.1233588158955388,-87.01529667565946
0.5,-0.8970035405857153,-3.650121747906845,1.3834340646075014,15.348012620110604,2.8641889639085965,-88.93963446620202
0.51,-1.0588992230125007,-4.26684965441849,0.7636395565315638,15.512010917596777,2.637415343420022,-90.62343003292676
0.52,-1.200557945135938,-4.806486572616178,0.22131936196511837,15.65550942789718,2.438988425492519,-92.09675115381091
0.53,-1.3245093269939459,-5.278668876039156,-0.25321080828052145,15.781070624410031,2.2653648723059545,-93.38590713458454
0.54,-1.4329667861197026,-5.691828391534261,-0.6684247072454563,15.890936671358777,2.11344426326771,-94.51391861776148
0.55,-1.5278670628547397,-6.053342967592479,-1.0317368688397743,15.98706946243893,1.9805137303592466,-95.5009286655413
0.56,-1.6109048049978973,-6.369668221643419,-1.3496350102348025,16.071185654634064,1.8641995140643408,-96.36456245734863
0.57,-1.6835628293731602,-6.646452818937991,-1.6277958839554523,-6.382087552195195,-13.523825050193702,-80.42961690018005
0.58,-1.747138600701515,-6.888639341570743,-1.8711866484610207,-26.028701608170795,-26.98834654391949,-66.48653953765755
0.59,-1.8027674006138257,-7.1005525488744,-2.0841535674033933,-43.21948890714945,-38.76980285092956,-54.28634684545035
0.6,-1.8514426005370974,-7.2859766052651,-2.270499621477969,-58.261427793755765,-49.07857711956336,-43.61117823976906
0.61,-1.8940334004699602,-7.448222654606963,-2.433552418793223,-71.4231243195363,-58.098754604617945,-34.27040570979793
0.62,-1.9313003504112152,-7.590187947781092,-2.57622361644407,-82.93960877959427,-65.9914099040407,-26.097229746073186
0.63,-1.9639089316098133,-7.714407579308456,-2.7010609143885613,-93.016532682145,-72.89748329103561,-18.945700777814036
0.64,-1.9924414401585866,-7.823099756894899,-2.810293550089991,-101.83384109687688,-78.94029750465616,-12.68811293058728
0.65,-1.5488851351387634,-7.792910537283037,-2.251228106328742,-109.54898595976726,-84.22775994157413,-7.21272356426387
0.66,-1.160773368246418,-7.7664949701226575,-1.762045843037649,-116.29973771479635,-88.85428957387737,-2.4217578687308863
0.67,-0.821175572215616,-7.7433813488573255,-1.334011362657943,-122.2066455004468,-92.9025030021427,1.7703371148604745
0.68,-0.5240275006886641,-7.72315693025016,-0.9594811923257002,-127.37518981289094,-96.44468975187486,5.438420225502915
0.69,-0.2640229381025811,-7.70546056396889,-0.6317672932849876,-131.89766608627957,-99.5441031578905,8.64799294731505
0.7,-0.036518945839758454,-7.6899762434727785,-0.34501763162436416,-135.85483282549464,-102.2560898881542,11.45636907890067
0.71,0.16254704739021136,-7.6764274630386815,-0.09411167767131862,-139.31735372230781,-104.62907827713492,13.913698194038087
0.72,0.33672979146643495,-7.664572280158847,0.12543103203759623,-142.34705950701934,-106.70544311749306,16.063861169783326
0.73,0.48913969253313055,-7.654198995138991,0.3175309030328967,-134.34055181864193,-76.11663810280643,21.03400364856041
0.74,0.6224983559664892,-7.645122370746617,0.48561829015378466,-127.33485759131169,-49.35143371495563,25.38287831749036
0.75,0.739187186470678,-7.63718032440329,0.6326947538845615,-121.20487514239773,-25.931879875586176,29.188143652804065
0.76,0.8412899131618432,-7.630231033852879,0.7613866596489913,-115.84114049959801,-5.439770266137906,32.517750821203556
0.77,0.9306297990166128,-7.624150404621269,0.8739920771928674,-111.14787268714825,12.490825642129334,35.43115709355311
0.78,1.0088021991395362,-7.618829854043611,0.972521817543759,-107.04126335125471,28.180097061863165,37.98038758185897
0.79,1.077203049247094,-7.61417437228816,1.058735340350789,-103.44798018234788,41.908209554130266,40.2109642591266
0.8,1.1370537930912072,-7.61010082575214,1.1341721728069405,-100.30385740955438,53.92030798486398,42.16271885173577
0.81,-0.35566930604519365,-6.921157597533122,1.3178381512060728,-97.55274998336007,64.43089411175598,43.8705041202688
0.82,-1.6618020177895445,-6.318332272841481,1.4785458823053137,-95.14553098544006,73.62765697278648,45.3648162302352
0.83,-2.804668140565852,-5.790860113736295,1.6191651470171495,-93.03921436226005,81.67482447618818,46.6723393264558
0.84,-3.8046759979951204,-5.329321974519258,1.742207003640006,-91.19618731697754,88.71609604166466,47.81642203564882
0.85,-4.6796828732457305,-4.9254761027043505,1.8498686281850052,-89.58353865235534,94.87720866145658,48.817494406192715
0.86,-5.445313889090015,-4.572110964866306,1.9440725496618796,-88.17247107081091,100.2681822037745,49.69343273041862
0.87,-6.115241027953763,-4.262916469258018,2.0265009809541445,-86.93778693695954,104.98528405330269,50.45987876411629
0.88,-6.701427274459542,-3.992371285600766,2.0986258583348762,-85.85743831983959,109.11274817163985,51.13051904360175
0.89,-7.214340240152099,-3.7556442499006706,2.1617351260430167,-71.33213340485963,133.08990377518487,48.103579288151536
0.9,-7.663139085133087,-3.548508093663087,2.2169557352876397,-58.622491604252176,154.06991492828675,45.4550070021326
0.91,-8.05583807449145,-3.367263956955201,2.2652737683766846,-47.50155502872065,172.4274246872509,43.13750625186602
0.92,-8.39944969018002,-3.208675337335801,2.307552047329599,-37.77073552513057,188.4902457263445,41.109693095382774
0.93,-8.700109853907518,-3.069910295168826,2.344545541413399,-29.256268459489245,202.54521413555145,39.33535658345993
0.94,-8.963187497169079,-2.948490883272723,2.376914848736724,-21.80610977705309,214.8433114936075,37.782812135527436
0.95,-9.193380435022943,-2.842248897863633,2.4052379926446337,-15.287220929921457,225.60414668190657,36.42433574358651
0.96,-9.394799255645076,-2.749287160630679,2.4300207435640546,-9.583193188681275,235.01987747166825,35.235668900638196
0.97,-9.912401598689442,-1.931697765551844,2.1139185256185478,-4.592168915096115,243.25864191270972,34.195585413058424
0.98,-10.365303648853262,-1.2163070448578635,1.8373290849162294,-0.22502267570910073,250.467560798621,33.28551236142612
0.99,-10.761592942746605,-0.5903401642506305,1.5953133243017008,3.596230283754537,256.7753648237934,32.48919844124786
1.0,-11.10834607490328,-0.042619143719301755,1.3835495337639883,6.93982662328522,262.2946933458192,31.792423761091875
1.01,-11.411755065540369,0.4366367492456109,1.1982562170434898,9.865473420374567,267.1241058025918,31.18274591595539
1.02,-11.677237932347822,0.8559856555899095,1.0361245649130537,12.425414367827745,271.34984170226784,30.649277801460965
1.03,-11.909535440804344,1.2229159486411707,0.8942593692989219,14.665362696849277,275.0473606144844,30.182493201278344
1.04,-12.1127957607038,1.5439799550610243,0.7701273231365566,16.625317484743118,278.2826896626738,29.77405667611855
1.05,-12.290648540615825,1.8249109606783962,0.6615117827444871,13.435902799150227,282.58360270483956,42.75604971660373
1.06,-12.446269723038847,2.0707255905935966,0.5664731849014262,10.645164949256449,286.3469016167346,54.11529362702826
1.07,-12.58243825765899,2.285813391769397,0.48331441178874796,8.203269330599392,289.63978816464277,64.05463204864972
1.08,-12.701585725451617,2.474015217798222,0.4105504853151545,6.066610664274468,292.5210638940624,72.7515531675685
1.09,-12.805839759770164,2.6386918155734445,0.3468820496507602,4.197034331240159,295.0421801573046,80.36135914662245
1.1,-12.897062039798893,2.782783838626764,0.2911721684444152,2.561155039835139,297.24815688764147,87.01993937829464
1.11,-12.976881534824031,2.9088643587984184,0.24242602238886327,1.1297606598557466,299.17838652668627,92.8461970810078
1.12,-12.133724717971027,2.7070055639486164,0.26808364459025535,-0.12270942262622175,300.8673374608505,97.94417257088182
1.13,-11.395962503224649,2.5303791184550395,0.29053406401647347,-1.218620744797944,302.3451695282441,102.40490112452159
1.14,-10.750420565321567,2.37583097864816,0.3101781810144143,-2.177543151698201,303.6382725872136,106.3080386089564
1.15,-10.185571369656373,2.24060135631714,0.32736678338761255,-3.0166002577359263,304.76973776381186,109.72328390783684
1.16,-9.691328323449326,2.122275436777498,0.342406810464161,-3.7507752255189355,305.75976979333535,112.71162354435724
1.17,-9.258865658018161,2.0187402571803106,0.3555668341561409,-4.393178322329069,306.62604781916843,115.32642072631258
1.18,-8.88046082576589,1.9281469750327718,0.36708185488662326,-4.955281032037935,307.38404109177236,117.6143682605235
1.19,-8.549356597545154,1.8488778531536754,0.37715749802579535,-5.447120903033193,308.0472852053008,119.61632235295806
1.2,-8.25964039785201,1.7795173715094659,0.38597368577257096,-5.877480790154044,308.6276238046382,121.36803218383831
1.21,-8.00613872312051,1.7188269500707827,0.3936878500509996,-7.216545691384788,260.3585454540584,136.87890391085853
1.22,-7.784324757730445,1.6657228313119348,0.40043774379462466,-8.388227479961689,218.1231018973011,150.4509166720012
1.23,-7.59023753801414,1.6192567273979428,0.4063439008202966,-9.413449044966478,181.16708878513847,162.32642783800102
1.24,-7.420411220762373,1.5785988864732,0.4115117882177595,-10.310517914345668,148.83057731199617,172.71750010825087
