time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.01,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.02,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.03,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.04,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.05,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.06,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.07,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.08,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.09,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.1,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.11,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.12,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.13,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.14,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.15,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.16,4.824795,-2.78302,9.433155,6.72,69.860001,26.145001
0.17,3.6533599999999997,-4.0218757499999995,8.065108125,6.72,69.860001,26.145001
0.18,2.628354375,-5.10587453125,6.868067109375,6.72,69.860001,26.145001
0.19,1.7314744531249997,-6.054373464843749,5.820656220703125,6.72,69.860001,26.145001
0.2,0.9467045214843748,-6.884310031738281,4.9041716931152335,6.72,69.860001,26.145001
0.21,0.260030831298828,-7.6105045277709955,4.102247731475829,6.72,69.860001,26.145001
0.22,-0.34080864761352553,-8.24592471179962,3.400564265041351,6.72,69.860001,26.145001
0.23,-0.8665431916618349,-8.801917372824668,2.786591231911182,6.72,69.860001,26.145001
0.24,-1.3265609177041056,-9.288410951221586,2.249364827922284,6.72,69.860001,26.145001
0.25,-1.7290764279910924,-9.714092832318888,1.7792917244319986,-11.773125875000002,68.705000625,27.164376
0.26,-2.081277499492206,-10.086564478279028,1.3679777588779987,-27.954611015625,67.694375296875,28.056329125
0.27,-2.38945343705568,-10.41247716849415,1.0080780390182489,-42.11341051367188,66.81007813476562,28.836788109375004
0.28,-2.6591073824237204,-10.69765077243238,0.6931657841409677,-54.5023600744629,66.03631811791992,29.51968972070313
0.29,-2.8950545846207554,-10.947177675878333,0.4176175611233468,-65.34269094015504,65.35927810317993,30.11722863061524
0.3,-3.101508386543161,-11.16551371639354,0.17651286598292845,-74.82798044763567,64.76686809028244,30.640075176788336
0.31,-3.282155463225266,-11.356557751844347,-0.03445374226493761,-83.1276087666812,64.24850932899713,31.097565904689795
0.32,-2.275500030322108,-12.086243657863804,-0.5387233994818204,-90.38978354584606,63.794945412872494,31.497870291603572
0.33,-1.3946765265318444,-12.724718825630829,-0.9799593495465928,-96.7441864776153,63.39807698626343,31.848136630153128
0.34,-0.6239559607153639,-13.283384597426975,-1.3660408058532687,-102.30428904291338,63.0508171129805,32.15461967638399
0.35,0.050424534374056584,-13.772217147748604,-1.7038620801216102,-107.1693787875492,62.74696472385794,32.42279234183599
0.36,0.6405074675772995,-14.199945629280029,-1.999455695106409,-111.42633231410555,62.4810938833757,32.65744342410649
0.37,1.1568300341301372,-14.574208050620026,-2.258100108218108,-115.15116664984235,62.24845689795374,32.86276312109318
