time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.01,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.02,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.03,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.04,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.05,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.06,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.07,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.08,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.09,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.1,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.11,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.12,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.13,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.14,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.15,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.16,-0.614831,-1.754471,7.272627,9.135,-14.385,-1.54
0.17,-0.42157100000000003,-1.9129192499999998,7.29814925,9.135,-14.385,-1.54
0.18,-0.2524685,-2.05156146875,7.3204812187499995,9.135,-14.385,-1.54
0.19,-0.10450381249999999,-2.1728734101562504,7.34002169140625,9.135,-14.385,-1.54
0.2,0.024965289062500007,-2.279021358886719,7.357119604980468,9.135,-14.385,-1.54
0.21,0.1382507529296875,-2.3719008140258793,7.37208027935791,9.135,-14.385,-1.54
0.22,0.23737553381347656,-2.4531703372726446,7.385170869438171,9.135,-14.385,-1.54
0.23,0.324109717086792,-2.524281170113564,7.396625135758399,9.135,-14.385,-1.54
0.24,0.400002127450943,-2.5865031488493684,7.4066476187885995,9.135,-14.385,-1.54
0.25,0.46640798651957516,-2.6409473802431975,7.415417291440025,9.135,-14.385,-1.54
0.26,0.5245131132046282,-2.688586082712798,7.423090755010022,9.135,-14.385,-1.54
0.27,0.5753550990540497,-2.730269947373698,7.429805035633769,9.135,-14.385,-1.54
0.28,0.6198418366722935,-2.7667433289519856,7.4356800311795475,9.135,-14.385,-1.54
0.29,0.6587677320882569,-2.7986575378329874,7.440820652282104,9.135,-14.385,-1.54
0.3,0.6928278905772248,-2.826582470603864,7.445318695746841,9.135,-14.385,-1.54
0.31,0.7226305292550718,-2.851016786778381,7.4492544837784855,9.135,-14.385,-1.54
0.32,0.7487078380981879,-2.8723968134310836,7.452698298306174,9.135,-14.385,-1.54
0.33,0.4832061083359144,-3.378908586752198,7.059538261017902,9.135,-14.385,-1.54
0.34,0.25089209479392505,-3.8221063884081734,6.715523228390664,9.135,-14.385,-1.54
0.35,0.047617332944684426,-4.209904464857152,6.4145100748418304,9.135,-14.385,-1.54
0.36,-0.13024808367340113,-4.549227781750007,6.151123565486602,9.135,-14.385,-1.54
0.37,-0.28588032321422596,-4.846135684031257,5.9206603698007765,9.135,-14.385,-1.54
0.38,-0.42205853281244776,-5.105930098527351,5.719005073575679,9.135,-14.385,-1.54
0.39,-0.5412144662108918,-5.333250211211432,5.542556689378719,9.135,-14.385,-1.54
0.4,-0.6454759079345302,-5.532155309810003,5.3881643532063785,9.135,-14.385,-1.54
0.41,-0.736704669442714,-5.706197271083752,5.253071059055581,-4.025000124999999,0.2800001250000008,-6.059375125
0.42,-0.8165298357623747,-5.858483987198284,5.134864426673634,-15.540000234374999,13.111875234375,-10.013828359375
0.43,-0.8863768562920779,-5.991734863798499,5.03143362333943,-25.615625330078124,24.339765955078125,-13.473974939453125
0.44,-0.9474929992555682,-6.108329380823687,4.9409316704220005,-34.43179728881836,34.164170335693356,-16.501603197021485
0.45,-1.0009696243486221,-6.210349583220726,4.86174246161925,-42.14594775271606,42.760524168731685,-19.1507779223938
0.46,-1.0477616713050444,-6.299617260318135,4.792451903916843,-48.895829408626554,50.28233377264022,-21.468805807094576
0.47,-1.0887047123919138,-6.377726477778367,4.731822665927238,-54.80197585754823,56.86391717606019,-23.49708020620775
0.48,-1.1245298733429245,-6.446072043056072,4.678772082686333,-59.9698540003547,62.62280265405267,-25.27182030543178
0.49,-1.421727139175059,-7.0668244126740625,3.0680350723505407,-64.49174737531037,67.66182744729608,-26.824717892252806
0.5,-1.6817747467781765,-7.609982736089805,1.6586401883067232,-68.44840407839658,72.07097414138406,-28.183503280721204
0.51,-1.9093164034309045,-8.08524626907858,0.4254196647683828,-71.910478693597,75.92897749871105,-29.372440495631054
0.52,-2.1084153530020413,-8.501101860443757,-0.653648293327665,-74.93979398189738,79.30473043637218,-30.41276055867717
0.53,-2.282626933876786,-8.864975502888289,-1.597832756661707,-77.5904448591602,82.25851425682566,-31.323040613842522
0.54,-2.435062067142188,-9.183364940027253,-2.4239941620789938,-79.90976437676517,84.84307509972245,-32.119535662112206
0.55,-2.5684428087494147,-9.461955697523848,-3.1468853918191195,-81.93916895466951,87.10456583725716,-32.81646882934818
0.56,-2.685150957655738,-9.705722610333368,-3.7794152178417297,-83.71489796033582,89.0833702326,-33.426285350679656
0.57,-2.787270587948771,-9.919018659041697,-4.3328788156115134,-125.97366071529385,76.421073953525,-28.8454996818447
0.58,-2.8766252644551744,-10.105652701661485,-4.817159463660074,-162.95007812588213,65.34156470933436,-24.837312221614113
0.59,-2.9548106063982775,-10.2689574889538,-5.240905030702565,-195.30444336014688,55.64699412066757,-21.330148193912347
0.6,-3.023222780598493,-10.411849177834576,-5.611682401864744,-223.61451294012852,47.16424485558413,-18.261379669673303
