time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.01,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.02,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.03,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.04,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.05,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.06,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.07,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.08,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.09,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.1,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.11,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.12,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.13,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.14,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.15,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.16,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.17,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.18,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.19,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.2,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.21,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.22,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.23,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.24,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.25,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.26,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.27,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.28,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.29,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.3,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.31,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.32,1.197101,-3.302083,8.975383,3.43,6.615,4.62
0.33,1.3603855,-3.34450825,8.5573075,3.43,6.615,4.62
0.34,1.5032594375000001,-3.38163034375,8.1914914375,3.43,6.615,4.62
0.35,1.6282741328125,-3.41411217578125,7.8714023828125,3.43,6.615,4.62
0.36,1.7376619912109377,-3.4425337788085937,7.591324459960937,3.43,6.615,4.62
0.37,1.8333763673095704,-3.467402681457519,7.3462562774658196,3.43,6.615,4.62
0.38,1.9171264463958742,-3.4891629712753294,7.131821617782592,3.43,6.615,4.62
0.39,1.9904077655963899,-3.508203224865913,6.944191290559768,3.43,6.615,4.62
0.4,2.0545289198968413,-3.524863446757674,6.780014754239797,3.43,6.615,4.62
0.41,2.110634929909736,-3.5394411409129645,6.636360284959823,8.049999875000001,17.241875,-22.911875124999998
0.42,2.159727688671019,-3.552196623298844,6.5106626243398456,12.092499765625002,26.540390625,-47.002265859375
0.43,2.2026838525871417,-3.5633576703864884,6.400677171297366,15.629687169921876,34.676591796875,-68.08135775195312
0.44,2.240270496013749,-3.5731235865881774,6.304439899885194,18.72472614868164,41.795767822265624,-86.52556315795897
0.45,2.2731588090120303,-3.581668763264655,6.220232287399545,21.432885255096437,48.02504684448242,-102.6642428882141
0.46,2.3019360828855264,-3.589145792856573,6.1465506264746015,23.80252447320938,53.47566598892212,-116.78558765218735
0.47,2.327116197524836,-3.5956881937495013,6.082079173165276,25.87595878905821,58.24495774030685,-129.14176432066392
0.48,2.349148797834231,-3.6014127945308134,6.025666651519616,27.690213815425935,62.418088022768494,-139.95341890558092
0.49,0.596143573104952,-4.494613195214462,3.411167570079664,29.277686963497693,66.06957701992243,-149.41361666738328
0.5,-0.937735998533167,-5.276163545812654,1.1234808738197064,30.666725968060483,69.26462989243213,-157.69128970896037
0.51,-2.2798806237165214,-5.960020102586073,-0.8782449854077569,31.882135097052924,72.06030115587811,-164.93425362034031
0.52,-3.4542571707519563,-6.558394589762814,-2.6297551122317873,32.94561808492131,74.50651351139334,-171.2718470427978
0.53,-4.481836649407962,-7.081972266042463,-4.162326473202814,33.87616569930614,76.64694932246917,-176.81724128744804
0.54,-5.380968693231967,-7.5401027327871555,-5.503326414052462,34.69039486189288,78.51983065716053,-181.66946125151702
0.55,-6.167709231577971,-7.940966891188761,-6.676701362295905,35.40284537915627,80.15860182501545,-185.9151537200774
0.56,-6.856107202630724,-8.291723029790166,-7.703404442008917,36.026239581761736,81.59252659688852,-189.63013463006774
0.57,-7.4584554273018835,-8.598634651066396,-8.601769636757803,8.35733488404152,56.05033552227745,-155.8682423013093
0.58,-7.9855101238891475,-8.867182319683096,-9.387839182163077,-15.852956726463669,33.70091833199277,-126.32658651364564
0.59,-8.446682983403004,-9.102161529722709,-10.075650034392693,-37.03696188565571,14.145178290493671,-100.47763769943992
0.6,-8.850209235477628,-9.30776833850737,-10.677484530093606,-55.57296639994874,-2.966094245818038,-77.85980748700993
0.61,-9.203294706042925,-9.48767429619395,-11.204089713831905,-71.79197034995514,-17.938457715090784,-58.06920605113369
0.62,-9.51224449278756,-9.645092009169707,-11.664869249602917,-85.98359880621075,-31.039275750704437,-40.752429794741985
