time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.01,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.02,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.03,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.04,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.05,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.06,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.07,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.08,-4.644751,-3.493619,4.702212,20.195,-66.780003,-36.225001
0.09,-4.644751,-3.493619,4.702212,19.8975,-65.816409203125,-35.356016609375
0.1,-4.644751,-3.493619,4.702212,19.376875,-64.13012005859376,-33.83529392578125
0.11,-4.644751,-3.493619,4.702212,18.6935546875,-61.916865556396495,-31.83934540356445
0.12,-4.644751,-3.493619,4.702212,17.89634765625,-59.334735303833014,-29.51073879431152
0.13,-4.644751,-3.493619,4.702212,17.024402465820312,-56.51053034009171,-26.96382531544113
0.14,-4.644751,-3.493619,4.702212,16.10886001586914,-53.545115128163346,-24.289566162627217
0.15,-4.644751,-3.493619,4.702212,15.17424376487732,-50.51792043265314,-21.559593277463016
0.16,-4.644751,-3.493619,4.702212,14.239627513885498,-47.49072573714294,-18.829620392298814
0.17,-4.591180734375,-3.5589866875,4.661899625,13.319614641815425,-44.51083095875008,-16.142303333465303
0.18,-4.49743276953125,-3.6733801406250004,4.59135296875,12.42515768285841,-41.61371103531257,-13.529633970710501
0.19,-4.374388565673828,-3.8235215478515627,4.498760482421875,11.564242859862281,-38.82523310900397,-11.014939709059004
0.2,-4.230836994506836,-3.9986865229492192,4.390735915039063,10.742460528820523,-36.16350417934576,-8.61454973202803
0.21,-4.073827463542938,-4.19027321446228,4.272584044464112,9.963479360853857,-33.640406964773916,-6.339180066300752
