time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.01,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.02,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.03,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.04,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.05,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.06,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.07,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.08,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.09,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.1,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.11,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.12,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.13,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.14,2.562753,-2.760036,6.06978,18.83,5.495,-45.465001
0.15,2.487766609375,-2.831167734375,5.978776390625,18.83,5.495,-45.465001
0.16,2.3565404257812497,-2.95564826953125,5.819520074218749,18.83,5.495,-45.465001
0.17,2.184306059814453,-3.1190289719238278,5.610496158935546,18.83,5.495,-45.465001
0.18,1.983365966186523,-3.3096397913818354,5.3666349244384755,18.83,5.495,-45.465001
0.19,1.7635877387809749,-3.5181203751640315,5.099911699207305,18.83,5.495,-45.465001
0.2,1.5328206000051494,-3.737024988135337,4.819852312714576,18.83,5.495,-45.465001
0.21,1.2972458125048276,-3.9604901138768778,4.533958355669915,18.83,5.495,-45.465001
0.22,1.0616710250045058,-4.1839552396184185,4.248064398625254,18.83,5.495,-45.465001
0.23,0.8297770935588765,-4.403928722770248,3.966637534659416,18.83,5.495,-45.465001
0.24,0.6043246602089591,-4.6177918313900825,3.6930280835815177,18.83,5.495,-45.465001
0.25,0.3873266931096636,-4.823635073436674,3.4296789869190407,18.83,5.495,-45.465001
0.26,0.180192269969427,-5.020121804481146,3.1783003037412216,18.83,5.495,-45.465001
0.27,-0.01615390196558894,-5.206374851617053,2.9400142603122474,18.83,5.495,-45.465001
0.28,-0.2011724101351232,-5.381882530648964,2.7154754886195605,18.83,5.495,-45.465001
0.29,-0.37462726154406156,-5.546420979741382,2.5049703901576663,18.83,5.495,-45.465001
0.3,-0.5365184561924041,-5.699990198894304,2.308498964926565,18.83,5.495,-45.465001
0.31,-0.732381238717035,-5.914750441700537,2.0697984680320256,18.83,5.495,-45.465001
