time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.01,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.02,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.03,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.04,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.05,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.06,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.07,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.08,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.09,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.1,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.11,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.12,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.13,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.14,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.15,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.16,1.98623,0.963427,6.713342,6.3,-15.4,-2.485
0.17,1.352628375,0.10615912500000002,6.073850625,6.3,-15.4,-2.485
0.18,0.7982269531250001,-0.643950265625,5.514295671875001,6.3,-15.4,-2.485
0.19,0.31312570898437514,-1.3002959824218752,5.024685087890625,6.3,-15.4,-2.485
0.2,-0.11133787963867176,-1.8745984846191406,4.596275826904297,6.3,-15.4,-2.485
0.21,-0.4827435196838378,-2.377113174041748,4.22141772354126,6.3,-15.4,-2.485
0.22,-0.807723454723358,-2.8168135272865293,3.893416883098603,6.3,-15.4,-2.485
0.23,-1.0920808978829384,-3.201551336375713,3.6064161477112777,6.3,-15.4,-2.485
0.24,-1.340893660647571,-3.538196919328749,3.355290504247368,6.3,-15.4,-2.485
0.25,-1.5586048280666245,-3.8327618044126552,3.135555566216447,6.3,-15.4,-2.485
0.26,-1.7491020995582964,-4.090506078861074,2.9432874954393915,6.3,-15.4,-2.485
