time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.01,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.02,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.03,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.04,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.05,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.06,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.07,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.08,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.09,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.1,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.11,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.12,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.13,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.14,4.736689,-0.061292,5.146576,14.805,-14.28,-11.69
0.15,3.73792375,-0.943938375,4.685835875,14.805,-14.28,-11.69
0.16,2.86400415625,-1.7162539531249998,4.2826882656250005,14.805,-14.28,-11.69
0.17,2.09932451171875,-2.392030083984375,3.929934107421875,14.805,-14.28,-11.69
0.18,1.430229822753906,-2.9833341984863284,3.6212742189941407,14.805,-14.28,-11.69
0.19,0.8447719699096679,-3.5007252986755373,3.351196816619873,14.805,-14.28,-11.69
0.2,0.3324963486709594,-3.953442511341095,3.114879089542389,14.805,-14.28,-11.69
0.21,-0.11574481991291052,-4.349570072423458,2.90810107834959,14.805,-14.28,-11.69
0.22,-0.5079558424237967,-4.696181688370526,2.7271703185558915,14.805,-14.28,-11.69
0.23,-0.8511404871208221,-4.999466852324209,2.568855903736405,14.805,-14.28,-11.69
0.24,-1.1514270512307194,-5.264841370783683,2.430330790769354,14.805,-14.28,-11.69
0.25,-1.4141777948268794,-5.497044074435722,2.309121316923185,14.805,-14.28,-11.69
0.26,-1.6440846954735193,-5.700221440131257,2.2030630273077865,14.805,-14.28,-11.69
0.27,-1.8452532335393292,-5.878001635114849,2.1102620238943133,14.805,-14.28,-11.69
0.28,-2.021275704346913,-6.033559305725493,2.0290611459075243,14.805,-14.28,-11.69
0.29,-2.175295366303549,-6.169672267509807,1.9580103776690838,14.805,-14.28,-11.69
0.3,-2.3100625705156053,-6.28877110907108,1.8958409554604483,14.805,-14.28,-11.69
0.31,-2.6124043742011547,-7.335167970437195,1.1211423360278923,14.805,-14.28,-11.69
0.32,-2.8769534524260103,-8.250765224132545,0.4432810440244057,14.805,-14.28,-11.69
0.33,-3.108433895872759,-9.051912821115977,-0.149847586478645,14.805,-14.28,-11.69
0.34,-3.3109792838886642,-9.75291696847648,-0.6688351381688143,14.805,-14.28,-11.69
0.35,-3.4882064984025813,-10.36629559741692,-1.1229492458977126,14.805,-14.28,-11.69
0.36,-3.6432803111022585,-10.903001897739806,-1.5202990901604985,14.805,-14.28,-11.69
0.37,-3.778969897214476,-11.37261991052233,-1.867980203890436,14.805,-14.28,-11.69
0.38,-3.8976982850626665,-11.783535671707039,-2.1722011784041317,14.805,-14.28,-11.69
0.39,-4.001585624429833,-12.14308696274366,-2.438394531103615,14.805,-14.28,-11.69
0.4,-4.092487046376103,-12.457694342400702,-2.671313714715663,14.805,-14.28,-11.69
0.41,-4.17202579057909,-12.732975799600615,-2.8751180003762054,-30.891874125,3.6662503750000024,-41.70250075
0.42,-4.241622191756703,-12.97384707465054,-3.05344675032918,-70.876638984375,19.369219453125005,-67.96343890624999
0.43,-4.302519042787115,-13.184609440319223,-3.2094844065380324,-105.86330823632812,33.109317396484386,-90.94175979296875
0.44,-4.355803787438726,-13.36902651027932,-3.3460173557207784,-136.4766438317871,45.131903096923836,-111.04779056884766
0.45,-4.402427939008885,-13.530391446494406,-3.465483686255681,-163.2633124778137,55.651665584808356,-128.6405674977417
0.46,-4.443224071632775,-13.671585765682606,-3.570016725473721,-186.701647543087,64.8564577617073,-144.034247310524
0.47,-4.951350312678678,-14.69564354497228,-3.660720884789506,-207.21019072520113,72.91065091649389,-157.50371714670848
0.48,-5.395960773593844,-15.591694101850743,-3.740087024190818,-225.155166009551,79.95806992693215,-169.28950325336993
0.49,-5.784994926894614,-16.3757383391194,-3.809532396166966,-240.8570193833571,86.12456156106563,-179.60206609669868
0.5,-6.125399811032787,-17.061777046729475,-3.8702970966460954,-254.59614108543747,91.52024174093242,-188.62555858461133
0.51,-6.423254084653689,-17.66206091588829,-3.9234662095653334,-266.61787257475777,96.24146189831586,-196.5211145115349
0.52,-6.683876574071978,-18.187309301402255,-3.969989183369667,-277.13688762791304,100.37252953602638,-203.42972594759303
0.53,-6.911921252312981,-18.646901638726973,-4.0106967854484585,-286.3410257994239,103.98721371902309,-209.4747609541439
0.54,-7.1114603457738585,-19.0490449338861,-4.046315937267401,-294.3946466994959,107.1500623791452,-214.7641665848759
0.55,-7.286057052552127,-19.400920317150337,-4.077482695108976,-301.44156498705894,109.91755495675204,-219.3923965117664
0.56,-7.438829170983111,-19.708811277506545,-4.104753608220355,-307.60761848867656,112.33911096215803,-223.4420976977956
0.57,-7.5725047746102225,-19.978215867818225,-4.12861565719281,-309.376040427592,116.01109771688829,-209.54246048557116
0.58,-7.689470927783945,-20.213944884340947,-4.149494950043709,-310.923409624143,119.22408612727725,-197.38027792487475
