time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.01,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.02,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.03,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.04,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.05,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.06,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.07,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.08,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.09,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.1,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.11,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.12,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.13,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.14,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.15,2.193089,0.580354,6.452853,18.06,10.15,2.31
0.16,1.452083625,-0.433973375,6.042534625,18.06,10.15,2.31
0.17,0.803703921875,-1.321509828125,5.683506046874999,18.06,10.15,2.31
0.18,0.23637168164062494,-2.098104224609375,5.3693560410156245,18.06,10.15,2.31
0.19,-0.2600440285644532,-2.777624321533203,5.094474785888671,18.06,10.15,2.31
0.2,-0.6944077749938966,-3.372204406341553,4.853953687652588,18.06,10.15,2.31
0.21,-1.0744760531196595,-3.892461980548859,4.643497726696014,18.06,10.15,2.31
0.22,-1.4070357964797022,-4.347687357980251,4.459348760859012,18.06,10.15,2.31
0.23,-1.6980255719197395,-4.74600956323272,4.298218415751635,18.06,10.15,2.31
0.24,-1.952641625429772,-5.09454149282863,4.157229363782681,18.06,10.15,2.31
0.25,-2.175430672251051,-5.3995069312250505,4.033863943309846,18.06,10.15,2.31
0.26,-2.3703710882196694,-5.666351689821919,3.9259192003961156,18.06,10.15,2.31
0.27,-2.540943952192211,-5.899840853594179,3.831467550346601,18.06,10.15,2.31
0.28,-2.690195208168184,-6.104143871894906,3.748822356553276,18.06,10.15,2.31
0.29,-2.8207900571471614,-6.282909012908043,3.6765078119841164,18.06,10.15,2.31
0.3,-2.935060550003766,-6.439328511294537,3.613232585486102,18.06,10.15,2.31
0.31,-3.0350472312532952,-6.57619557238272,3.557866762300339,18.06,10.15,2.31
0.32,-3.3368167023466335,-8.27475787583488,2.4518931670127966,18.06,10.15,2.31
0.33,-3.6008649895533043,-9.76099989135552,1.4841662711361967,18.06,10.15,2.31
0.34,-3.8319072408591413,-11.061461654936078,0.6374052372441722,18.06,10.15,2.31
0.35,-4.034069210751748,-12.199365698069068,-0.10351066741134929,18.06,10.15,2.31
0.36,-4.21096093440778,-13.195031735810433,-0.7518120839849306,18.06,10.15,2.31
0.37,-4.365741192606807,-14.066239518834129,-1.3190758234868143,18.06,10.15,2.31
0.38,-4.501173918530956,-14.828546328979863,-1.8154315955509626,18.06,10.15,2.31
0.39,-4.619677553714586,-15.49556478785738,-2.2497428961070924,18.06,10.15,2.31
0.4,-4.7233682345002626,-16.079205939375207,-2.629765284093706,-35.131252,35.770000625,-21.196875
0.41,-4.814097580187729,-16.589891946953305,-2.9622848735819924,-81.6735975,58.187501171875,-41.765390624999995
0.42,-4.893485757664263,-17.036742203584144,-3.2532395143842434,-122.3981498125,77.80281415039062,-59.762841796874994
0.43,-4.962950412956229,-17.427736178136126,-3.507824825086213,-158.0321330859375,94.96621300659179,-75.51061157226562
0.44,-5.0237319863367,-17.76985590586911,-3.7305869719504363,-189.2118684501953,109.98418700576781,-89.28991012573242
0.45,-5.076915863044612,-18.069210667635474,-3.9255038504566317,-216.4941368939209,123.12491425504683,-101.34679636001587
0.46,-5.1234517551640355,-18.33114608418104,-4.096056119149552,-240.36612178218078,134.62305059816597,-111.89657181501389
0.47,-5.164170660768531,-18.56033957365841,-4.245289354255858,-261.2541085594082,144.68391989839523,-121.12762533813715
0.48,-4.9816879531724645,-18.67790662695111,-3.1504278099738756,-279.5310969894822,153.48718053609582,-129.20479717087
0.49,-4.822015584025906,-18.78077779858222,-2.192423958727141,-295.5234618657969,161.19003359408384,-136.27232252451125
0.5,-4.682302261022668,-18.870790073759444,-1.3541705888862485,-309.5167811325723,167.93003001982336,-142.45640720894733
0.51,-4.560053103394835,-18.949550814539514,-0.6206988902754675,-321.76093549100074,173.82752689234545,-147.8674813078289
0.52,-4.453085090470481,-19.018466462722074,0.021088846008965878,-332.47457055462564,178.98783665580225,-152.60217114435028
0.53,-4.359488079161671,-19.078767654881815,0.5826531152578451,-341.84900123529746,183.50310769882697,-156.74502475130652
0.54,-4.277590694266462,-19.13153119802159,1.0740218508506145,-350.0516280808853,187.45396986147358,-160.37002165739318
0.55,-4.205930482483154,-19.17769929826889,1.5039694944942876,-357.22892657077466,190.9109742537894,-163.54189395021905
0.56,-4.14322779717276,-19.21809638598528,1.8801736826825017,-344.88031262442786,186.69522759706572,-173.08540883144167
0.57,-4.088362947526165,-19.25344383773712,2.209352347347189,-334.0752754213744,183.00644927243252,-181.43598435251144
0.58,-4.040356204085395,-19.28437285801998,2.4973836789287907,-324.6208678687026,179.77876823837846,-188.7427379334475
0.59,-3.9983503035747203,-19.311435750767483,2.7494110940626917,-316.3482612601148,176.95454733358116,-195.13614731676657
0.6,-3.96159514062788,-19.335115781921548,2.9699350823048554,-309.10973047760046,174.48335404188353,-200.73038052717075
0.61,-3.929434373049395,-19.355835809181354,3.1628935720167486,-302.77601604290044,172.3210599116481,-205.6253345862744
0.62,-3.9012937014182203,-19.373965833033687,3.331732250514655,-297.23401591253787,170.4290525476921,-209.90841938799008
0.63,-3.876670613740943,-19.389829603904477,3.479466094200323,-292.38476579847065,168.77354610423058,-213.6561185894913
