time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.01,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.02,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.03,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.04,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.05,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.06,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.07,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.08,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.09,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.1,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.11,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.12,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.13,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.14,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.15,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.16,-3.993528,-12.652877,4.250187,11.27,-18.724999,-25.550001
0.17,-3.8465239999999996,-13.497024625,3.5453818750000003,11.27,-18.724999,-25.550001
0.18,-3.7178954999999996,-14.235653796875,2.9286773906250003,11.27,-18.724999,-25.550001
0.19,-3.6053455624999993,-14.881954322265626,2.389060966796875,11.27,-18.724999,-25.550001
0.2,-3.5068643671874993,-15.447467281982423,1.9168965959472657,11.27,-18.724999,-25.550001
0.21,-3.4206933212890616,-15.94229112173462,1.5037527714538574,11.27,-18.724999,-25.550001
0.22,-3.3452936561279287,-16.37526198151779,1.1422519250221252,11.27,-18.724999,-25.550001
0.23,-3.2793189491119374,-16.75411148382807,0.8259386843943596,11.27,-18.724999,-25.550001
0.24,-3.221591080472945,-17.08560479834956,0.5491645988450646,11.27,-18.724999,-25.550001
