time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.01,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.02,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.03,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.04,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.05,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.06,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.07,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.08,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.09,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.1,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.11,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.12,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.13,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.14,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.15,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.16,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.17,-2.960377,-8.995458296875,0.915997703125,25.9,-10.01,-44.345
0.18,-3.0160077499999995,-9.29874081640625,0.81288543359375,25.9,-10.01,-44.345
0.19,-3.089023109375,-9.696799123291015,0.6775505798339844,25.9,-10.01,-44.345
0.2,-3.1742076953125,-10.161200481323242,0.5196599171142577,25.9,-10.01,-44.345
0.21,-3.2673783361816406,-10.66913946667099,0.34696700476455683,25.9,-10.01,-44.345
0.22,-3.3652075090942386,-11.202475401286126,0.16563944679737083,25.9,-10.01,-44.345
0.23,-3.4650747897758487,-11.746922501205743,-0.019465768627464825,25.9,-10.01,-44.345
0.24,-3.564942070457459,-12.29136960112536,-0.20457098405230048,25.9,-10.01,-44.345
