time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.01,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.02,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.03,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.04,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.05,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.06,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.07,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.08,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.09,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.1,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.11,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.12,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.13,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.14,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.15,5.054639,-1.131979,4.909071,-3.92,-17.78,-10.045
0.16,5.00783834375,-1.127005046875,5.0190366875,-3.92,-17.78,-10.045
0.17,4.925937195312499,-1.1183006289062498,5.211476640625,-3.92,-17.78,-10.045
0.18,4.81844193798828,-1.1068760803222655,5.464054079101563,-3.92,-17.78,-10.045
0.19,4.6930308044433575,-1.093547440307617,5.758727757324218,-3.92,-17.78,-10.045
0.2,4.555862377128599,-1.0789692402915954,6.081027092880248,-3.92,-17.78,-10.045
0.21,4.411835528448103,-1.0636621302747726,6.41944139521408,-3.92,-17.78,-10.045
0.22,4.2648081204200965,-1.0480361221325993,6.7649059955132005,-3.92,-17.78,-10.045
0.23,4.11778071239209,-1.032410113990426,7.11037059581232,-3.92,-17.78,-10.045
0.24,3.973050607614521,-1.0170282622254743,7.450437311731767,-3.92,-17.78,-10.045
0.25,3.8323407835252183,-1.0020736841206601,7.781057729986784,-3.92,-17.78,-10.045
0.26,3.6969075778392644,-0.9876799026947765,8.099279882557237,-3.92,-17.78,-10.045
0.27,3.567630426957217,-0.9739403840609783,8.403037391829034,-3.92,-17.78,-10.045
0.28,3.445086461016943,-0.9609164653560238,8.690974197492926,-3.92,-17.78,-10.045
0.29,3.3296123392655312,-0.9486439265763551,8.962299264368516,-3.92,-17.78,-10.045
0.3,3.2213553501235825,-0.9371384214704158,9.21666651456438,-3.92,-17.78,-10.045
0.31,3.1203154935910975,-0.9263999500382057,9.454075948080522,-3.92,-17.78,-10.045
0.32,2.944796376971053,-0.969179933628573,9.570839874552561,-3.92,-17.78,-10.045
0.33,2.714996563043658,-1.0522665471020014,9.59341014834283,-3.92,-17.78,-10.045
0.34,2.4472287123329393,-1.1649146957441263,9.543510746270648,-3.92,-17.78,-10.045
0.35,2.154575456127343,-1.298435767427251,9.438906426773656,-3.92,-17.78,-10.045
0.36,1.8474420184679436,-1.445851404068593,9.294053097365431,-3.92,-17.78,-10.045
0.37,1.5340211518464044,-1.6016016976835485,9.120647453015925,-3.92,-17.78,-10.045
0.38,1.2206836734666884,-1.7612996147061935,8.92809090573246,-3.92,-17.78,-10.045
0.39,0.9123059373093013,-1.9215246509468717,8.723880644441488,-3.92,-17.78,-10.045
0.4,0.612543905918344,-2.079649746647596,8.51393879369619,-4.994062546875,-19.268593734375003,-11.458671921875
0.41,0.3240620552296682,-2.2336963707520945,8.302889036192816,-6.87367200390625,-21.873632769531252,-13.93259778515625
0.42,0.04872412180818719,-2.3822134365390997,8.094288690038784,-9.340659416259765,-25.29274650317383,-17.179625480712893
0.43,-0.21224834474588716,-2.524176355086352,7.890823054857748,-12.218811397338866,-29.281712525756838,-20.967824458862307
0.44,-0.45814455593969583,-2.6589030840508676,7.694467833315114,-15.366790126644133,-33.644644112957,-25.11116709121323
0.45,-0.6886558808233978,-2.7859845002260304,7.506624572550987,-18.672167792414665,-38.22572227951718,-29.461676855181697
0.46,-0.9037864126746166,-2.9052268266691077,7.328233332707342,-22.04640749288875,-42.90223957454735,-33.90282223923284
0.47,-1.103779610300165,-3.016604188685384,7.159866159503499,-25.420647193362832,-47.578756869577525,-38.34396762328398
0.48,-1.0767774551962854,-3.169822494155886,6.664108711902065,-28.74216439851701,-52.18220358187285,-42.71572011070933
0.49,-0.8764038918324356,-3.3526812359355533,5.925439295583748,-31.971417236861345,-56.6577767743822,-46.966035029039524
0.5,-0.5464236809471064,-3.5553762689241184,5.012332112846539,-35.07957309376777,-60.96551597217244,-51.056963137932335
0.51,-0.12236932134822753,-3.7700913524790494,3.9799383149251373,-38.04644913899663,-65.0774488427904,-54.961939969148204
0.52,0.3670847089907301,-3.990654364068308,2.872346855345859,-40.85880039020315,-68.97521854306368,-58.66353259040491
0.53,0.8989626430160144,-4.212248398502767,1.7244883026156945,-43.50890060768622,-72.64811691447504,-62.1515717912045
0.54,1.4550107855819974,-4.431169403015044,0.5637355465782923,-45.99336956157661,-76.09145913767318,-65.42160854195411
