time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
11.62,-5.315980855141012,3.2013440061301965,1.6594736805844716,-72.43334298037678,52.313804999668776,-3.462682950540504
11.63,-5.270630219408626,3.0279255436076573,1.5324429482798276,-74.306712254226,53.170002711516986,-6.596599634427694
11.64,-5.222572755142561,2.8537643267384296,1.4100775523505786,-76.30558611359704,53.9613882491699,-9.75348722367078
11.65,-5.17259487734458,2.680255406165043,1.2926227062940898,-78.46273588276149,54.67078658989602,-12.955636551878817
11.66,-5.121403553438716,2.5086442130836937,1.180261087802651,-80.78910168757977,55.2888291539976,-16.209781697845685
11.67,-5.069624519684193,2.340018724229833,1.0731156833225812,-83.2801978729365,55.81195805414128,-19.51184402073084
11.68,-5.017803354571907,2.1753088536974263,0.9712540183369228,-85.92107571957037,56.24084636913874,-22.85058286814484
11.69,-4.956247383252951,2.006823864771023,0.8640443675269102,-88.6901268581428,56.579156736862295,-26.210370962438017
11.7,-4.879001789779457,1.8299028490525675,0.7448034956476396,-91.56195962020782,56.83257409727779,-29.573272702517663
11.71,-4.782902346438055,1.6421313964338762,0.6098040160709878,-94.5095381253828,57.008059706652105,-32.92057067994201
11.72,-4.666827088452864,1.4427250115972097,0.4574896694912375,-97.5057387568224,57.11328294743265,-36.23385847616706
11.73,-4.531109432351271,1.232047548057504,0.2878593709060194,-100.52444962392664,57.15619527869705,-39.49579533851617
11.74,-4.377081823999595,1.0112385428277073,0.101987747438171,-103.54131464363384,57.14471716556583,-42.690599832448
11.75,-4.206724488964245,0.7819280039505021,-0.0983443847521141,-106.53420414237551,57.08651420848076,-45.80434437117266
11.76,-4.022398420783024,0.5460210818902633,-0.3109313942839178,-109.48347767860572,56.98884314665197,-48.82510007228175
11.77,-3.8266455315279138,0.3055382726652871,-0.5333538946832161,-112.37209151441186,56.85845208733586,-51.74297121714313
11.78,-3.622042029780111,0.0624994638949578,-0.7631340483326763,-115.18559232453912,56.70152234262808,-54.55005030107276
11.79,-3.411093689992616,-0.181157664240613,-0.9978469590840596,-117.91202990428516,56.52364174626326,-57.240317933738496
11.8,-3.1961638235209766,-0.4236325561634004,-1.2351977579025235,-120.66780080887597,56.54198887695978,-60.05532671750599
11.81,-2.9794265304598717,-0.6632961957435128,-1.4730721392895418,-123.52423885548215,56.89358892099565,-63.14603998929597
11.82,-2.762839265907941,-0.898709972393853,-1.70956658765158,-126.5192276068354,57.65523186812844,-66.59570816425594
11.83,-2.54812994731867,-1.128632948177761,-1.943003287030836,-129.6663431523129,58.859254397404165,-70.43794103994624
11.84,-2.3367948055396286,-1.3520206561636026,-2.1719336884130827,-132.96199700293062,60.50595945330794,-74.67088217939704
11.85,-2.1118445562596264,-1.5703586061678252,-2.377698332506664,-136.390965822194,62.57331224934889,-79.26823220600123
11.86,-1.8629220863840592,-1.784432514191665,-2.5483903589194288,-139.93062558169075,65.02443869403201,-84.18773519843026
11.87,-1.5846051723416943,-1.9945338560241237,-2.677206745088991,-143.5541503005809,67.81335839654172,-89.37763207610548
11.88,-1.275067978196554,-2.2006182396925538,-2.76113774679715,-147.23288789829087,70.88930642440837,-94.7814932941215
11.89,-0.9350333977579456,-2.4024260211526647,-2.799931811679845,-150.93808625652295,74.1999332795406,-100.34176726925944
11.9,-0.5669602780092434,-2.5995728636074467,-2.795284127401928,-154.64211000092973,77.69361896408617,-106.00231816621478
11.91,-0.1744195281298771,-2.7916165137254305,-2.750206052429914,-158.31926164002408,81.32109269836745,-111.71017482349072
11.92,0.2383785970729298,-2.978104888867159,-2.6685402481393043,-161.9462985861062,85.03651329438075,-117.41666987433383
11.93,0.6669368753702786,-3.158609597097089,-2.554592629961929,-165.50271943042443,88.79813508993979,-123.07811299353764
11.94,1.1067282972487131,-3.332748211715881,-2.41285748796967,-168.97087798194886,92.56865962739715,-128.65611339561585
11.95,1.55337847824773,-3.5001979653152406,-2.247816467007401,-172.0399069835831,96.53171040317416,-134.29435212344518
11.96,2.002789846586852,-3.660702990644744,-2.0637956892237432,-174.51270556015513,100.79428786893826,-140.07548370009667
11.97,2.451220947948646,-3.814076796551484,-1.8648682704875088,-176.27802111516252,105.40687833382307,-146.03744899893482
11.98,2.8953315790933867,-3.960201309902546,-1.6547919300617735,-177.28827487969727,110.3792550938976,-152.18625077850862
11.99,3.33220230643202,-4.099023524522703,-1.4369734068622215,-177.54206370510784,115.69279425325828,-158.50587290957304
12.0,3.759335164017964,-4.230550563926322,-1.2144530485300693,-177.07045626297207,121.30998192862674,-164.96590288784117
12.01,4.142060206455312,-4.360962311279008,-0.979670612823494,-175.92635661516368,127.18166828212786,-171.5273163156818
12.02,4.458311917376947,-4.494192017759607,-0.7285467736663211,-174.17633706909535,133.25252313473123,-178.14679831476306
12.03,4.695546721526037,-4.632493355920952,-0.4595413472127353,-171.89444949732635,139.4650644293269,-184.77990749087743
12.04,4.848293311933353,-4.776888068830392,-0.1729162812905879,-169.15761338506172,145.7625617194166,-191.3833307477672
12.05,4.916218360125193,-4.927516798899518,0.1298360310548406,-166.04225273118533,152.09105978558648,-197.91642995056836
12.06,4.902610571597789,-5.083911700893158,0.4464315223466192,-162.62191505949892,158.40072043369813,-204.34224250109483
12.07,4.813203063893243,-5.2452061310613205,0.774126871153695,-158.96565629329834,164.64664183164157,-210.6280659044673
12.08,4.655268221086838,-5.410293951012882,1.1099672894585009,-155.1370168711305,170.789282990534,-216.7457302038309
12.09,4.436930972774019,-5.577948700077253,1.4509673783600978,-151.19344871540756,176.79459501372202,-222.67164075228663
12.1,4.166656242823325,-5.746910997005298,1.7942394334345544,-147.18608075128833,182.63393953677243,-228.38665635468823
12.11,3.8528744379005615,-5.915950966565797,2.137080841540687,-143.15973365275389,188.28385753913716,-233.8758536580584
12.12,3.503715571561745,-6.083911194751366,2.477029955252268,-138.24304484017762,193.50418501965345,-238.26025823506143
12.13,3.126828176750636,-6.249734652416554,2.811897978271977,-131.9001292387735,198.1422938759803,-240.98993416153112
12.14,2.7292637413987,-6.412481153031856,3.1397828770885265,-123.84565740382286,202.1118936037678,-241.76223755542892
12.15,2.317411171146063,-6.571335193813802,3.4590700937708254,-113.97775572093984,205.37614818369576,-240.4570181057851
12.16,1.896968876486143,-6.72560744394368,3.7684238244515047,-102.32537088661482,207.9343126627293,-237.08560230741384
12.17,1.498183320369844,-6.873076107861722,4.015219680917375,-89.0073305005787,209.8112313745592,-231.75094469779904
12.18,1.1411655850243476,-7.012257072981487,4.166409444846437,-74.20082270586155,211.04915450399528,-224.61679407345213
12.19,0.8382911135791673,-7.142240374051592,4.203666173636024,-58.11742625997316,211.7014253968831,-215.88410518857603
12.2,0.5961155694309073,-7.262557743936878,4.119535040589973,-40.985161593768034,211.82767070544196,-205.77324525275696
12.21,0.4168955769714646,-7.373075818357698,3.914402097537671,-23.035314592590456,211.4901917172848,-194.5108091408868
12.22,0.2997878159307732,-7.473910461528662,3.594125915847612,-4.493017516291335,210.75131021984757,-182.3200764507641
12.23,0.2417871687642929,-7.565358435695736,3.16820438108838,14.42923634634451,209.67146783381796,-169.4143248375776
12.24,0.2384539652067045,-7.647843272488386,2.6483716613308825,33.53580929763106,208.30791545339696,-155.9923636834568
12.25,0.2844714914751127,-7.721872736622142,2.0475392769619183,52.65040187817789,206.7138605570378,-142.23577538903663
12.26,0.3740675475500378,-7.788005718784089,1.3790108930176073,71.61722944151,204.93796579192096,-128.30745282306478
12.27,0.5013277031219101,-7.846826768050183,0.6559134577049626,89.9682545854291,202.97263870660248,-114.07677827366732
12.28,0.660422817681575,-7.898926786388186,-0.1092019356158172,107.38054723010929,200.82477115124732,-99.4970340514146
12.29,0.8457691814498699,-7.94488866840166,-0.9046272098118264,123.64409722898476,198.5110187166813,-84.58039810464773
12.3,1.0521361571209145,-7.985276886680737,-1.7196629252150224,138.63580948036952,196.0541862611668,-69.3786385782244
12.31,1.2747133364262542,-8.020630203886142,-2.5447067903642724,152.29858847316018,193.4804977286501,-53.9683784252013
12.32,1.509146868398429,-8.051456842867577,-3.371284568676117,164.6246021612393,190.81756900780329,-38.44000621361881
12.33,1.7530127624661864,-8.044114043311351,-4.161727603869278,175.64196857428902,188.09293615854537,-22.88947920194905
12.34,2.0038055369379046,-7.977718218615494,-4.890809669789338,185.4042372392988,185.33301908756903,-7.412405343843458
12.35,2.259059245790956,-7.840946111305964,-5.54284378145021,193.98214520616943,182.56242365023436,7.900093031435979
12.36,2.5164316746679125,-7.62950313742029,-6.109358034617154,201.45721754425296,179.80350400256793,22.964135461604176
12.37,2.773760003658616,-7.344133749574551,-6.587245123589359,207.91685739863317,177.0761225035389,37.70478247361133
12.38,3.029094612917993,-6.989070560546644,-6.97729822154638,213.45063342858904,174.39755714407573,52.05693604583916
12.39,3.2807163766998926,-6.570837228535501,-7.283060986896352,218.1475246931833,171.7825168327282,65.96564711713114
12.4,3.5271417026328136,-6.0973352989315055,-7.509932051252548,222.09392648700944,169.24323329778804,79.38599282805876
12.41,3.767118684707616,-5.577157820847058,-7.664474846257272,225.37225668625612,166.78960520577488,92.28265120876482
12.42,3.999617015935372,-5.019083027466156,-7.753892372269973,228.0600320417325,164.4293756249775,104.6292727030445
12.43,4.223813721101638,-4.431710039320079,-7.785633784593584,229.7963202853428,162.14139481468712,116.27059616290732
12.44,4.439076297412727,-3.8232057150322794,-7.767105710879947,230.37681801915843,159.91285837411468,127.11017756401064
12.45,4.644944471041037,-3.2011376839528545,-7.705466217635147,229.7131870166017,157.73698671504957,137.09668574139752
12.46,4.841111473944627,-2.5723734586747344,-7.607483483637536,227.8010023782323,155.61122485254964,146.21288341609176
12.47,5.0274055040036805,-1.9430295183327304,-7.479444656058083,224.6946832917812,153.53585986962847,154.4668140386709
12.48,5.203771840994416,-1.3184575231123643,-7.327103180924172,220.4880638555608,151.5129720457896,161.88479567177558
12.49,5.357099943654637,-0.7079335445882049,-7.138843196338782,215.299500168892,149.54565108063025,168.50589079904086
12.5,5.479297228780587,-0.1182606299502606,-6.908794051055506,209.26060840221143,147.6374216167989,174.37757762337287
12.51,5.566041283602229,0.4457479499121831,-6.635267810119499,202.5078933523684,145.7918328122312,179.5523958311721
12.52,5.615790388259699,0.9808688646674342,-6.3195360763740895,195.1766635595944,144.01217540027233,184.0853794142185
12.53,5.629004171438584,1.4851388436393844,-5.964880905191961,187.3967420384145,142.30129681903148,188.03212219544548
12.54,5.607534617374251,1.9575833726998215,-5.57586619459581,179.28957494806332,140.66149084893232,191.4473492454099
12.55,5.554154643188074,2.397994360096825,-5.157785580522138,170.96641737102055,139.0944429884325,194.3838902872343
12.56,5.472197295343921,2.806748664147366,-4.716250874722508,162.527338529112,137.6012167051497,196.8919702157785
12.57,5.365283461547701,3.1846606503442034,-4.256891718123788,154.06084055076573,136.18226887599295,199.01874763162976
12.58,5.2371200187679054,3.532863026442419,-3.7851426105542862,145.64392724268262,134.83748530295082,200.8080453431176
12.59,5.091353673333856,3.8527111201882303,-3.3060980080101685,137.26217156240304,133.49547729856351,202.0935771647764
12.6,4.931468508204115,4.145706540048357,-2.824419910293526,128.9207684558351,132.11092186614218,202.78307972969165
12.61,4.760717530513881,4.413436815533951,-2.3442854285833223,120.6377560341729,130.65798855839165,202.83900773753496
12.62,4.582080389289317,4.657528168369775,-1.869364336441965,112.4388872065831,129.12514886582514,202.26332344267175
