time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
5.44,-4.029381688399277,-2.820881686114088,-0.8281322631426178,-115.5445649896012,47.23790283988978,-14.72312850110564
5.45,-3.939294132511333,-2.9784452083137336,-1.0625263409576668,-115.8757992220569,45.59722811389459,-15.591567621965584
5.46,-3.851839876714137,-3.131600729867936,-1.2904652389573503,-116.18313800593614,44.01745796252492,-16.39894184540577
5.47,-3.76776821404575,-3.278988320903685,-1.5099003446296493,-116.46737966850094,42.50900178471805,-17.146948034517692
5.48,-3.6875999689708014,-3.4196569090263105,-1.719396060775165,-116.7294963215818,41.078714995698455,-17.83781297564217
5.49,-3.611672906820125,-3.5529833138541598,-1.918008561249464,-116.9705779415721,39.730624876047536,-18.474134384071192
5.5,-3.5401793606919494,-3.67860513452151,-2.105185279405576,-117.19178771404012,38.46653048950156,-19.058753378273547
5.51,-3.4731973119267527,-3.796365291993052,-2.280681840503137,-117.39432670055407,37.28649681090384,-19.594653039799205
5.52,-3.4107159728420435,-3.9062663611198096,-2.4444936475855954,-117.57940619490766,36.18926013805708,-20.084878530032924
5.53,-3.352656760529656,-4.008433111527487,-2.596799755389578,-118.5729138984767,35.90427798012664,-20.932787459586347
5.54,-3.2988904142197093,-4.103081918690748,-2.73791702924904,-120.16985089185803,36.24563103139668,-22.041299195344653
5.55,-3.262364173853973,-4.235347162945576,-2.946674894715674,-122.20383629473037,37.06118833578472,-23.332014458732345
5.56,-3.239608112107488,-4.394345847407155,-3.2039582464836336,-124.54065586419932,38.22706518858518,-24.74206187197085
5.57,-3.2277504068311558,-4.571327967582314,-3.494373871329671,-127.07282003669586,39.64293861981389,-26.22144097160704
5.58,-3.224422032372227,-4.759313310097947,-3.805618648612892,-129.71497985569016,41.22809265903878,-27.73078684520964
5.59,-3.227675932671293,-4.952785723741198,-4.127947546085782,-132.40007134436252,42.91808413189785,-29.23949250085522
5.6,-3.235918544889777,-5.147436169753355,-4.453726334055872,-135.07607783812162,44.66193564811967,-30.724134463758013
5.61,-3.247851848855652,-5.339947133579017,-4.77705615087585,-137.7033160311853,46.41977608010014,-32.16715513123424
5.62,-3.262424380816154,-5.527812072545867,-5.093458945771211,-140.2521653972624,48.16086051895862,-33.55576229647019
5.63,-3.2787898758981617,-5.709184509058832,-5.399614445835296,-142.70117254633294,49.86191170622592,-34.88101213709662
5.64,-3.296272397509415,-5.882752179060027,-5.693140681105684,-145.03547226130362,51.50573351044266,-36.1370469973091
5.65,-3.314336978156946,-6.04763232985688,-5.972411288092299,-147.2454756639952,53.08005435257044,-37.32046359345132
5.66,-3.33256493868151,-6.203284846406706,-6.236403826439984,-149.325783399431,54.57656475744061,-38.429790946850034
5.67,-3.3506331750412306,-6.349440384915062,-6.484574210074306,-151.27428808125794,55.99011857120932,-39.46506048387639
5.68,-3.368296806394122,-6.486041119321224,-6.716753094261922,-153.091435664512,57.31807196657584,-40.42745341872661
5.69,-3.385374667798772,-6.613192070361548,-6.933060691620224,-154.8857137881829,60.03520714480059,-42.13713783105372
5.7,-3.401737207502351,-6.731121297402397,-7.133837028791106,-156.6344468861781,63.7734793883664,-44.392253461881445
5.71,-3.40088219559568,-6.779751669708634,-7.214391380237703,-158.32098561923414,68.23514919377824,-47.02972868764203
5.72,-3.386858355298452,-6.7745652567914,-7.20164211212279,-159.93355462392964,73.1809566667689,-49.91873742787057
5.73,-3.3629712532693485,-6.728256405389276,-7.11765646759539,-161.4642941646507,78.42015379973412,-52.95518575354757
5.74,-3.3319058274459827,-6.651186762825318,-6.980442748072923,-162.9084652166926,83.80211493591476,-56.05707300674485
5.75,-3.295829894746125,-6.551770102693141,-6.804620247999893,-164.26379209690137,89.2092866193044,-59.16059495049362
5.76,-3.2564814791673884,-6.436797392549864,-6.601985126881482,-165.52992067554712,94.55127307034796,-62.21687592382481
5.77,-3.2152423878779275,-6.311711030212825,-6.381987766542676,-166.70797354551735,99.75988353957898,-65.18923363897174
5.78,-3.173200108798841,-6.180835877326454,-6.152134900556048,-167.8001863749396,104.78499348415308,-68.05089452027218
5.79,-3.131199799678934,-6.047573605939601,-5.918327864088847,-168.8096120978576,109.59109349665272,-70.78308968688857
