style,quality,session_file,relative_path,num_strokes,stroke_csvs_written
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,12,12
Breast,,session_0af11f2c_20260212_2349.csv,Breast\session_0af11f2c_20260212_2349.csv,10,10
Breast,,session_3e322fe1_20260213_2058.csv,Breast\session_3e322fe1_20260213_2058.csv,9,9
Breast,,session_5cad9c1a_20260212_2345.csv,Breast\session_5cad9c1a_20260212_2345.csv,10,10
Breast,,session_6fbb9911_20260212_2350.csv,Breast\session_6fbb9911_20260212_2350.csv,19,19
Breast,,session_8c44fd34_20260212_2348.csv,Breast\session_8c44fd34_20260212_2348.csv,15,15
Butterfly,,cleaned_allbad.csv,Butterfly\cleaned_allbad.csv,10,10
Butterfly,,cleaned_allgood.csv,Butterfly\cleaned_allgood.csv,10,10
Butterfly,,cleaned_correct.csv,Butterfly\cleaned_correct.csv,9,9
Butterfly,,session_004ea9b7_20260213_1956.csv,Butterfly\session_004ea9b7_20260213_1956.csv,10,10
Butterfly,,session_0abce6ce_20260213_1958.csv,Butterfly\session_0abce6ce_20260213_1958.csv,14,14
Butterfly,,session_20dbc456_20260213_1956.csv,Butterfly\session_20dbc456_20260213_1956.csv,8,8
Butterfly,,session_387bc1b7_20260212_2318.csv,Butterfly\session_387bc1b7_20260212_2318.csv,9,9
Butterfly,,session_7d343c71_20260212_2313.csv,Butterfly\session_7d343c71_20260212_2313.csv,10,10
Butterfly,,session_7da495e5_20260212_2318.csv,Butterfly\session_7da495e5_20260212_2318.csv,7,7
Freestyle,,badfree.csv,Freestyle\badfree.csv,19,19
Freestyle,,session_05cffe03_20260215_1636.csv,Freestyle\session_05cffe03_20260215_1636.csv,9,9
Freestyle,,session_1663d122_20260213_0023.csv,Freestyle\session_1663d122_20260213_0023.csv,9,9
Freestyle,,session_2903622f_20260213_0020.csv,Freestyle\session_2903622f_20260213_0020.csv,10,10
Freestyle,,session_46ecf087_20260213_0022.csv,Freestyle\session_46ecf087_20260213_0022.csv,12,12
Freestyle,,session_8adc1e4a_20260213_0019.csv,Freestyle\session_8adc1e4a_20260213_0019.csv,9,9
