time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
10.38,-0.4619954081724783,-0.6022246483906543,-0.4159524067533068,-56.16672323233991,-31.785378824715693,87.1850479064885
10.39,-0.521660834327289,-0.6149545983025999,-0.4664805742898389,-56.733376923948505,-27.71416193798987,86.16222348121696
10.4,-0.5792599913157022,-0.6261543787304553,-0.5158990217117175,-57.25966837652464,-23.85566522880932,85.10908877309942
10.41,-0.6365284866456481,-0.6372368609528687,-0.5637724420548478,-57.74683418589504,-20.22032141664281,84.04920298449225
10.42,-0.6916765770287996,-0.6466754979520153,-0.6097164913479499,-58.19643245891464,-16.812631288317792,83.0007091153322
10.43,-0.7443395434623251,-0.6547080872489867,-0.6534654901606696,-58.61024311389974,-13.63248366993898,81.97731990120445
10.44,-0.7988859936463941,-0.660194552691215,-0.7004779503428975,-58.99018808234302,-10.676238092274907,80.98914189505658
10.45,-0.8540221977928472,-0.6636459160346208,-0.749254428445808,-59.33826799439579,-7.937608851684056,80.04336275136436
10.46,-0.908874272876962,-0.6629434767813749,-0.795160725298883,-59.65651247402376,-5.408383201049121,79.14482303585993
10.47,-0.9626517479745348,-0.6590717580283996,-0.8381522537442236,-59.94694163070731,-3.0790013247653567,78.29649069061655
10.48,-1.018667662534012,-0.653913133388959,-0.874186638745434,-60.21153672518834,-0.9390214300361406,77.4998535561237
10.49,-1.0755221336415175,-0.647849824940185,-0.9043314235315882,-60.26628081744431,1.9396198085852296,76.33305552258817
10.5,-1.137974851620053,-0.6378320758944019,-0.9229010646408066,-60.15950235968023,5.338819869270572,74.90108426999709
10.51,-1.2037379036408058,-0.6249432355953742,-0.9323183357300392,-59.9307266129596,9.083460277150436,73.28846432238834
10.52,-1.2710078824748072,-0.6100576041852535,-0.9345811786619512,-59.61212131292413,13.03406844447798,71.56273240433808
10.53,-1.3367414618559206,-0.5858933613214852,-0.9306041181151032,-59.22971846894502,17.080642425018162,69.77736369513806
10.54,-1.4023422263530867,-0.5521782166082644,-0.9230660074133744,-58.80444567482126,21.13746251285333,67.97423195379527
10.55,-1.4668162925094623,-0.5116774618027006,-0.9129192506665292,-58.352995462526174,25.1387394627138,66.18567432442664
10.56,-1.5377506198399773,-0.4695022048140235,-0.8928190736155612,-57.88855707401078,29.034971245220813,64.43622121249712
10.57,-1.6125227357674032,-0.4267038954818486,-0.8654123744106709,-57.421431462897246,32.78989919987117,62.74404270160581
10.58,-1.687768359902973,-0.3823973165324983,-0.82060198948176,-56.959547284655685,36.377970662027366,61.12215534636707
10.59,-1.7622008008832846,-0.3376282589535817,-0.76316706993491,-56.50889301874175,39.78222900552152,59.57942664710042
10.6,-1.8320746572450344,-0.2909468358235739,-0.6897473960641199,-56.07387812735855,42.99256389342297,58.12140892973844
10.61,-1.8973665682525451,-0.2435306550549184,-0.6052365770682945,-55.657634239778304,46.00426465301277,56.75102958473102
10.62,-1.958130241238725,-0.1962928032936834,-0.5135545816329236,-55.26226571272815,48.81682833374538,55.469160545823286
10.63,-2.0203395964744137,-0.145968560487524,-0.4131787166647032,-54.889057516818994,51.43298138096653,54.275086413756064
10.64,-2.082683781006825,-0.0940676158314407,-0.3077149807255235,-54.10606910875075,56.29858325491761,52.79391891555216
10.65,-2.1313390975862205,-0.0400980235817606,-0.1944992769482528,-53.02157691962427,62.81039435755332,51.11608880105929
10.66,-2.159217525942536,0.0224143989778656,-0.0815724837914634,-51.72319108858018,70.48083735242201,49.31390496650914
10.67,-2.1707530488099875,0.0904906693910503,0.029368631028445,-50.28133021655299,78.91850721798677,47.44467193745498
10.68,-2.1797438546177244,0.1553455690919097,0.145702427827618,-48.75215034239852,87.81174656477874,45.55331113493765
10.69,-2.186645880085871,0.2167207490333191,0.2643472811921783,-47.18001029277404,96.91482443084168,43.67456126840192
10.7,-2.1918408389585786,0.2744727813473151,0.3829077114057919,-45.59954354708069,106.0363243215642,41.83482211639173
10.71,-2.224565716236768,0.3221574970041664,0.4817480140473744,-44.03739646761109,115.0294051391242,40.0536964669403
10.72,-2.343458486086682,0.3538225371632532,0.5369841205378457,-42.51368393071076,123.78364821601976,38.3452768686581
10.73,-2.526465849157918,0.3727277470168781,0.5579727001862089,-41.043205848854086,132.21824609964264,36.71921689702552
10.74,-2.751859160741241,0.394907896013921,0.5197401955390776,-39.63646161666922,140.27632504023447,35.1816207016033
10.75,-3.0061824436606406,0.4192488554645644,0.4367639311133195,-38.300493991767226,147.92022418162142,33.73577952539561
10.76,-3.2959582783386083,0.4526026079273294,0.2926841672387029,-37.03958920095528,155.12758099015798,32.382779554152286
10.77,-3.6083497255398864,0.4923356276577694,0.1040732829090948,-35.85585602984995,161.88809512497255,31.12200175501049
10.78,-3.933175134716804,0.5363319454567348,-0.1156846954512159,-34.74970321088103,168.2008623043623,29.951531209495517
10.79,-4.304577836512932,0.5763767208738062,-0.3562539492669036,-33.720231486812935,174.07218623382687,28.868490757312244
10.8,-4.690373548255078,0.6082361939138483,-0.5965672225122443,-31.367741721716847,184.23168158241967,31.114467680526424
10.81,-5.081160850241172,0.6333309905552267,-0.8329296157389542,-28.03907392153833,197.5155660589607,35.874130142354055
10.82,-5.441131255664257,0.6284573975063567,-1.0329071259322329,-24.01503024762761,212.9840002666412,42.48396336871655
10.83,-5.7718829370715525,0.6007154059922786,-1.2019028114562706,-19.521465102795545,229.88328607773025,50.407054942514144
10.84,-6.006630553507271,0.5470946717706832,-1.3186193236316075,-14.738634537177308,247.6140163068808,59.21181163272614
10.85,-6.164207126192316,0.4744983491358573,-1.3934858982091065,-9.80906686135745,265.7042785087792,68.55401885440835
10.86,-6.165631562682549,0.4111533622883211,-1.4200032459604863,-4.844178080474162,283.787147030408,78.16173965140867
10.87,-6.047479763078469,0.3558811948224211,-1.409088883364504,0.0701770342720156,301.5818099449299,87.82262364205877
10.88,-5.772827279583494,0.390861938562241,-1.350662685699385,4.869055512214057,318.8777738334712,97.3732593904931
10.89,-5.3826454050391614,0.4943959933230057,-1.2567731486479754,9.504539713885087,335.5216718444877,106.69025764491168
10.9,-4.91010793226242,0.6487984572285441,-1.1371990163953654,13.942495732135017,351.40627101160203,115.68279909524917
10.91,-4.372247305726127,0.907049524012026,-0.988140930508283,18.159876172168005,366.4613351393676,124.28641984480052
10.92,-3.790950993132307,1.2305816294554417,-0.8117327564617937,22.14248186575314,380.6460511256356,132.45784160860077
10.93,-3.1854819882849714,1.599039340975315,-0.6171410488877347,25.883109930126864,393.94277062878393,140.17068255887597
10.94,-2.526528922256777,1.959221396029979,-0.4299855688874749,29.38002655862977,406.3518565823072,147.41190943394795
10.95,-1.8369232635436796,2.3074395569932378,-0.2514477549984093,32.63571229672371,417.8874561313749,154.17891261276952
10.96,-1.0894378175985937,2.635138046527713,-0.0953354169427433,35.655835544690575,428.574048909077,160.47710384948024
10.97,-0.3093176196469092,2.9420058737255506,0.0411681608958563,36.52396369477942,427.6576269121759,168.96263937681377
10.98,0.477640369716832,3.215853555896933,0.1369573976645364,35.73090609571026,417.8719658221707,178.9902738840408
10.99,1.2575373245466208,3.460141319498508,0.2000780102270487,33.67839468242747,401.4486945060391,190.04189613357332
11.0,1.9873024723921369,3.6561877741388,0.2236428071854246,30.69368443346989,380.200116474844,201.7048274006596
11.01,2.667282875080233,3.812236250751854,0.2165544828694088,27.041895548588787,355.5891720216658,213.65355883326225
11.02,3.298522138465178,3.935223017990726,0.1861081176451247,22.936433784404983,328.78846178373766,225.63440708895388
11.03,3.856339525455758,4.002677558251882,0.1301312736820772,18.54777656207044,300.7299732143281,237.4526440333279
11.04,4.349227391660175,4.026561260041644,0.0554822951215864,14.0108705861882,272.1469119937749,248.9617217402185
