time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
7.82,-2.5884368739557653,-0.3532500272595194,-0.9387192638986536,-111.48466637403769,82.50006017645192,-7.802822617073442
7.83,-2.705534538811998,-0.5281411565443908,-0.9807856186441544,-115.1271315767134,79.84050262221062,-9.70928476356899
7.84,-2.8141045862986136,-0.6905159249571142,-1.0205135837048631,-118.64851689475088,77.0544272975226,-11.61768103567388
7.85,-2.8830275041196383,-0.9230884206956508,-1.0822610947090805,-122.02217878051783,74.21501923178452,-13.49773943094678
7.86,-2.9205186676994908,-1.2057721061720983,-1.1599025157168543,-125.23002644648756,71.37914403720718,-15.326725726844051
7.87,-2.9333590950075106,-1.5224052387060645,-1.2484995643678556,-128.26079998064426,68.59028424702754,-17.088032035783463
7.88,-2.927125670680721,-1.8600835239476,-1.3441001865480309,-131.10864529616043,65.88099656006145,-18.770000443631083
7.89,-2.9063862259511364,-2.2085982810239693,-1.443569159989914,-133.771938611225,63.27496388472707,-20.36494501458268
7.9,-2.8748646631745616,-2.5599641687695653,-1.5444456371565138,-136.25232034289593,60.788705088225335,-21.868340951489643
7.91,-2.835580565686644,-2.908022861437763,-1.6448235394066213,-138.5539044289737,58.43299596140017,-23.27815440394201
7.92,-2.790967091583603,-3.2481110658018864,-1.743251315513631,-140.6826343162993,56.214046880527775,-24.59429043153926
7.93,-2.742970399042469,-3.576782986865014,-1.83864809229066,-143.57927697509078,54.2022882579766,-26.21899943030061
7.94,-2.6931333782056246,-3.891578817259205,-1.9302336855685316,-147.0185928079922,52.38059355855498,-28.05457353200381
7.95,-2.642666059467953,-4.190832080885083,-2.0174703165848933,-150.8196534799325,50.73288052995787,-30.022910382807773
7.96,-2.5925047207552363,-4.473509734584816,-2.1000142010101563,-154.83828347126286,49.24411773415762,-32.06213845009818
7.97,-2.543361418916512,-4.739079848595787,-2.1776754531324647,-158.96069887913666,47.90031312902684,-34.12377966645962
7.98,-2.495765415650668,-4.987402469501127,-2.2503849828334124,-163.09816225580354,46.68848908558255,-36.17036780607291
7.99,-2.450097750405715,-5.218639937545823,-2.318167263653928,-167.18249886831717,45.59664741035828,-38.17345299411945
