style,quality,session_file,relative_path,stroke_index,start_time,peak_time,end_time
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,117,0.57,1.17,1.77
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,243,1.83,2.43,3.03
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,329,2.69,3.29,3.89
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,467,4.07,4.67,5.27
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,617,5.57,6.17,6.77
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,701,6.41,7.01,7.61
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,914,8.54,9.14,9.74
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,998,9.38,9.98,10.58
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1138,10.78,11.38,11.98
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1223,11.63,12.23,12.83
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1364,13.04,13.64,14.24
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1592,15.32,15.92,16.52
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1900,18.4,19.0,19.6
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,1981,19.21,19.81,20.41
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,2128,20.68,21.28,21.88
Breast,,cleaned_session_e0665051_20260419_0147.csv,Breast\cleaned_session_e0665051_20260419_0147.csv,2273,22.13,22.73,23.33
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,91,0.31,0.91,1.51
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,186,1.26,1.86,2.46
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,291,2.31,2.91,3.51
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,402,3.42,4.02,4.62
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,554,4.94,5.54,6.14
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,666,6.06,6.66,7.26
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,778,7.18,7.78,8.38
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,889,8.29,8.89,9.49
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,1003,9.43,10.03,10.63
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,1113,10.53,11.13,11.73
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,1223,11.63,12.23,12.83
Breast,,session_04c9cee2_20260213_2103.csv,Breast\session_04c9cee2_20260213_2103.csv,1307,12.47,13.07,13.67
Breast,,session_0af11f2c_20260212_2349.csv,Breast\session_0af11f2c_20260212_2349.csv,93,0.33,0.93,1.53
Breast,,session_0af11f2c_20260212_2349.csv,Breast\session_0af11f2c_20260212_2349.csv,213,1.53,2.13,2.73
Breast,,session_0af11f2c_20260212_2349.csv,Breast\session_0af11f2c_20260212_2349.csv,343,2.83,3.43,4.03
Breast,,session_0af11f2c_20260212_2349.csv,Breast\session_0af11f2c_20260212_2349.csv,497,4.37,4.97,5.57
