time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
6.76,-4.747339445739705,1.5619989766079063,2.9393932994569694,68.5225576399723,168.06171212324168,205.98052656812527
6.77,-5.531644890022242,0.8734967295319183,3.167097262024848,57.144112934975766,157.54087335783646,201.1148366221096
6.78,-6.217912153769461,0.2710572633404284,3.3663382292717423,47.1879738181038,148.3351394381069,196.8573579193459
6.79,-6.453787134548279,-0.1737073945771251,3.1848618256127743,38.47635209084083,140.28012225834354,193.13206405442764
6.8,-6.660177742729744,-0.5628764702549844,3.026069972411177,30.853683079485727,133.2319822260506,189.87243192262417
6.81,-6.878045774888525,-0.6593749114731113,2.83686972585978,24.18384769455001,127.06485969779428,187.02025380729611
6.82,-7.06868030302746,-0.7438110475389723,2.671319510127307,18.347741732731254,121.66862748556998,184.52459795638413
6.83,-7.392438515149027,-0.8420212915966008,2.349548321361393,13.24114901613985,116.94692429987371,182.3408990868361
6.84,-7.675726950755399,-0.9279552551470256,2.0679985311912192,8.77288038912237,112.81543401238952,180.4301625759816
6.85,-7.824830081910974,-1.1413627232536474,1.686574964792317,-7.443729659517925,122.64475451084084,160.7988922539839
6.86,-7.955295321672103,-1.3280942578469417,1.3528293441932773,-21.633263452078182,131.24540994698577,143.62153072223592
6.87,-7.75197053146309,-1.2762058506160736,1.1069344261691174,-34.04910552056841,138.77098345361253,128.59133938195643
6.88,-7.5740613400302035,-1.2308034942890644,0.8917763728979777,-44.91296733049736,145.35586027191096,115.43992195921189
6.89,-7.165363047526428,-1.1246773075029313,0.5474464512857306,-54.41884641418519,151.11762748792208,103.93243171431038
6.9,-6.8077520415856245,-1.0318168940650647,0.2461577698750142,-62.73649061241204,156.1591738019318,93.86337775002158
6.91,-6.2969691613874215,-1.2381396573069317,-0.0934813263593625,-70.01442928586054,160.57052682669035,85.05295553126889
6.92,-5.850034141213993,-1.4186720751435653,-0.3906655355644421,-76.38262562512797,164.43046072335406,77.34383608986028
6.93,-5.302103873562244,-1.85554006575062,-0.7124687186188869,-81.95479742198698,167.8079028829348,70.59835657862774
6.94,-4.822664889366963,-2.237799557531792,-0.994046503791526,-86.83044774423861,170.76316477256796,64.69606200629927
6.95,-4.1689692781960925,-2.982385487840318,-1.344667815817585,-91.09664177620878,173.34901892599697,59.53155425551186
6.96,-3.5969856184215807,-3.633898176860279,-1.6514614638403873,-94.82956155418267,175.61164131024736,55.01260997357288
6.97,-2.8500140411188832,-4.622080904752744,-1.8555761558603387,-98.09586635990986,177.59143589646646,51.05853372687627
6.98,-2.196413910979023,-5.486740791658652,-2.0341765113777965,-100.95388306492111,179.32375615940816,47.59871701101674
6.99,-1.5556542971066452,-6.42361894270132,-2.181126197455572,-103.454647681806,180.8395363894821,44.571377384639646
7.0,-0.9949896349683144,-7.243387324863655,-2.309707172773625,-105.64281672158025,182.16584409079687,41.922455211559694
7.01,-0.1663256805972751,-7.902854659255698,-2.578278901176922,-135.1462140063827,176.70261320444726,-0.1466005648852686
7.02,0.5587552794773842,-8.479888576848737,-2.8132791635298067,-160.96168663058486,171.92228617889134,-36.95702436927461
7.03,1.7876023695427112,-9.166217754742645,-3.093955643088581,-183.55022517676176,167.73950003152993,-69.16614519811529
7.04,2.867185698349872,-10.320106535399814,-2.8156428127025084,-203.31519640466647,164.07956215258866,-97.34912592335088
7.05,3.811821111056138,-11.329759218474836,-2.572119086114695,-220.6095462290832,160.8771165085151,-122.00923405793202
7.06,4.638377097174121,-12.213205316165483,-2.3590358253503583,-235.7421023254478,158.0749765699507,-143.58682867569053
7.07,5.365805585027356,-13.604157276644798,-1.0730320971815637,-248.9830889097668,155.62310412370687,-162.4672239662292
7.08,6.002305511898936,-14.8212402420642,0.0522211649661318,-260.568952171046,153.47771573324349,-178.98756984545057
7.09,6.848464197911569,-15.291893086806176,2.6809312693453653,-270.70658252466524,151.60050089158804,-193.4428724897693
7.1,7.588853048172623,-15.703714325955405,4.981052610677194,-279.5770090840821,149.95793790513952,-206.0912623035481
7.11,8.110137167151045,-14.409478160210975,6.365815284342545,-287.3386323235718,148.52069529199707,-217.15860339060455
7.12,8.566260771257165,-13.277021515184604,7.577482623799726,-294.1300526581253,147.26310800549743,-226.842526841779
7.13,7.209970049850019,-11.308659950786527,7.078137295824761,-300.0725454508597,146.16271912981023,-235.31595986155665
7.14,6.023215668618767,-9.586343581938213,6.641210133846666,-305.2722266445022,145.19987886358393,-242.73021375386205
7.15,4.984805585041421,-8.079316759195937,6.258898867115833,-309.8219476889394,144.35739363063593,-249.2176859096293
7.16,4.076196761911244,-6.760668289296445,5.924376508726354,-313.802953602822,143.62021905180643,-254.89422404592565
7.17,3.281164041672338,-5.60685087813439,5.63166944513556,-308.7507112774692,151.97456654533062,-278.65619529018494
7.18,2.585510411463296,-4.597260643367592,5.375550764493616,-304.3299992427855,159.2846206021643,-299.44792012891185
7.19,1.976813485030384,-3.7138691879466426,5.151446918931914,-300.4618762124373,165.68091790189376,-317.64067936279787
7.2,1.4442036744015856,-2.940901664453312,4.955356054065425,-297.0772685608826,171.27767803915705,-333.5593436924481
7.21,0.9781700901013874,-2.264555081396648,4.783776547307247,-294.11573686577225,176.17484315926242,-347.4881749808921
7.22,0.570390703838714,-1.672751821222067,4.633644478893841,-291.5243966325507,180.45986263935464,-359.6759023582806
7.23,0.2135837408588747,-1.154923968569309,4.502278919032111,-289.25697392848184,184.2092546844353,-370.3401638134955
7.24,-0.0986223517484845,-0.7018245974981452,4.387334054153097,-287.2729790624216,187.4899727238809,-379.67139258680857
7.25,-0.371802682779924,-0.305362647810877,4.28675729738396,-285.53698355461887,190.3606010083958,-387.8362177634575
