time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
11.05,-0.8478124530223312,1.3967559087136503,-0.6590731968375421,-81.48571646523192,55.16571230827738,15.57974745977196
11.06,-1.06306052139454,0.8535964201244439,-0.7290277972328493,-83.57625178207793,55.55437364474271,17.158528902300464
11.07,-1.2514025812202223,0.3783318676088884,-0.7902380725787431,-85.40547018431819,55.89445231414987,18.539962664512903
11.08,-1.4162018835676944,-0.0375246158422226,-0.8437970635064002,-87.00603628627842,56.19202114988114,19.748717206448795
11.09,-1.5604012731217325,-0.4013990388619448,-0.8906611805681001,-88.40653162549361,56.452393881146,20.806377430642694
11.1,-1.686575738981516,-0.7197891590042016,-0.9316672829970876,-89.63196504730692,56.68022002100274,21.73183012681236
11.11,-1.7969783966088264,-0.9983805141286765,-0.9675476226224516,-90.70421929139356,56.8795678933774,22.54160123596082
11.12,-1.893580722032723,-1.2421479498625918,-0.9989429197946452,-91.64244175496935,57.05399728170522,23.25015095646572
11.13,-1.9781077567786325,-1.455444456129768,-1.0264138048203144,-98.8508862855982,64.29849812149207,18.401382086907503
11.14,-2.052068912181304,-1.6420788991135469,-1.0504508292177752,-105.15827524989842,70.63743635630557,14.158709326044065
11.15,-2.1167849231586406,-1.8053840367243537,-1.0714832255655533,-110.67724059366112,76.18400731176737,10.446370660288558
11.16,-2.1734114327638108,-1.9482760321338093,-1.0898865723698592,-115.50633526945349,81.03725689779645,7.198074327752489
11.17,-2.222959628668334,-2.073306528117083,-1.105989500823627,-119.73179311077178,85.2838502855719,4.3558150367834285
11.18,-2.266314300084793,-2.1827082121024475,-1.1200795632206737,-123.42906872192528,88.99961949987541,1.8688381571855
11.19,-2.304249637574194,-2.2784346855896414,-1.1324083678180894,-126.66418488168463,92.25091756239098,-0.3072666124626875
11.2,-2.33744305787742,-2.362195349890936,-1.1431960718408285,-129.49491152147405,95.0958033670921,-2.2113582859048515
11.21,-2.2658505506427424,-3.2370930561545688,-1.0939159378607248,-131.9717973312898,97.5850784462056,-3.877438500166745
11.22,-2.2032071068124,-4.002628549135247,-1.0507958206281345,-134.13907241487857,99.76319414042987,-5.335258687645902
11.23,-2.14839409346085,-4.672472105493341,-1.0130657180496174,-136.03543811301876,101.66904537287616,-6.610851351690164
