time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.23,-3.740672865028918,-4.596796225516558,4.021880544087887,8.541276964049327,-29.033935006919798,-2.184989534762609
0.24,-3.5723782740269896,-4.802153210482121,3.8952365078153615,7.898992010653734,-26.95359283240503,-0.3089034882615129
0.25,-3.406713286009467,-5.004301492557597,3.7705712846095936,7.301867718043767,-25.019524717035832,1.4352702580949752
0.26,-3.245650103214653,-5.200834544575422,3.649368984270653,6.748649623419828,-23.227667492502608,3.0511959348664277
0.27,-3.0906267897746447,-5.389997607142577,3.532711770194422,6.23769124435744,-21.572688250399004,4.543682844662282
0.28,-2.942649990581909,-5.570562348683953,3.4213571567580203,5.767071684694714,-20.048365264250947,5.918341840526885
0.29,-2.8023803163471293,-5.7417226766033815,3.315802262771431,5.334689964254585,-18.647893520727425,7.18130979297749
0.3,-2.6702031233182018,-5.903008370219767,3.216337074207145,4.938340053851133,-17.364127755830857,8.339030416057211
0.31,-2.546287004853582,-6.054213707985127,3.123088459928127,4.575769965357066,-16.18977384589707,9.398081667851727
0.32,-2.4306319609532703,-6.195338689899464,3.0360564199343765,4.244727710645091,-15.11753766726187,10.365041506446724
0.33,-2.3496845529521995,-6.391763665272949,2.847566351502687,3.942996488902407,-14.140239066943328,11.246385109332785
0.34,-2.2965749819365016,-6.627458557898384,2.5843426373674454,3.668421077116564,-13.250897340653454,12.048407787959103
0.35,-2.26560859190985,-6.88953674822257,2.268013846273784,3.418927073138082,-12.44279356051506,12.777168779595517
0.36,-2.2520794246721034,-7.167719679123548,1.915969117994672,3.1925343658242737,-11.709514204463554,13.438451901635965
0.37,-2.252112024370202,-7.453886193733303,1.5420800741873102,2.9873659748211354,-11.044979788041877,14.03773973098512
0.38,-2.2625273425082746,-7.741693787829314,1.157308492613122,2.801653207102777,-10.443461566280876,14.580198542033926
0.39,-2.2807291901060447,-8.02626083974924,0.7702170240233039,2.633737912957428,-9.89958884077197,15.070671717023888
0.4,-2.3046081954526803,-8.30390049137935,0.3873976961338605,2.4820724859874352,-9.408348959667151,15.51367974604708
0.41,-2.33246066524225,-8.571898232605852,0.0138307779664138,-2.5175946141300187,-5.088285020076478,12.314440944110975
0.42,-2.362920123905479,-8.828326421472926,-0.3468152809112627,-11.150893196811662,2.0957213402363264,6.376595018501911
0.43,-2.3948996293834908,-9.071889981363766,-0.6919337122252454,-22.431295592977115,11.360183517034624,-1.5652181435816228
0.44,-2.4275432409309765,-9.30179837907138,-1.019771328196494,-35.56213055890102,22.072737456817155,-10.917227890433368
0.45,-2.4601852522574736,-9.517659724518282,-1.3292558571714108,-49.904533664703685,33.72660299732539,-21.202794245203712
0.46,-2.4923160069878,-9.719393462055468,-1.6198531081495282,-64.95044357907285,45.91906858306879,-32.04240290361845
0.47,-2.5235532878440217,-9.90715866013776,-1.891449204864813,-80.29988355133874,58.33339255366813,-43.1368313154732
0.48,-2.553618420252004,-10.081295363979864,-2.14425385383644,-95.64187872461514,70.72360303813218,-54.25300565712021
0.49,-2.605462311935428,-10.296041319046788,-2.2934481342391475,-110.73845529908276,82.90175459595417,-65.21213900217622
0.5,-2.673170505381558,-10.538523326534795,-2.3609845655749835,-125.41124924986138,94.72726491997486,-75.87980137570071
0.51,-2.7519668643421644,-10.798451967790694,-2.364946449479374,-139.53032222389717,106.09801070055356,-86.15762406206008
0.52,-2.8380214069160323,-11.067676803005511,-2.320172166070558,-153.00484205989494,116.942909474738,-95.97638475845928
0.53,-2.928288394091087,-11.339812398669896,-2.2387838527408306,-165.77533652714484,127.21575509130516,-105.290257982914
0.54,-3.0203701124893154,-11.609924426621223,-2.130634615148683,-177.80727259539643,136.89010929631277,-114.07204746752907
