time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
19.66,-1.229964814262869,-1.360545556405609,1.529722549979319,-90.73065627997266,85.5079388053201,67.17979462400069
19.67,-1.319249385045282,-1.5794478938626269,1.578484254779659,-93.65676021014548,84.14199993222309,64.80378021897394
19.68,-1.4048231910342346,-1.7938148101365523,1.554002259161487,-96.48718723152554,82.6236717491922,62.25481949920387
19.69,-1.4862188520096165,-2.001359811500393,1.473825586591926,-99.20013619740205,81.01239437860305,59.613274268454845
19.7,-1.563143813506243,-2.2004388936148898,1.3522604374903568,-101.78075119944184,79.35512899520505,56.942118165718014
19.71,-1.6354439431910626,-2.389925645646069,1.2009066914986812,-104.2197259010123,77.68854881111588,54.29002805322079
19.72,-1.703073496493642,-2.5691075394567204,1.0291109532941378,-106.51214826782385,76.04087729812393,51.69397424750852
19.73,-1.7660704279832165,-2.737600059101489,0.8443486232110632,-108.6565474038542,74.43342760383128,49.181386579892745
19.74,-1.824536181342684,-2.895275831031055,0.6525456576285363,-110.6541100173172,72.8818891409536,46.77196185656359
19.75,-1.8786192240500472,-3.042206346554768,0.4583491268289683,-112.50803900235424,71.39740050311049,44.4791685237559
19.76,-1.9285017063720904,-3.178614235837693,0.2653543434538464,-114.22303085023644,69.98744202252576,42.311495995141335
19.77,-1.9743887208628403,-3.304834366134968,0.0762951914408024,-115.80485220486128,68.65657629485109,40.273488965496725
19.78,-2.016499720693839,-3.4212823039229607,-0.1067966935604469,-118.72671783254498,68.80870135811813,37.165663427714186
19.79,-2.0550617249286063,-3.528428907793096,-0.2824590790526465,-122.6289007063568,70.09386429158636,33.28731786866639
19.8,-2.0903039980938405,-3.626780012196901,-0.4496885292099142,-127.22066736433214,72.22642867359194,28.879642067697517
19.81,-2.1224539416407566,-3.716860326315488,-0.6078485530926674,-132.26865025302683,74.97446347116508,24.135567734647942
19.82,-2.151733977455728,-3.799200811713852,-0.7565935471108274,-137.58704896073016,78.15077976194507,19.20806443692799
19.83,-2.2301697239788187,-3.9514378425389447,-0.9449686902323744,-143.02938480005412,81.60536912891811,14.21711557715915
19.84,-2.345014752973392,-4.154810712349736,-1.160742304649928,-148.48157350828566,85.2190333609925,9.255574784880524
19.85,-2.485941185282152,-4.394156757793159,-1.3941214109282123,-153.8561153707085,88.89802578303394,4.394073619153439
19.86,-2.644634216498513,-4.657304983870261,-1.6373331733767706,-159.08723165020865,92.56955084392452,-0.314873751780631
19.87,-2.81445022139075,-4.9345650634625695,-1.884272879417436,-164.12680152591645,96.17799112735754,-4.8334448209054575
19.88,-2.9901288779271384,-5.218297342158828,-2.130208359363923,-168.94097540691277,99.681750248621,-9.135656361002503
19.89,-3.1675511481202,-5.50255158143942,-2.371532236832891,-173.50735901256758,103.0506166188286,-13.20499558137364
19.9,-3.343536149547384,-5.782763974303632,-2.605554670569555,-177.81267844482568,106.26356718947464,-17.03245850663633
19.91,-3.5156709764283938,-6.055503509866799,-2.83033033592154,-181.85085000319788,109.30694237341494,-20.614930785249385
19.92,-3.682168406752474,-6.318260083815681,-3.0445143244578787,-185.62139004002665,112.17293366465964,-23.95385597066798
19.93,-3.841748182988839,-6.569267881310673,-3.247242435611359,-189.12811000509825,114.85833429913356,-27.054144706837405
19.94,-3.9935381963106074,-6.807358524997298,-3.438032013906815,-191.9547688845265,117.36624524897869,-30.453207228172783
19.95,-4.136992453442732,-7.031839306491786,-3.61670006582198,-194.2165894502681,119.69907955043855,-34.02790807687999
19.96,-4.271823174474472,-7.24239252503457,-3.783295885791059,-196.0106147357535,121.86142025701818,-37.68122731922019
19.97,-4.397944770663234,-7.438992559152725,-3.9380458434894,-197.41845261470715,123.8594402314773,-41.3376556560241
19.98,-4.515427793203643,-7.621837810912675,-4.08130834479767,-198.50861829367625,125.70043308330573,-44.93933270051421
19.99,-4.6244612355673365,-7.791295100370877,-4.213537285724351,-199.33853235579824,127.3924365310602,-48.44281458300641
20.0,-4.631886867446299,-7.862777007919018,-4.250503204781899,-199.95622386655103,128.94393241244944,-51.81637389018003
20.01,-4.561402993924782,-7.858129608886828,-4.213955780235617,-200.40178105655636,130.36361006519354,-55.03774936145077
20.02,-4.432370965854796,-7.795268325113951,-4.121695755501188,-200.70858607614545,131.66018192330708,-58.09227509161976
20.03,-4.260529132397231,-7.688819243395437,-3.9882223341341847,-200.90436513682852,132.8422419721236,-60.97132952422384
20.04,-4.058596070337576,-7.550661520776646,-3.825280428179226,-201.0120808999011,133.9181592286843,-63.671053519120335
20.05,-3.836779615474129,-7.390385584384499,-3.642322680992161,-201.05069014194257,134.8959997027904,-66.19129446022671
20.06,-3.603205820102518,-7.215679702078254,-3.446899020161561,-201.03578643441276,135.7834713829218,-68.53473992357024
20.07,-3.364279901457027,-7.032655671842562,-3.244984638898109,-200.98014474529748,136.58788771016424,-70.70621001388685
20.08,-3.124989480908807,-6.8461228100708205,-3.0412557120104955,-200.89418244042335,137.31614577773792,-72.71208223906851
