time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
5.12,-1.5336834563172697,-1.8343105404868671,-0.1249143530935795,-94.52241383149251,91.64941035595048,27.99183409138636
5.13,-1.1320316492776108,-1.930446472926009,-0.0825380589568821,-95.87148722755596,92.41698456145664,26.019729829963065
5.14,-0.7805863181179095,-2.0145654138102573,-0.0454588015872718,-97.05192644911143,93.08861199127456,24.29413860121768
5.15,-0.6996529033531708,-2.0113529870839755,-0.2379152013888628,-98.08481076797251,93.67628599236524,22.78424627606547
5.16,-0.6288361654340244,-2.0085421136984785,-0.406314551215255,-98.98858454697596,94.19050074331956,21.46309049155729
5.17,-0.6617057697547714,-2.0772680994861688,-0.5700604823133482,-99.77938660360395,94.64043865040462,20.307079180112627
5.18,-0.6904666735354249,-2.1374033370503978,-0.7133381720241796,-100.47133840315348,95.03413431910404,19.29556928259855
5.19,-0.5338838393434968,-2.288150419919098,-0.7871800255211571,-101.0767962277593,95.37861802921604,18.410498122273733
5.2,-0.3968738594255597,-2.4200541174292107,-0.8517916473310124,-101.60657182428938,95.68004127556402,17.636060856989516
5.21,-0.1598427519973647,-2.6046353527505595,-0.7859424414146359,-110.2688762212532,90.44441111611852,6.825928124865827
5.22,0.0475594670023058,-2.7661439336567395,-0.7283243862378064,-117.84839256859657,85.8632347266037,-2.6329380157424005
5.23,0.3196417836270176,-2.856015191949647,-0.8201394629580805,-124.48046937252198,81.85470538577823,-10.9094458887746
5.24,0.5577138106736403,-2.934652542955941,-0.9004776550883205,-130.28353657595673,78.34724221255594,-18.151390277677777
5.25,0.6515240843394353,-3.023592475086448,-1.2375478232022803,-135.36122037896214,75.27821193598645,-24.488091617968053
5.26,0.7336080737970059,-3.101414915700642,-1.5324842203019955,-139.8041937065919,72.59281044398814,-30.03270529072205
5.27,0.8054315645723801,-3.169509551238062,-1.790553567764246,-143.69179536826792,70.24308413848962,-34.88424225438179
5.28,0.3742094940008325,-3.375921732333304,-2.1840543717937155,-147.09344682223443,68.18707362117841,-39.12933709758407
5.29,-0.0031098177492715,-3.556532390791641,-2.528367575319501,-150.06989184445513,66.38806441853112,-42.84379508538606
5.3,-0.4548609655306126,-3.823889841942687,-2.551991003404564,-152.67428123889826,64.81393136621472,-46.0939458247128
5.31,-0.381431344839286,-4.011210986699851,-2.4369717529789936,-154.953121959036,63.43656494543788,-48.937827721623705
5.32,-0.3171804267343753,-4.17511698836237,-2.3363299088566194,-156.9471075891565,62.23136932725814,-51.42622438142074
5.33,-0.1874213733925783,-4.239582114817074,-2.141392420249542,-158.69184501551194,61.17682316135088,-53.60357145874315
5.34,-0.073882201718506,-4.295989100464939,-1.9708221177183491,-160.21849026357296,60.25409526618202,-55.50875015140025
5.35,-0.1235205515036928,-4.332700962906822,-1.900314603003556,-161.55430485562636,59.44670835790927,-57.17578150747522
5.36,-0.1669541075657312,-4.364823842543469,-1.8386205276281116,-162.72314262367306,58.74024481317061,-58.63443394404082
5.37,-0.2863182191200147,-4.390237987225536,-1.7585670866745975,-173.23525042071392,61.775214211524286,-71.92012957603572
5.38,-0.3907618167300129,-4.412475363822344,-1.6885203258402728,-182.43334474312468,64.43081243508375,-83.54511325403125
5.39,-0.6669478396387614,-4.33401019334455,-1.5690230351102388,-190.4816772752341,66.75446088069829,-93.71697397227734
5.4,-0.9086106096839162,-4.265353169176482,-1.464462905721459,-197.52396824082984,68.787653270611,-102.61735210074266
5.41,-1.1479542834734269,-3.9538391480294215,-1.4295977925062766,-203.6859728357261,70.56669661178462,-110.40518296314984
5.42,-1.3573799980392485,-3.681264379525744,-1.399090818442992,-209.0777268562604,72.12335953531155,-117.21953496775608
5.43,-1.3591919982843423,-3.2645945820850257,-1.384896591137618,-213.79551162422783,73.4854395933976,-123.18209297178656
5.44,-1.3607774984987997,-2.900008509324397,-1.3724766422454155,-217.92357329619932,74.6772596442229,-128.39933122531326
5.45,-1.1940320611864497,-2.442053445658848,-1.186297561964739,-221.53562725917445,75.72010218869504,-132.9644146971491
5.46,-1.0481298035381434,-2.041342764951492,-1.0233908667191465,-224.69617447677768,76.63258941510816,-136.95886273500545
5.47,-0.7486095780958755,-1.6221839193325551,-0.556484008379253,-227.46165329218044,77.43101573821963,-140.45400476812978
5.48,-0.4865293808338911,-1.255419929415986,-0.1479405073318464,-229.8814472556579,78.12963877094217,-143.51225404711354
5.49,-0.0900364582296546,-0.8303511882389878,0.4735748060846344,-231.99876697370067,78.74093392457439,-146.18822216622436
5.5,0.2568948490490522,-0.4584160397091144,1.0174007053240552,-233.8514217269881,79.27581718400259,-148.52969427044633
5.51,0.7095208679179207,-0.0458221597454751,1.6558778671585483,-235.4724946361146,79.74384003600227,-150.57848236164054
5.52,1.1055686344281803,0.3151974852227093,2.21454538376373,-236.89093343160027,80.15336003150199,-152.37117194143548
