time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.04,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.05,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.06,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.07,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.08,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.09,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.1,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.11,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.12,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.13,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.14,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.15,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.16,1.557189,-3.313575,6.067865,24.395001,-39.235001,-6.58
0.17,0.75043875,-4.61171125,4.650593375000001,24.395001,-39.235001,-6.58
0.18,0.04453228125,-5.74758046875,3.4104807031250006,24.395001,-39.235001,-6.58
0.19,-0.57313587890625,-6.741466035156249,2.325382115234376,24.395001,-39.235001,-6.58
0.2,-1.1135955190429687,-7.611115905761718,1.3759208508300786,24.395001,-39.235001,-6.58
0.21,-1.5864977041625976,-8.372059542541503,0.5451422444763188,24.395001,-39.235001,-6.58
0.22,-2.000287116142273,-9.037885224723816,-0.181789036083221,24.395001,-39.235001,-6.58
0.23,-2.3623528516244887,-9.62048269663334,-0.8178539065728184,24.395001,-39.235001,-6.58
0.24,-2.6791603701714277,-10.130255484554173,-1.3744106682512165,24.395001,-39.235001,-6.58
0.25,-2.956366948899998,-10.576306673984902,-1.8613978347198143,24.395001,-39.235001,-6.58
0.26,-3.198922705287499,-10.96660146473679,-2.2875116053798377,24.395001,-39.235001,-6.58
0.27,-3.4111589921265617,-11.308109406644691,-2.660361154707358,24.395001,-39.235001,-6.58
0.28,-3.596865743110741,-11.606928855814107,-2.986604510368938,24.395001,-39.235001,-6.58
0.29,-3.759359150221899,-11.868395873837343,-3.272067446572821,-26.665624750000003,-11.230625624999997,-38.05812375
0.3,-3.901540881444162,-12.097179514607678,-3.5218475157512183,-71.34367228125001,13.273202828125005,-65.60148203125
0.31,-4.025949896263642,-12.29736520028172,-3.740405076282316,-110.43696387109377,34.71405272460938,-89.70192052734376
0.32,-2.9045902842306868,-16.073071800246503,-4.705132941747027,-144.64359401220702,53.47479638403321,-110.7898042114258
0.33,-1.923400623701851,-19.37681507521569,-5.549269824028649,-174.57439538568116,69.89044708602907,-129.24170243499756
0.34,-1.0648596707391196,-22.267590440813727,-6.287889596025067,-200.76384658747105,84.25414145027543,-145.38711338062285
0.35,-0.3136363368967296,-24.79701888571201,-6.934181896521934,-223.67961638903716,96.82237401899098,-159.514347958045
0.36,0.3436840802153615,-27.010268774998007,-7.499687659456692,-243.7309149654075,107.8195775166171,-171.87567821328938
0.37,0.9188394451884414,-28.946862428123257,-7.994505202024605,-261.27580121973153,117.44213057703996,-182.6918421866282
0.38,1.4221003895398865,-30.64138187460785,-8.42747055177153,-276.6275766922651,125.86186450490996,-192.15598566329967
0.39,1.8624537158474004,-32.12408639028187,-8.806315232800088,-290.060380230732,133.22913169179623,-200.43711120538725
0.4,2.247762876366475,-33.42145284149663,-9.137804328700078,-301.8140833268905,139.67549048032168,-207.6830960547138
0.41,2.5849083918206657,-34.556648486309555,-9.427857287612568,-312.0985735360292,145.31605442028146,-214.0233327978746
0.42,2.8799107178430825,-35.54994467552086,-9.681653626660998,-321.0975024690256,150.25154786774627,-219.57103994814025
0.43,3.1380377531126973,-36.419078841080754,-9.903725423328371,-328.9715652853974,154.57010463427798,-224.42528370462276
0.44,3.36389890897361,-37.17957123594566,-10.098038245412328,-335.8613702497227,158.34884180499324,-228.6727469915449
0.45,3.5615274203519087,-37.84500208145245,-10.268061964735788,-339.08557296850734,168.98773520436907,-269.93115599260176
0.46,3.73445236780792,-38.427254071270895,-10.416832719143814,-341.9067503474439,178.29676692882293,-306.0322638685265
0.47,3.8857616968319295,-38.93672456236203,-10.547007129250838,-344.37528055401344,186.44216968772005,-337.6207332599607
0.48,4.0181573597279385,-39.382511242066776,-10.660909738094484,-346.53524448476173,193.56939710175504,-365.2606439774656
0.49,5.543866564761947,-36.14509083680844,-6.399426895832672,-348.42521292416654,199.80572108903567,-389.4455658552824
0.5,6.878862119166703,-33.312347982207385,-2.670629408853588,-350.07893530864567,205.2625045779062,-410.60737249837206
0.51,8.046983229270865,-30.833697984431463,0.5920683922531107,-351.52594239506493,210.03719013066797,-429.1239533110755
0.52,9.069089200612009,-28.66487923637753,3.446928968221472,-352.7920735956818,214.21503998933443,-445.3259615221911
0.53,9.963431925535506,-26.767162831830337,5.944931972193787,-353.8999383962216,217.8706586156676,-459.5027187069172
0.54,10.745981809843569,-25.106660977851543,8.130684600669564,-354.86932009669385,221.06932491370915,-471.9073812435525
0.55,11.430712958613125,-23.653721855620105,10.043218150585869,-355.7175290846071,223.8681579244955,-482.7614609631084
0.56,12.029852713786482,-22.38240012366759,11.716685006762637,-356.4597119490312,226.31713680893355,-492.25878071771984
