time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.33,0.4832061083359144,-3.378908586752198,7.059538261017902,9.135,-14.385,-1.54
0.34,0.250892094793925,-3.822106388408173,6.715523228390664,9.135,-14.385,-1.54
0.35,0.0476173329446844,-4.209904464857152,6.4145100748418304,9.135,-14.385,-1.54
0.36,-0.1302480836734011,-4.549227781750007,6.151123565486602,9.135,-14.385,-1.54
0.37,-0.2858803232142259,-4.846135684031257,5.9206603698007765,9.135,-14.385,-1.54
0.38,-0.4220585328124477,-5.105930098527351,5.719005073575679,9.135,-14.385,-1.54
0.39,-0.5412144662108918,-5.333250211211432,5.542556689378719,9.135,-14.385,-1.54
0.4,-0.6454759079345302,-5.532155309810003,5.3881643532063785,9.135,-14.385,-1.54
0.41,-0.736704669442714,-5.706197271083752,5.253071059055581,-4.025000124999999,0.2800001250000008,-6.059375125
0.42,-0.8165298357623747,-5.858483987198284,5.134864426673634,-15.540000234375,13.111875234375,-10.013828359375
0.43,-0.8863768562920779,-5.991734863798499,5.03143362333943,-25.615625330078124,24.339765955078125,-13.473974939453123
0.44,-0.9474929992555682,-6.108329380823687,4.9409316704220005,-34.43179728881836,34.16417033569336,-16.501603197021485
0.45,-1.000969624348622,-6.210349583220726,4.86174246161925,-42.14594775271606,42.760524168731685,-19.1507779223938
0.46,-1.0477616713050444,-6.299617260318135,4.792451903916843,-48.89582940862656,50.28233377264022,-21.468805807094576
0.47,-1.0887047123919138,-6.377726477778367,4.731822665927238,-54.80197585754823,56.86391717606019,-23.49708020620775
0.48,-1.1245298733429243,-6.446072043056072,4.678772082686333,-59.9698540003547,62.62280265405267,-25.27182030543178
0.49,-1.421727139175059,-7.066824412674063,3.0680350723505407,-64.49174737531037,67.66182744729608,-26.824717892252806
0.5,-1.6817747467781765,-7.609982736089805,1.6586401883067232,-68.44840407839658,72.07097414138406,-28.183503280721204
0.51,-1.9093164034309045,-8.08524626907858,0.4254196647683828,-71.910478693597,75.92897749871105,-29.372440495631054
0.52,-2.1084153530020413,-8.501101860443757,-0.653648293327665,-74.93979398189738,79.30473043637218,-30.41276055867717
0.53,-2.282626933876786,-8.864975502888289,-1.597832756661707,-77.5904448591602,82.25851425682566,-31.32304061384252
0.54,-2.435062067142188,-9.183364940027252,-2.4239941620789938,-79.90976437676517,84.84307509972245,-32.119535662112206
0.55,-2.5684428087494147,-9.461955697523848,-3.1468853918191195,-81.93916895466951,87.10456583725716,-32.81646882934818
0.56,-2.685150957655738,-9.705722610333368,-3.7794152178417297,-83.71489796033582,89.0833702326,-33.426285350679656
0.57,-2.787270587948771,-9.919018659041695,-4.3328788156115134,-125.97366071529385,76.421073953525,-28.8454996818447
0.58,-2.8766252644551744,-10.105652701661484,-4.817159463660074,-162.95007812588213,65.34156470933436,-24.837312221614116
0.59,-2.954810606398277,-10.2689574889538,-5.240905030702565,-195.30444336014688,55.64699412066757,-21.330148193912347
0.6,-3.023222780598493,-10.411849177834576,-5.611682401864744,-223.6145129401285,47.16424485558413,-18.261379669673303
0.61,-3.083083433023681,-10.536879405605257,-5.936112601631652,-248.38582382261248,39.74183924863612,-15.57620721096414
