time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
13.89,-1.5220079498733616,0.6386142344173888,-0.4843404799385885,-86.12954098561556,94.18370416936916,12.249759100249442
13.9,-1.8721069561391916,0.3046038301152152,-0.4498860449462649,-91.00397273741362,100.523241648198,11.405414212718265
13.91,-2.1784435866217926,0.0123447263508132,-0.4197384143279818,-95.26910052023692,106.07033694217326,10.666612436128482
13.92,-2.4464881382940686,-0.2433819894430384,-0.3933592375369841,-99.00108733020733,110.9240453244016,10.020160881612425
13.93,-2.68102712100731,-0.4671428657626586,-0.3702774578448611,-102.2665757889314,115.17104015885138,9.45451577141087
13.94,-2.8862487308813964,-0.6629336325423263,-0.3500809006142535,-105.12387819031498,118.88716063899496,8.959576299984512
13.95,-3.0658176395212218,-0.8342505534745355,-0.3324089130374718,-107.62401779152562,122.13876605912058,8.526504262486448
13.96,-3.2229404345810693,-0.9841528592902186,-0.3169459239077878,-109.81163994258492,124.9839208017305,8.147566229675641
13.97,-3.360422880258436,-1.1153173768789413,-0.3034158084193143,-111.7258093247618,127.4734312015142,7.815995450966186
13.98,-3.4807200202261317,-1.2300863297690736,-0.2915769573669001,-113.4007075341666,129.65175280132493,7.525871019595413
13.99,-3.585980017697865,-1.3305091635479394,-0.2812179626960376,-114.86624346739576,131.5577842011593,7.272012142145986
14.0,-3.678082515485632,-1.418379143104447,-0.2721538423590329,-116.1485874089713,133.2255616760144,7.049885624377738
14.01,-3.3920284510499283,-2.4964410002163917,-0.4261203620641538,-132.0800149828499,114.4111163415126,6.969274921330521
14.02,-3.1417311446686877,-3.439745125189342,-0.5608410668061345,-146.02001410999367,97.94847667382352,6.8987405561642055
14.03,-2.922721001585101,-4.265136234540674,-0.6787216834553678,-158.21751334624446,83.54366696459559,6.83702298664368
14.04,-2.731087126386964,-4.98735345522309,-0.7818672230234467,-168.89032517796392,70.93945846902115,6.78302011331322
14.05,-2.563407485588593,-5.619293523320204,-0.8721195701455158,-178.22903553071842,59.9107760353935,6.735767599149067
14.06,-2.416687799890019,-6.172241082905178,-0.9510903738773262,-186.40040708937863,50.260678905969314,6.694421649255434
14.07,-2.2883080749037665,-6.65607019754203,-1.0201898271426604,-193.55035720320632,41.81684391772315,6.658243943098505
14.08,-2.175975815540796,-7.079420672849277,-1.0806518487498278,-199.80656355280556,34.428488303007754,6.626588450211192
14.09,-2.077685088598196,-7.449852338743117,-1.133556117656099,-205.2807441087048,27.963677140131782,6.598889893934793
14.1,-1.9916807025234216,-7.7739800464002276,-1.179847352949087,-210.0706520951167,22.306967372615315,6.574653657192943
14.11,-1.9164268647079936,-8.057591790600199,-1.220352183830451,-214.26182158322712,17.357346326038403,6.553446950043826
14.12,-1.8505797566194944,-8.305752066775174,-1.2557939108516445,-217.9290948853237,13.026427910283603,6.534891081288348
14.13,-1.7929635370420578,-8.522892308428277,-1.286805421995189,-221.13795902465824,9.236874296498153,6.518654696127304
14.14,-1.7425493449118006,-8.712890019874743,-1.3139404942457904,-223.94571514657596,5.921014884435882,6.504447859111391
14.15,-1.6984369267978254,-8.879138017390401,-1.3376836824650666,-226.40250175325397,3.0196378988813968,6.492016876722467
14.16,-1.6598385609480972,-9.0246050152166,-1.3584589721569331,-228.5521900340972,0.4809330365212223,6.4811397671321584
14.17,-2.067769865829585,-8.947743138314525,-1.5042401006373167,-234.24379127983505,12.61394115695607,-1.998377953759361
14.18,-2.424709757600887,-8.88048899602521,-1.6317985880576522,-239.22394236985565,23.23032326233656,-9.41795595953944
14.19,-2.737032162900776,-8.82164162152206,-1.7434122645504455,-243.5815745736237,32.51965760454449,-15.91008671459701
14.2,-3.0103142675381798,-8.770150168831803,-1.84107423148164,-247.39450275192075,40.647825153976434,-21.590701125272385
14.21,-3.249436109095907,-8.725095147727828,-1.926528452546435,-250.73081490793064,47.75997175972938,-26.561238734613333
14.22,-3.458667720458919,-8.68567200426185,-2.0013008959781304,-253.65008804443931,53.98310003976321,-30.910459142786664
14.23,-3.641745380401554,-8.65117675372912,-2.0667267839808643,-256.2044520388844,59.42833728479281,-34.71602699993833
14.24,-3.80193833285136,-8.62099340951298,-2.123974435983256,-258.43952053402387,64.1929198741937,-38.04589887494604
14.25,-3.94210716624494,-8.594582983323859,-2.174066131485349,-260.3952054672709,68.3619296399195,-40.95953676557779
14.26,-4.064754895464322,-8.571473860408377,-2.2178963650496804,-262.10642978386204,72.00981318492956,-43.50896991988056
14.27,-4.172071658531282,-8.55125337785733,-2.25624781941847,-263.6037510608793,75.20171128681336,-45.7397239298955
14.28,-4.265973826214871,-8.533560455625164,-2.289805341991161,-264.91390717826937,77.99462212596168,-47.69163368865856
14.29,-4.3481382229380126,-8.518079148672019,-2.3191681742422663,-266.0602937809857,80.43841911021647,-49.399554727576245
14.3,-4.420032070070761,-8.504533005088017,-2.3448606524619837,-267.0633820583625,82.5767414714394,-50.89398563662922
14.31,-4.482939186311915,-8.492680129452015,-2.367341570904236,-267.9410843010672,84.44777353750948,-52.201612682050566
14.32,-4.537982913022925,-8.482308863270514,-2.387012374541206,-268.70907376343376,86.0849265953208,-53.34578634679425
14.33,-3.77975879889506,-7.3998815053617,-1.953724827723555,-258.3823152930046,86.7430611459057,-47.85443805344497
14.34,-3.1163126990331773,-6.452757567191488,-1.5745982242581107,-249.34640163137905,87.31892887766749,-43.04950829676435
14.35,-2.5357973616540304,-5.624024121292552,-1.2428624462258469,-241.43997717745663,87.82281314295905,-38.84519475966881
14.36,-2.0278464414472768,-4.898882356130983,-0.952593640447616,-234.52185578027456,88.26371187508917,-35.16642041471021
14.37,-1.583389386266367,-4.26438331161461,-0.6986084353916641,-228.46849955774024,88.64949826570303,-31.94749286287143
14.38,-1.1944894629830711,-3.709196647662784,-0.476371380967706,-223.17181286302272,88.98706135749015,-29.130931255012506
14.39,-0.8542020301101872,-3.223408316704936,-0.2819139583467427,-218.53721200514488,89.28242906280389,-26.666439848135937
14.4,-0.5564505263464139,-2.798343527116819,-0.1117637135533999,-214.48193625450176,89.5408758049534,-24.510009867118946
14.41,-0.2959179605531121,-2.4264118362272167,0.037117750640775,-210.93356997268904,89.76701670433422,-22.623133633729072
14.42,-0.0679519654839731,-2.1009716066988147,0.1673890318106782,-207.82874947610293,89.96488999129245,-20.972116929512936
14.43,0.1315182802015234,-1.816211405861463,0.2813764028343434,-205.11203154159008,90.1380291173809,-19.527477313323818
14.44,0.306054745176333,-1.5670462301287795,0.3811153524800505,-202.7349033488913,90.28952585270828,-18.263417649158335
14.45,0.4587741520292914,-1.3490267013626822,0.4683869334200442,-200.65491618027988,90.42208549611976,-17.157365443013546
14.46,0.5924036330256299,-1.1582596136923469,0.5447495667425387,-198.83492740774489,90.53807518410478,-16.189569762636854
14.47,0.7093294288974261,-0.9913384119808034,0.6115668708997214,-197.2424372317768,90.6395661610917,-15.342748542307248
