time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
13.27,-5.230244225504583,13.792145415448834,5.8843455967434375,-2.5089823697621343,92.90183408261544,94.42802448387886
13.28,-5.503151697316509,13.31960361351773,5.647275897150508,-8.311609573541867,89.53160469728851,88.180771423394
13.29,-5.741945735151946,12.906129536828011,5.439839910006695,-13.388908376849134,86.58265398512745,82.71442499546976
13.3,-5.950890518257953,12.54433971972451,5.258333421255858,-17.83154482974299,84.00232211198653,77.93137187103605
13.31,-6.13371720347571,12.227773629758946,5.099515243598876,-21.71885172602512,81.7445317229882,73.74620038715655
13.32,-6.293690553041246,11.950778301039078,4.9605493381490176,-25.12024526027198,79.76896513261468,70.08417533876198
13.33,-6.433667233911091,11.708407388409192,4.838954170880391,-28.09646460273798,78.04034436603786,66.87990342141674
13.34,-6.556146829672205,11.496332839858042,4.732558399520342,-30.700656527395736,76.52780119528313,64.07616549373965
13.35,-6.66331647596318,11.310767609875786,4.6394620995803,-32.97932446147127,75.20432592087275,61.62289480702219
13.36,-6.757089916467782,11.148398033641312,4.558002837132762,-34.973158903787365,74.04628505576366,59.476282956144416
13.37,-6.839141676909309,11.006324654436147,4.486725982491167,-37.54463916581395,74.45924942379321,52.33487258662637
13.38,-6.910936967295646,10.882010447631629,4.424358734679772,-39.79468439508721,74.82059324581907,46.08613851329808
13.39,-6.973757846383689,10.773235516677676,4.369787392844801,-41.76347397070131,75.13676909009169,40.61849619913582
13.4,-7.028726115585728,10.678057452092965,4.322037468739201,-43.48616484936365,75.41342295383023,35.83430917424384
13.41,-7.076823351137513,10.594776645581344,4.280256285146801,-44.9935193681932,75.65549508460145,31.64814552746336
13.42,-6.670926807245324,9.560293314883676,3.1051588745034504,-46.31245457216905,75.86730819902628,27.98525233653044
13.43,-6.315767331339658,8.655120400523217,2.076948640190519,-47.466522875647925,76.052644674148,24.78022079446413
13.44,-6.005002789922201,7.863094100457815,1.177264685166704,-48.47633264119194,76.2148140898795,21.97581819515612
13.45,-5.733083816181925,7.170071087900588,0.390041224520866,-49.35991618604295,76.35671232864456,19.521965920761605
13.46,-5.4951547141591846,6.563675951913015,-0.2987793035442423,-50.13305178778758,76.480873287564,17.374845180666405
13.47,-5.286966749889286,6.033080207923889,-0.901497265601212,-50.809545439314135,76.5895141266185,15.496114533083103
13.48,-5.104802281153125,5.568808931933403,-1.4288754824010603,-51.40147738439987,76.68457486079119,13.852225216447716
13.49,-4.945408371008984,5.162571565441728,-1.890331422100928,-51.919417836349886,76.7677530031923,12.413822064391752
13.5,-4.805938699632861,4.807113869761512,-2.294105369338312,-52.37261573180615,76.84053387779326,11.155219306342785
13.51,-4.683902737178753,4.496088386041324,-2.647407573171023,-52.76916389033038,76.9042171430691,10.053941893049934
13.52,-4.577121270031409,4.223941087786159,-2.956547001524645,-53.116143529039086,76.95994000018547,9.090324156418692
13.53,-4.483687486277482,3.9858122018128888,-3.2270440013340647,-92.8385017129092,91.45057337516228,-40.35034136313365
13.54,-4.401932925492797,3.7774494265862777,-3.4637288761673064,-127.59556512379557,104.12987757826698,-83.61092369274195
13.55,-4.330397684806197,3.595131998262993,-3.6708281416463935,-158.00799560832112,115.2242687559836,-121.4639332311492
13.56,-4.267804349205423,3.435604248480119,-3.8520399989405942,-184.618872282281,124.93186103648564,-154.58531657725555
13.57,-4.213035180554745,3.296017467420104,-4.010600374073021,-207.90338937199587,133.42600428192495,-183.5665270050986
13.58,-3.323337657985402,-0.678903341007409,-4.905985202313893,-228.2773418254964,140.85837962168432,-208.92508612946128
13.59,-2.544852325737227,-4.156959048381482,-5.689446927024656,-246.1045502223093,147.36170804397378,-231.1138253632786
13.6,-1.8636776600200733,-7.200257792333797,-6.374975936146575,-261.7033575695207,153.05212041347707,-250.5289721928688
13.61,-1.2676498275175645,-9.863144193292072,-6.9748138191282525,-275.3523139983306,158.03123123679245,-267.51722566876015
13.62,-0.7461254740778687,-12.193169794130563,-7.499671966737221,-287.2951508735393,162.38795320719342,-282.3819474601651
13.63,-0.289791664818135,-14.231942194864242,-7.958922845895068,-297.7451331393469,166.20008493129424,-295.3885790276445
13.64,0.1095004182841318,-16.01586804550621,-8.360767365158186,-306.8888676219285,169.53570018988248,-306.7693816491889
13.65,0.4588809909986153,-17.57680316481793,-8.712381319513412,-314.8896352941874,172.4543635411472,-316.7275839430403
13.66,0.7645889921237885,-18.94262139421569,-9.020043529574234,-321.890307007414,175.0081939735038,-325.44101095016026
13.67,1.032083493108315,-20.13771234493873,-9.289247963377456,-328.0158947564872,177.24279560181586,-333.0652595813902
13.68,1.2661411814697756,-21.183416926821398,-9.524801842955274,-333.3757840369263,179.19807202658887,-339.7364771337164
13.69,1.4709416587860538,-22.09840843596872,-9.730911487585864,-305.8744360323105,206.60331477326528,-342.4456683670018
