time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
12.33,-2.6299255362241816,1.325178109620174,-2.0698014054173317,-51.287394974229606,73.20077301630116,69.2210744769579
12.34,-2.919729356162315,0.9806571884518734,-1.954098315566807,-58.89037287264232,75.65324821636142,65.26595627778222
12.35,-3.2311648689874124,0.5953247458628328,-1.7996927418442683,-66.2844439999795,78.0315769286519,61.335616464698
12.36,-3.554295966791199,0.1847668016014917,-1.6180681659966327,-73.40303851934736,80.31597585011411,57.48565916304449
12.37,-3.881332573441111,-0.2386894494986207,-1.4184419256445897,-80.19949322137359,82.49276604232558,53.757400304543445
12.38,-4.206249388322432,-0.6654044628487286,-1.2081523209118596,-86.64311502102845,84.55315595445117,50.18057086124509
12.39,-4.5244664123984055,-1.087947043962893,-0.9929843528991156,-92.71591753918564,86.49223330975902,46.77556752401283
12.4,-4.832581768137848,-1.5006928788165057,-0.7774433875003096,-98.40992400559996,88.30813265507659,43.55532172638168
12.41,-5.128148731623704,-1.8994889261447945,-0.5649846735621564,-103.7249458938609,90.00135040922478,40.526847260595616
12.42,-5.409490098485943,-2.2813734791595035,-0.3582054758038493,-108.66676049746911,91.57418354272536,37.69251763428136
12.43,-5.675544034076001,-2.644343223199523,-0.1590055825857102,-115.50257540495872,94.26347482395668,32.60931961359886
12.44,-5.925736437354702,-2.9871599143676697,0.0312789072623291,-123.68167468717796,97.76553419827506,25.88375669755134
12.45,-6.159875598656291,-3.3091904136312875,0.2117643462512604,-132.7614276425149,101.83514946613953,18.005845079053216
12.46,-6.378065572173815,-3.610274758167006,0.3819273019419851,-142.38887242640544,106.27571197643982,9.368758854280388
12.47,-6.580635230457953,-3.890617760105806,0.5415283101748526,-152.28521494178406,110.9308971800066,0.2853840438405575
12.48,-6.768080433980842,-4.150700312213546,0.6905490616316597,-162.23280193103045,115.67766561429984,-8.997752733587445
12.49,-6.903806739272103,-4.516245714417699,0.667477761002783,-172.06419192387486,120.42038420283218,-18.28878325484345
12.5,-6.997815039584598,-4.956824464317476,0.5130089720681307,-181.6530031227108,125.08589715025798,-27.44068507182316
12.51,-7.058414112642843,-5.447966578079532,0.260352555976473,-190.90626475740223,129.61940088890807,-36.34306800870101
12.52,-7.092487385568016,-5.970147171771114,-0.0635310056558347,-199.75803904400345,133.98099908117288,-44.91531331961216
12.53,-7.105719447876852,-6.507932529882307,-0.436887169942198,-208.16411560649493,138.1428321177323,-53.10085567765957
