time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
10.22,2.00261767444649,1.4841608744089572,0.3475322859601468,-33.6051087589633,81.80114438844258,66.58283321315247
10.23,1.8248611695254304,1.269275564046389,0.3541471349119046,-37.05855940721692,86.09987866619835,70.17684080595177
10.24,1.6498650771714094,1.053818208236823,0.3627767984075956,-40.36716135029833,90.10258333719575,73.66292716909574
10.25,1.479716739632059,0.8412894013164236,0.3728142157963653,-43.51316659812163,93.8160980800345,77.01191624136072
10.26,1.3159385321467427,0.6343235272474237,0.383772610112824,-46.48552741914069,97.25017811626984,80.20361224604234
10.27,1.1595964899760047,0.4348506154251046,0.3952649024783498,-49.278498588059335,100.41665845469582,83.22501049578229
10.28,1.011390606283158,0.2442312670701243,0.4069863934694813,-51.89048438007424,103.3287815191986,86.06881517924283
10.29,0.8717296858576482,0.0633688555628719,0.4187002163616056,-54.323090964897,106.00066037297104,88.73221534034164
10.3,0.7407932048153415,-0.1071974259905381,0.4302251398827382,-56.58035086632541,108.44685414581288,91.21587766149008
10.31,0.6185822551920857,-0.2672156348987655,0.4414253603929376,-58.668091277320194,110.6820360008666,93.52312097515856
10.32,0.459454149149404,-0.483490097423834,0.4187787735899194,-61.76975054077995,114.78300284300356,94.75143041882416
10.33,0.2745477218800165,-0.739456465647342,0.370572077856516,-65.59922799966664,120.24838370896776,95.1344887832115
10.34,0.0727939303475164,-1.0218124746677255,0.303549153344121,-69.92610567913196,126.67299748589396,94.86441650308288
10.35,-0.1387062214562338,-1.3199612397822735,0.2231672868683167,-74.56619793873617,133.731639370011,94.09851095262373
10.36,-0.3543637404707265,-1.6255427593265015,0.1338134471154616,-79.37359366970288,141.1654177442567,92.96495032879368
10.37,-0.5698345950213424,-1.9320402702380743,0.0389865940685028,-84.23396556263516,148.77025720665952,91.56761567416142
10.38,-0.7817958024894491,-2.234450063432277,-0.0585488652028953,-89.05895401874527,156.38723969808262,89.99016238117483
10.39,-0.9877580425433208,-2.52900504473046,-0.1566341095637643,-93.78146158641168,163.8945038446709,88.29945346340111
