time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
10.23,3.319218668881828,5.334621982523181,-0.951937097428904,42.39831632790683,-254.58874956219336,-63.5415735107214
10.24,3.8661565852715993,4.142954734707784,-0.1678104602502911,42.36602678691847,-258.2420327419192,-41.55950157188123
10.25,4.34472726211265,3.10024589286931,0.5183003472809953,42.33777343855365,-261.4386555241793,-22.325188625396077
10.26,4.052524354348568,1.9009127812606468,1.404366303870871,42.313051758734446,-264.2357004586569,-5.495164797221564
10.27,3.796846810054997,0.8514963086030659,2.179674015887012,42.29142028889264,-266.6831147763248,9.231106052431132
10.28,2.839885708798122,0.0752666450276826,2.4663057639011354,42.272492752781055,-268.82460230428416,22.11659304587724
10.29,2.002544745198357,-0.6039343106007777,2.7171085434134934,42.255931158683424,-270.69840389124863,33.391394165142586
10.3,1.3984247770485625,-1.0982742717756806,2.7433398504868065,42.24143976384799,-272.3379802798425,43.25684514449976
10.31,0.8698198049174921,-1.5308217378037203,2.766292244175956,42.22875979336699,-273.77260961986224,51.88911475143729
10.32,0.4072904543028056,-1.9093007705782556,2.786375588653961,42.21766481919612,-275.0279102923795,59.442350657507625
10.33,0.4204968975149549,-2.2198774242559733,2.924704890072216,16.167956091796604,-256.145671005832,59.98768157531917
10.34,0.4077367853255855,-2.434935496223977,2.957515778813189,-6.625539044677971,-239.62371163010303,60.46484612840428
10.35,0.3965716871598873,-2.62311130919598,2.9862253064615403,-26.569847289093225,-225.16699717634012,60.88236511235375
10.36,0.2323167262649014,-2.6444850205464823,2.770057768153848,-44.02111700295657,-212.51737202929763,61.24769422330953
10.37,0.0885936354817887,-2.663187017978172,2.5809111721346167,-59.290978002587,-201.44895002563544,61.56735719539584
10.38,-0.1293884439534348,-2.643696390730901,2.3540582756177897,-72.65210637726364,-191.76408077243104,61.84706229597136
10.39,-0.3201227634592555,-2.626642091889538,2.155561991165566,-84.34309370510567,-183.28982017587717,62.09180425897495
10.4,-0.4870152930268485,-2.611719580403346,1.9818777422698703,-94.57270761696743,-175.8748421538925,62.30595347660308
