time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.16,3.541964278399514,-3.3252698491188104,6.9417691100337215,21.49,-9.17,11.62
0.17,3.644608243599575,-3.332388867978959,6.914470221279506,21.49,-9.17,11.62
0.18,3.734421713149629,-3.3386180094815887,6.890583693619568,21.49,-9.17,11.62
0.19,3.813008499005925,-3.34406850829639,6.869682981917123,21.49,-9.17,11.62
0.2,2.795620436630184,-3.3476003197593416,5.793146234177483,21.49,-9.17,11.62
0.21,1.905405882051411,-3.350690654789424,4.851176579905298,21.49,-9.17,11.62
0.22,1.1264681467949846,-3.3533946979407463,4.026953132417136,21.49,-9.17,11.62
0.23,0.4448976284456116,-3.355760735698153,3.305757615864994,21.49,-9.17,11.62
0.24,-0.1514765751100897,-3.357831018735884,2.6747115388818696,21.49,-9.17,11.62
0.25,-0.6733040032213286,-3.3596425163938988,2.122546221521636,21.49,-9.17,11.62
0.26,-1.1299030028186623,-3.361227576844662,1.6394015688314314,21.49,-9.17,11.62
0.27,-1.5294271274663296,-3.362614504739079,1.2166499977275025,21.49,-9.17,11.62
0.28,-1.8790107365330384,-3.363828066646694,0.8467423730115646,21.49,-9.17,11.62
0.29,-2.1848963944664086,-3.364889933315858,0.523073201385119,21.49,-9.17,11.62
0.3,-2.4525463451581078,-3.365819066651376,0.2398626762119791,21.49,-9.17,11.62
0.31,-2.686740052013344,-3.3666320583199543,-0.0079465333145181,21.49,-9.17,11.62
0.32,-2.891659545511676,-3.36734342602996,-0.2247795916502034,21.49,-9.17,11.62
0.33,-3.070964102322716,-3.367965872776215,-0.414508517693928,21.49,-9.17,11.62
0.34,-3.2278555895323766,-3.3685105136791886,-0.580521327982187,21.49,-9.17,11.62
0.35,-3.3651356408408297,-3.36898707446929,-0.7257825369844136,21.49,-9.17,11.62
0.36,-3.318684810735726,-5.589515190160629,-2.382311344861362,21.49,-9.17,11.62
0.37,-3.27804033439376,-7.532477291390551,-3.831774051753692,21.49,-9.17,11.62
0.38,-3.24247641759454,-9.232569129966732,-5.100053920284481,-2.808749500000001,-2.85249975,2.826249624999998
0.39,-3.2113579903952223,-10.72014948872089,-6.209798805248921,-24.0701553125,2.67531296875,-4.868281953125003
0.4,-3.1841293665958195,-12.02178230263078,-7.180825579592806,-42.6738853984375,7.51214909765625,-11.600997083984378
0.41,-3.160304320771342,-13.160711014801931,-8.030474007143706,-58.95214922363281,11.74438071044922,-17.49212282348633
0.42,-3.139457405674924,-14.15727363795169,-8.773916381250743,-73.1956300706787,15.447583371643066,-22.64685784555054
