time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.3,-0.5365184561924041,-5.699990198894304,2.308498964926565,18.83,5.495,-45.465001
0.31,-0.732381238717035,-5.914750441700537,2.0697984680320256,18.83,5.495,-45.465001
0.32,-0.9511931622325018,-6.173004433197489,1.8024960334091435,18.83,5.495,-45.465001
0.33,-1.1841565855141485,-6.460523107418632,1.5174718407539811,18.83,5.495,-45.465001
0.34,-1.4243146973155003,-6.765955075065778,1.2233329301155915,18.83,5.495,-45.465001
0.35,-1.6662287720178557,-7.080329533497722,0.9268114840000186,18.83,5.495,-45.465001
0.36,-1.9057073483990676,-7.396638485523777,0.6330990567552827,18.83,5.495,-45.465001
0.37,-2.1395793936221974,-7.709486206832416,0.3461265412592304,18.83,5.495,-45.465001
0.38,-2.3655046877208097,-8.014795677727587,0.06879821625039,18.83,5.495,-45.465001
0.39,-2.581815667769422,-8.309563215167207,-0.1968130203384157,18.83,5.495,-45.465001
0.4,-2.787385829560244,-8.59165384203243,-0.4493031855339324,18.83,5.495,-45.465001
0.41,-2.981520518594462,-8.85963104319436,-0.6878023716127821,18.83,5.495,-45.465001
0.42,-3.163866569283248,-9.11261550903405,-0.9118631645229518,13.928359328125,7.563281328125001,-46.7764071875
0.43,-3.334337786696798,-9.350168279613904,-1.1213686127741294,5.350488152343751,11.182773652343752,-49.071368015625
0.44,-3.49305372211191,-9.57219439647014,-1.3164566026418414,-5.90796776586914,15.93335732788086,-52.08350410253906
0.45,-3.640289583256106,-9.77886376099335,-1.4974579760930296,-19.042833003784175,21.475704949340823,-55.59766287060547
0.46,-3.776435452206256,-9.97054640319091,-1.664846137390142,-33.40909185775375,27.537647660312658,-59.4412740231781
0.47,-3.87237643855549,-10.19583391982356,-1.8232398056115224,-48.4936636544218,33.90268750683308,-63.47706573337936
0.48,-3.936036483751694,-10.44333005099819,-1.9722721640058367,-63.892497363520434,40.40033235015601,-67.59693643754315
0.49,-3.973986745171417,-10.70396252563192,-2.1118086389638933,-79.29133107261907,46.897977193478944,-71.71680714170694
0.5,-3.991659980552589,-10.970580130810369,-2.241894570744844,-94.44955800501305,53.29409633612496,-75.77230486611818
0.51,-3.993532473570165,-11.237614201481207,-2.362712337721746,-109.18672307817386,59.51254550258636,-79.71514987596244
0.52,-3.983278265512212,-11.500794721190424,-2.474546388411534,-123.37124446109114,65.49780282530546,-83.51013819793754
0.53,-3.963899773944214,-11.756912670324192,-2.5777548742769736,-136.91101487205765,71.21100299699187,-87.13262705073194
0.54,-3.9378382917445873,-12.003621495905918,-2.6727467794821225,-149.74558890745297,76.62664065973628,-90.56644460910996
0.55,-3.907067355501989,-12.239271635868397,-2.7599636166004067,-161.83970674849857,81.72983768809159,-93.8021573083508
0.56,-3.8731715393865302,-12.462772936216728,-2.8398649041347115,-173.17794222447878,86.51408490217469,-96.83563796388908
0.57,-3.8374128592452186,-12.67348057341753,-2.912916766401059,-183.7602953353937,90.9793823019856,-99.6668865757248
0.58,-3.80078665321132,-12.871100755439748,-2.9795831020987147,-192.14717050882237,97.27829165024728,-101.98515680079085
0.59,-3.764068532135189,-13.055613039246762,-3.04031885752194,-198.72208796177836,104.88263968797504,-103.87445497621964
0.6,-3.727853759246664,-13.227206584048275,-3.095565016244066,-203.806992199795,113.36764628423572,-105.4058011421539
0.61,-3.6925902181406585,-13.38622807016118,-3.1457449812618807,-207.67165344140471,122.39432886130663,-106.63916301697616
0.62,-3.658605956697925,-13.533139363120103,-3.191262079771428,-210.5416808069902,131.69469019591864,-107.6251093896217
0.63,-3.626132147832427,-13.66848330049303,-3.232497966446372,-212.60534743365736,141.05926868341973,-108.4062228563406
