time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
3.96,-4.780992347672201,-3.9349374821782166,-6.038305275145506,-201.50535505157555,157.78125401352207,-108.02723177346245
3.97,-4.862682554213175,-3.79883817190594,-6.217957490752318,-203.4596864201286,150.8642226368318,-107.42570255177964
3.98,-4.934161484936529,-3.6797512754176975,-6.375153179408279,-205.16972636761253,144.81182018222785,-106.8993644828072
3.99,-4.996705549319462,-3.5755502409904856,-6.512699406982244,-206.666011321661,139.51596803444937,-106.4388186724563
4.0,-5.051431605654529,-3.484374335866675,-6.633052356109464,-207.97526065645337,134.8820974051432,-106.03584108839928
4.01,-3.437868779947713,-3.1091051688833407,-4.537231186595781,-209.1208538243967,130.82746060450032,-105.68323570234936
4.02,-2.0260013074542487,-2.780744647772923,-2.7033876632713083,-210.1232478463471,127.2796534039378,-105.3747059895557
4.03,-0.7906172690224677,-2.493429191801308,-1.098774580362395,-211.00034261555373,124.17532210344557,-105.10474249086124
4.04,0.2903437646053408,-2.242028167826144,0.3052618671829044,-211.76780053860952,121.45903221551488,-104.8685244295036
4.05,1.2361846690296732,-2.022052271847876,1.5337937587850412,-212.43932622128332,119.08227856357551,-104.66183362581565
4.06,2.0637954604009643,-1.8295733628668915,2.608759163936911,-213.0269111936229,117.0026191181286,-104.48097917258868
4.07,2.787954902850844,-1.66115431750853,3.549353893444797,-213.54104804442008,115.18291710336251,-104.3227315260151
4.08,3.421594414994489,-1.5137876528199636,4.3723742817641975,-213.9909177888676,113.5906778404422,-104.18426483526322
4.09,3.976028988120178,-1.384841821217468,5.092517121543673,-152.06705356525913,148.92559411038692,-104.04123198085531
4.1,4.461159239605156,-1.2720142185652843,5.722642106350714,-97.88367236960174,179.84364584658854,-103.9160782332484
4.11,4.885648209654511,-1.1732900662446235,6.274001468056874,-50.47321382340152,206.89694111576495,-103.80656870409234
4.12,5.257076058447697,-1.086906432964046,6.756440909549765,-8.989062595476334,230.56857447629437,-103.7107478660808
4.13,5.582075426141735,-1.01132075384354,7.178575420856044,27.30956972895821,251.28125366675755,-103.6269046328207
4.14,5.866449872874018,-0.9451832846130976,7.547943118249038,59.07087301283843,269.40484795841286,-103.5535418037181
4.15,6.115277513764766,-0.8873129990364603,7.871139853467908,86.86201338623363,285.2629929636113,-103.48934932825334
4.16,6.33300169954417,-0.8366764991569028,8.15393699678442,111.17926121295442,299.13886984315985,-103.43318091222169
4.17,4.424890362101149,-0.92396606176229,6.522383622186367,132.4568530613351,311.2802621127649,-103.38403354819395
4.18,2.755292941838505,-1.0003444290420038,5.094774419413071,151.07474592866822,321.9039803486693,-103.3410296046697
4.19,1.2943951991086915,-1.0671755004117534,3.845616366986437,167.36540218758472,331.1997338050856,-103.30340115408598
4.2,0.0161096742201052,-1.1256526878602842,2.7526030711131324,181.6197264141366,339.3335180794499,-103.27047625982522
