time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.010,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.020,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.030,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.040,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.050,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.060,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.070,2.897942,-2.635537,9.557653,42.560002,-60.585001,-26.145001
0.080,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.090,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.100,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.110,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.120,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.130,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.140,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.150,2.897942,-2.635537,9.557653,1.995000,6.860000,-3.500000
0.160,3.256881,-1.966693,8.048349,1.995000,6.860000,-3.500000
0.170,3.256881,-1.966693,8.048349,1.995000,6.860000,-3.500000
0.180,3.770044,-1.538878,7.066917,1.995000,6.860000,-3.500000
0.190,3.770044,-1.538878,7.066917,1.995000,6.860000,-3.500000
0.200,2.473988,-0.846115,5.398791,1.995000,6.860000,-3.500000
0.210,2.473988,-0.846115,5.398791,1.995000,6.860000,-3.500000
0.220,0.672914,-0.395334,3.361352,1.995000,6.860000,-3.500000
0.230,0.672914,-0.395334,3.361352,1.995000,6.860000,-3.500000
0.240,0.536416,-0.199430,1.785031,1.995000,6.860000,-3.500000
0.250,0.536416,-0.199430,1.785031,1.995000,6.860000,-3.500000
0.260,0.865835,0.143083,0.190702,1.995000,6.860000,-3.500000
0.270,0.865835,0.143083,0.190702,1.995000,6.860000,-3.500000
0.280,1.985537,0.296426,-1.431443,1.995000,6.860000,-3.500000
0.290,1.985537,0.296426,-1.431443,1.995000,6.860000,-3.500000
0.300,5.614519,0.152865,-3.529779,1.995000,6.860000,-3.500000
0.310,5.614519,0.152865,-3.529779,1.995000,6.860000,-3.500000
0.320,9.314496,-0.368041,-5.830941,1.995000,6.860000,-3.500000
0.330,9.314496,-0.368041,-5.830941,1.995000,6.860000,-3.500000
0.340,9.314496,-0.368041,-5.830941,1.995000,6.860000,-3.500000
0.350,9.876444,-2.077634,-7.235167,1.995000,6.860000,-3.500000
0.360,8.132913,-5.918040,-5.150319,1.995000,6.860000,-3.500000
0.370,8.132913,-5.918040,-5.150319,1.995000,6.860000,-3.500000
0.380,4.765268,-9.769917,-3.848273,1.995000,6.860000,-3.500000
0.390,4.765268,-9.769917,-3.848273,1.995000,6.860000,-3.500000
0.400,0.925764,-13.232576,-4.766052,-114.940008,-55.895000,-150.640000
0.410,0.925764,-13.232576,-4.766052,-114.940008,-55.895000,-150.640000
0.420,-3.415723,-15.355310,-7.231762,-114.940008,-55.895000,-150.640000
0.430,-3.415723,-15.355310,-7.231762,-114.940008,-55.895000,-150.640000
0.440,-6.212789,-13.843353,-8.775289,-114.940008,-55.895000,-150.640000
0.450,-6.212789,-13.843353,-8.775289,-114.940008,-55.895000,-150.640000
0.460,-10.576494,-12.066839,-6.075958,-114.940008,-55.895000,-150.640000
0.470,-10.576494,-12.066839,-6.075958,-114.940008,-55.895000,-150.640000
0.480,-17.227804,-9.710931,-2.907097,-114.940008,-55.895000,-150.640000
0.490,-17.227804,-9.710931,-2.907097,-114.940008,-55.895000,-150.640000
0.500,-17.227804,-9.710931,-2.907097,-114.940008,-55.895000,-150.640000
0.510,-17.227804,-9.710931,-2.907097,-114.940008,-55.895000,-150.640000
0.520,-17.957105,-2.666214,-1.775501,-114.940008,-55.895000,-150.640000
0.530,-17.957105,-2.666214,-1.775501,-114.940008,-55.895000,-150.640000
0.540,-8.590869,-1.136985,0.481554,-114.940008,-55.895000,-150.640000
0.550,-8.590869,-1.136985,0.481554,-114.940008,-55.895000,-150.640000
0.560,-15.039797,5.144869,3.988038,-285.180014,81.305001,-192.955002
0.570,-15.039797,5.144869,3.988038,-285.180014,81.305001,-192.955002
0.580,-27.287691,5.946982,1.466605,-285.180014,81.305001,-192.955002
0.590,-27.287691,5.946982,1.466605,-285.180014,81.305001,-192.955002
0.600,-21.075499,1.616392,4.873762,-285.180014,81.305001,-192.955002
0.610,-21.075499,1.616392,4.873762,-285.180014,81.305001,-192.955002
0.620,-9.641402,3.352127,14.933407,-285.180014,81.305001,-192.955002
0.630,-9.641402,3.352127,14.933407,-285.180014,81.305001,-192.955002
0.640,-7.303234,7.874247,15.765955,-285.180014,81.305001,-192.955002
0.650,-7.303234,7.874247,15.765955,-285.180014,81.305001,-192.955002
0.660,-7.683252,9.678095,15.206163,-285.180014,81.305001,-192.955002
0.670,-7.683252,9.678095,15.206163,-285.180014,81.305001,-192.955002
0.680,-11.578565,6.915040,15.244832,-285.180014,81.305001,-192.955002
0.690,-11.578565,6.915040,15.244832,-285.180014,81.305001,-192.955002
0.700,-12.543867,3.360012,16.819547,-285.180014,81.305001,-192.955002
0.710,-12.543867,3.360012,16.819547,-285.180014,81.305001,-192.955002
0.720,-7.449355,3.936825,15.748326,-50.014999,343.489995,463.714985
0.730,-7.449355,3.936825,15.748326,-50.014999,343.489995,463.714985
0.740,-1.249611,4.976715,10.549225,-50.014999,343.489995,463.714985
0.750,-1.249611,4.976715,10.549225,-50.014999,343.489995,463.714985
0.760,3.057046,5.142081,3.505409,-50.014999,343.489995,463.714985
0.770,3.057046,5.142081,3.505409,-50.014999,343.489995,463.714985
0.780,9.245172,2.615852,-1.859578,-50.014999,343.489995,463.714985
0.790,9.245172,2.615852,-1.859578,-50.014999,343.489995,463.714985
0.800,15.653259,1.125424,-4.138523,-50.014999,343.489995,463.714985
0.810,15.653259,1.125424,-4.138523,-50.014999,343.489995,463.714985
0.820,20.122762,2.480513,-4.364267,-50.014999,343.489995,463.714985
0.830,20.122762,2.480513,-4.364267,-50.014999,343.489995,463.714985
0.840,21.081979,4.842129,-5.799424,-50.014999,343.489995,463.714985
0.850,21.081979,4.842129,-5.799424,-50.014999,343.489995,463.714985
0.860,21.956614,7.388391,-8.016321,-50.014999,343.489995,463.714985
0.870,21.956614,7.388391,-8.016321,-50.014999,343.489995,463.714985
0.880,23.646563,10.605264,-9.171177,-67.795003,-267.260002,212.064997
0.890,23.646563,10.605264,-9.171177,-67.795003,-267.260002,212.064997
0.900,23.019955,12.782282,-9.304018,-67.795003,-267.260002,212.064997
0.910,23.019955,12.782282,-9.304018,-67.795003,-267.260002,212.064997
0.920,20.438585,10.867472,-9.502228,-67.795003,-267.260002,212.064997
0.930,20.438585,10.867472,-9.502228,-67.795003,-267.260002,212.064997
0.940,17.672467,6.336167,-8.262582,-67.795003,-267.260002,212.064997
0.950,17.672467,6.336167,-8.262582,-67.795003,-267.260002,212.064997
0.960,10.493041,-0.334300,-7.341734,-67.795003,-267.260002,212.064997
0.970,10.493041,-0.334300,-7.341734,-67.795003,-267.260002,212.064997
0.980,5.274310,-7.147418,-6.126215,-67.795003,-267.260002,212.064997
0.990,5.274310,-7.147418,-6.126215,-67.795003,-267.260002,212.064997
1.000,-1.442360,-15.145343,-8.612942,-67.795003,-267.260002,212.064997
1.010,-1.442360,-15.145343,-8.612942,-67.795003,-267.260002,212.064997
1.020,-5.790978,-23.436060,-10.678938,-67.795003,-267.260002,212.064997
1.030,-5.790978,-23.436060,-10.678938,-67.795003,-267.260002,212.064997
1.040,-26.617300,-42.679372,-1.718718,-117.809999,-389.515006,-459.200011
1.050,-26.617300,-42.679372,-1.718718,-117.809999,-389.515006,-459.200011
