time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.010,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.020,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.030,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.040,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.050,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.060,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.070,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.080,4.489607,-0.063207,5.711608,5.635000,-21.490000,-8.260000
0.090,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.100,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.110,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.120,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.130,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.140,4.489607,-0.063207,5.711608,10.885000,-3.745000,3.360000
0.150,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.160,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.170,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.180,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.190,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.200,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.210,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.220,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.230,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.240,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.250,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.260,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.270,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.280,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.290,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.300,1.559487,-2.065526,8.949717,10.885000,-3.745000,3.360000
0.310,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.320,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.330,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.340,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.350,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.360,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.370,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.380,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.390,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.400,5.882765,-1.457054,2.480546,10.885000,-3.745000,3.360000
0.410,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.420,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.430,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.440,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.450,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.460,5.882765,-1.457054,2.480546,-132.999998,-49.770000,-186.340005
0.470,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.480,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.490,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.500,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.510,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.520,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
0.530,-4.200219,-11.506679,-11.352224,-132.999998,-49.770000,-186.340005
