time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.010,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.020,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.030,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.040,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.050,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.060,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.070,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.080,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.090,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.100,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.110,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.120,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.130,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.140,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.150,5.859090,-2.999456,14.591223,4.480000,-28.000000,7.525000
0.160,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.170,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.180,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.190,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.200,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.210,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.220,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.230,2.695297,-12.847861,-2.360874,4.480000,-28.000000,7.525000
0.240,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.250,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.260,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.270,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.280,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.290,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.300,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.310,2.695297,-12.847861,-2.360874,-206.780002,-126.140002,-46.270000
0.320,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.330,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.340,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.350,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.360,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.370,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.380,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.390,-15.342504,-10.998464,-4.955193,-206.780002,-126.140002,-46.270000
0.400,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.410,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.420,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.430,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.440,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.450,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.460,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.470,-15.342504,-10.998464,-4.955193,-67.095004,600.354995,304.114992
0.480,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.490,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.500,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.510,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.520,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.530,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.540,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.550,-21.668851,-0.440135,24.967378,-67.095004,600.354995,304.114992
0.560,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.570,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.580,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.590,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.600,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.610,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.620,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.630,-21.668851,-0.440135,24.967378,72.974998,238.384995,347.270013
0.640,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.650,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.660,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.670,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.680,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.690,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.700,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.710,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.720,11.161666,15.631583,5.522502,72.974998,238.384995,347.270013
0.730,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.740,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.750,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.760,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.770,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.780,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.790,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.800,11.161666,15.631583,5.522502,40.705001,-221.725002,-25.620000
0.810,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.820,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.830,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.840,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.850,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.860,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.870,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.880,1.327263,-13.490018,-12.988803,40.705001,-221.725002,-25.620000
0.890,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.900,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.910,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.920,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.930,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.940,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.950,1.327263,-13.490018,-12.988803,-6.195000,-523.670003,-213.710008
0.960,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
0.970,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
0.980,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
0.990,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
1.000,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
1.010,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
1.020,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
1.030,12.259013,4.188027,-1.143677,-6.195000,-523.670003,-213.710008
1.040,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.050,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.060,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.070,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.080,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.090,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.100,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.110,12.259013,4.188027,-1.143677,-99.610004,-211.645009,45.675002
1.120,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.130,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.140,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.150,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.160,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.170,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.180,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.190,7.677328,-0.880612,0.739930,-99.610004,-211.645009,45.675002
1.200,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.210,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.220,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.230,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.240,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.250,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.260,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.270,7.677328,-0.880612,0.739930,-117.075002,-55.684999,77.384998
1.280,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.290,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.300,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.310,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.320,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.330,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.340,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.350,0.351726,-4.715257,-1.267872,-117.075002,-55.684999,77.384998
1.360,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.370,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.380,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.390,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.400,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.410,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.420,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.430,0.351726,-4.715257,-1.267872,-153.614998,270.094995,191.029996
1.440,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.450,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.460,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.470,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.480,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.490,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.500,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.510,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.520,-15.531843,-1.881744,0.098528,-153.614998,270.094995,191.029996
1.530,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.540,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.550,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.560,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.570,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.580,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.590,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.600,-15.531843,-1.881744,0.098528,138.704995,403.130005,393.190003
1.610,-13.655136,8.747535,6.435907,138.704995,403.130005,393.190003
