time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.010,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.020,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.030,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.040,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.050,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.060,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.070,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.080,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.090,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.100,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.110,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.120,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.130,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.140,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.150,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.160,0.530555,-1.559104,7.657615,33.740001,-21.244999,-5.950000
0.170,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.180,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.190,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.200,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.210,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.220,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.230,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.240,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.250,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.260,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.270,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.280,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.290,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.300,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.310,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.320,3.069558,-0.136374,7.612412,33.740001,-21.244999,-5.950000
0.330,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.340,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.350,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.360,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.370,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.380,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.390,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.400,3.694885,-0.718184,2.448828,33.740001,-21.244999,-5.950000
0.410,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.420,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.430,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.440,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.450,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.460,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.470,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.480,3.694885,-0.718184,2.448828,-8.015000,99.224999,-125.089997
0.490,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.500,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.510,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.520,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.530,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.540,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.550,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.560,-8.356216,-20.364060,-18.259492,-8.015000,99.224999,-125.089997
0.570,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.580,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.590,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.600,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.610,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.620,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.630,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.640,-8.356216,-20.364060,-18.259492,-332.745014,69.965002,-11.095000
0.650,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.660,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.670,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.680,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.690,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.700,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.710,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.720,6.684250,-58.199357,-3.498498,-332.745014,69.965002,-11.095000
0.730,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.740,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.750,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.760,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.770,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.780,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.790,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.800,6.684250,-58.199357,-3.498498,-647.640012,340.865016,-337.539998
0.810,-12.905995,-15.785373,22.957066,-647.640012,340.865016,-337.539998
0.820,-12.905995,-15.785373,22.957066,-647.640012,340.865016,-337.539998
0.830,-12.905995,-15.785373,22.957066,-647.640012,340.865016,-337.539998
