time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.010,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.020,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.030,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.040,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.050,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.060,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.070,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.080,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.090,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.100,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.110,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.120,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.130,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.140,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.150,-0.672292,-1.951753,7.343495,6.440000,-13.335000,-11.130000
0.160,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.170,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.180,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.190,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.200,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.210,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.220,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.230,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.240,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.250,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.260,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.270,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.280,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.290,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.300,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
0.310,1.398597,-3.394404,3.394403,6.440000,-13.335000,-11.130000
