time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.010,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.020,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.030,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.040,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.050,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.060,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.070,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.080,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.090,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.100,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.110,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.120,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.130,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.140,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.150,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.160,0.279643,-4.039497,8.745540,15.680000,-20.160000,-22.890001
0.170,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.180,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.190,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.200,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.210,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.220,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.230,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.240,-4.195025,-8.985343,-3.817698,15.680000,-20.160000,-22.890001
0.250,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.260,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.270,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.280,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.290,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.300,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.310,-4.195025,-8.985343,-3.817698,-234.990008,99.224999,-129.849997
0.320,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.330,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.340,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.350,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.360,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.370,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.380,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.390,-2.141680,-32.398261,-11.292128,-234.990008,99.224999,-129.849997
0.400,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.410,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.420,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.430,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.440,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.450,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
0.460,-2.141680,-32.398261,-11.292128,-592.689993,273.804990,-427.595004
