time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.010,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.020,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.030,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.040,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.050,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.060,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.070,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.080,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.090,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.100,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.110,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.120,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.130,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.140,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.150,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.160,1.524628,-1.281377,6.667373,29.645002,-26.950000,7.560000
0.170,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.180,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.190,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.200,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.210,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.220,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.230,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.240,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.250,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.260,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.270,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.280,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.290,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.300,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.310,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.320,-3.536140,-3.438457,3.006734,29.645002,-26.950000,7.560000
0.330,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.340,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.350,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.360,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.370,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.380,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.390,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.400,-5.784315,-10.711007,-4.675704,29.645002,-26.950000,7.560000
0.410,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.420,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.430,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.440,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.450,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.460,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.470,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.480,-5.784315,-10.711007,-4.675704,-241.989996,170.414996,-236.810008
0.490,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.500,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.510,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.520,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.530,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.540,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.550,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.560,-5.203975,-25.690221,-0.099461,-241.989996,170.414996,-236.810008
0.570,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.580,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.590,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.600,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.610,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.620,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.630,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.640,-5.203975,-25.690221,-0.099461,-332.710017,156.975000,-341.950006
0.650,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.660,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.670,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.680,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.690,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.700,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.710,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.720,1.814662,-8.786112,18.022511,-332.710017,156.975000,-341.950006
0.730,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.740,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.750,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.760,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.770,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.780,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.790,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.800,1.814662,-8.786112,18.022511,204.295002,268.660000,-151.270003
0.810,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.820,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.830,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.840,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.850,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.860,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.870,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.880,-7.435547,1.052020,-8.326907,204.295002,268.660000,-151.270003
0.890,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.900,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.910,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.920,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.930,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.940,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.950,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.960,-7.435547,1.052020,-8.326907,305.235007,-11.445001,345.030011
0.970,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
0.980,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
0.990,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.000,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.010,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.020,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.030,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.040,7.367155,0.293823,-3.079800,305.235007,-11.445001,345.030011
1.050,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.060,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.070,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.080,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.090,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.100,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.110,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.120,7.367155,0.293823,-3.079800,175.035004,-59.954998,247.869997
1.130,10.377585,-1.479191,7.520939,175.035004,-59.954998,247.869997
1.140,10.377585,-1.479191,7.520939,175.035004,-59.954998,247.869997
1.150,10.377585,-1.479191,7.520939,175.035004,-59.954998,247.869997
1.160,10.377585,-1.479191,7.520939,175.035004,-59.954998,247.869997
1.170,10.377585,-1.479191,7.520939,175.035004,-59.954998,247.869997
