time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.01,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.02,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.03,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.04,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.05,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.06,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.07,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.08,4.489607,-0.063207,5.711608,5.635,-21.49,-8.26
0.09,4.489607,-0.063207,5.711608,6.29125,-19.271874999999998,-6.8075
0.1,4.489607,-0.063207,5.711608,6.86546875,-17.331015625,-5.5365625000000005
0.11,4.489607,-0.063207,5.711608,7.36791015625,-15.632763671875,-4.4244921875
0.12,4.489607,-0.063207,5.711608,7.80754638671875,-14.146793212890627,-3.4514306640625003
0.13,4.489607,-0.063207,5.711608,8.192228088378906,-12.846569061279299,-2.600001831054688
0.14,4.489607,-0.063207,5.711608,8.528824577331543,-11.708872928619387,-1.8550016021728521
0.15,4.123342,-0.313496875,6.116371625,8.8233465051651,-10.713388812541965,-1.2031264019012458
0.16,3.802860125,-0.532500515625,6.470539796875,9.081053192019462,-9.84234021097422,-0.6327356016635901
0.17,3.5224384843750003,-0.724128701171875,6.780436947265625,9.30654654301703,-9.080172684602443,-0.13364365145564133
0.18,3.277069548828125,-0.8918033635253907,7.0515969538574215,9.5038532251399,-8.413276099027138,0.30306180497631385
0.19,3.06237173022461,-1.038518693084717,7.288861959625244,9.676496571997413,-7.829741586648746,0.6851790793542747
0.2,2.874511138946534,-1.1668946064491275,7.496468839672088,9.827559500497737,-7.3191488883176525,1.0195316944349904
0.21,2.710133121578217,-1.2792235306429867,7.678124859713077,9.95973956293552,-6.872380277277945,1.3120902326306165
0.22,2.56630235638094,-1.3775113393126133,7.837073877248942,10.07539711756858,-6.481457742618201,1.5680789535517894
0.23,2.4404504368333226,-1.4635131718985366,7.9761542675928245,10.176597477872507,-6.139400524790926,1.7920690843578155
0.24,2.3303300072291573,-1.5387647754112195,8.097849609143722,10.265147793138444,-5.840100459192059,1.9880604488130884
0.25,2.2339746313255127,-1.604609928484817,8.204333033000758,10.34262931899614,-5.5782129017930515,2.1595528927114525
0.26,2.1496636774098237,-1.662224437424215,8.297506028875663,10.410425654121623,-5.34906128906892,2.3096087811225208
0.27,2.075891592733596,-1.7126371327461882,8.379032400266205,10.46974744735642,-5.148553627935304,2.4409076834822057
0.28,2.0113410186418963,-1.7567482411529147,8.450367975232929,10.521654016436868,-4.973109424443391,2.55579422304693
0.29,1.9548592663116593,-1.7953454610088004,8.512786603328813,10.56707226438226,-4.819595746387966,2.6563199451660635
0.3,1.905437733022702,-1.8291180283827004,8.567402902912711,10.606813231334478,-4.68527127808947,2.7442799520203054
0.31,2.4026036413948644,-1.7826100248348629,7.806545790048622,10.641586577417668,-4.567737368328285,2.821244958017767
0.32,2.837623811220506,-1.741915521730505,7.140795816292544,10.67201325524046,-4.46489519728725,2.888589338265546
0.33,3.2182664598179427,-1.7063078315141917,6.558264589255975,10.698636598335403,-4.374908297626344,2.9475156709823525
0.34,3.5513287773406996,-1.6751511025749177,6.0485497655989775,10.721932023543479,-4.296169760423051,2.9990762121095584
0.35,3.842758305173112,-1.647888964753053,5.602549294899105,10.742315520600545,-4.227273540370169,3.0441916855958637
0.36,4.097759142026473,-1.6240345941589214,5.212298883036716,10.760151080525478,-4.166989347823898,3.083667724896381
0.37,4.3208848742731645,-1.6031620198890562,4.870829772657126,10.775757195459795,-4.114240679345911,3.1182092592843333
0.38,4.516119889989019,-1.584898517402924,4.572044301074985,10.789412546027322,-4.0680855944276715,3.1484331018737914
0.39,4.686950528740391,-1.5689179527275585,4.310607013440612,10.801360977773907,-4.027699895124212,3.1748789641395674
