time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
1.48,5.342199972217282,4.500764670298676,-0.4621082899579325,-80.013281791978,-240.3865875329735,37.69578292427403
1.49,5.311295600690122,3.912364336511342,0.143972496286809,-84.37912256798076,-231.81951471635185,41.13881005873978
1.5,5.284254275603857,3.397514044447425,0.6742931842509579,-88.19923324698317,-224.32332600180783,44.15145880139731
1.51,5.260593116153375,2.9470200388914964,1.138323786219588,-91.54183009111028,-217.76416087658183,46.78752645122265
1.52,5.239889601634204,2.55283778403006,1.5443505629421397,-94.4666023297215,-212.02489139200912,49.09408564481981
1.53,5.221774026429928,2.2079283110263024,1.8996239925743723,-93.20202728850632,-188.374279968008,57.57419956421734
1.54,5.205922898126188,1.9061325221480143,2.210488243502576,-92.09552412744304,-167.67999497200697,64.99429924369016
1.55,5.192053160860414,1.6420612068795126,2.4824944630647536,-91.12733386151264,-149.57249560050607,71.48688646322888
1.56,5.179917140752863,1.4109988060195735,2.72049990518166,-90.28016737882358,-133.7284336504428,77.16790028032527
1.57,5.169298123158756,1.2088192052671267,2.928754667033952,-89.53889670647064,-119.86487944413746,82.1387873702846
1.58,5.160006482763912,1.031912054608736,3.110977583654708,-88.89028486816181,-107.73426951362028,86.48831357399902
1.59,5.151876297418423,0.8771182977826439,3.2704226356978694,-88.32274950964158,-97.11998582441775,90.29414900224914
1.6,5.14476238524112,0.7416737605598134,3.409937056235636,-87.82615607093639,-87.83248759636554,93.624255001968
1.61,5.290327587085979,0.3486779154898368,3.196096674206182,-87.39163681206935,-79.70592664681985,96.538097751722
1.62,5.417697138700231,0.0048065510536072,3.0089863399304093,-87.01143246056068,-72.59518581596737,99.08771015775672
1.63,5.529145496362702,-0.2960808928280936,2.8452647974391083,-86.67875365299061,-66.37328758897145,101.31862101303712
1.64,5.626662809317364,-0.5593574062245819,2.70200844775922,-86.38765969636678,-60.92912664035002,103.27066801140748
1.65,5.711990458152693,-0.7897243554465091,2.576659141789318,-86.13295248432094,-56.165485810306265,104.97870913498154
1.66,5.786652150883606,-0.9912954360156954,2.4669784990656534,-85.91008367378082,-51.99730008401798,106.47324511810884
1.67,5.851981132023155,-1.1676701315137334,2.371007936682447,-85.71507346455822,-48.35013757351573,107.78096410334524
1.68,5.909143990520261,-1.321997990074517,2.287033694597141,-85.54443953148844,-45.158870376826265,108.92521821542708
1.69,5.959161491705228,-1.4570348663152022,2.2135562327724987,-89.62138521505237,-36.425261454722985,109.09519118849867
1.7,6.0029268052420734,-1.575192133025802,2.1492634536759363,-93.18871268817082,-28.78335364788261,109.24391753993636
1.71,6.041221454586814,-1.6785797413975767,2.0930072719664445,-96.31012422714946,-22.09668431689728,109.3740530974443
1.72,6.074729272763462,-1.7690438987228796,2.043783112970639,-99.04135932375576,-16.245848652285122,109.48792171026376
1.73,6.104048613668029,-1.84820003638252,2.000711973849309,-101.4311900332863,-11.126367445749484,109.5875567464808
