time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
1.45,-0.5059393700005921,5.904773382849422,-4.317347740684963,-76.59533385835537,76.12065338766615,50.87033940852415
1.46,-0.7428323237505181,5.032874459993245,-3.870182773099343,-80.61841762606095,74.54619683920788,56.23654685745864
1.47,-0.9501136582817034,4.26996290249409,-3.4789134264619244,-84.13861592280333,73.1685473593069,60.93197837527631
1.48,-1.1314848259964905,3.6024152896823285,-3.1365527481541835,-87.21878943245291,71.96310406439353,65.04048095336677
1.49,-1.2901845977469293,3.0183111284720376,-2.8369871546349104,-89.91394125339629,70.90834118134434,68.63542070919591
1.5,-1.429046898028563,2.5072199874130328,-2.5748672603055462,-92.27219909672176,69.9854236586763,71.78099299554643
1.51,-1.5505514107749927,2.0600152389864035,-2.345512352767353,-94.33567470963152,69.17787082634176,74.53336874610312
1.52,-1.6568678594281183,1.668711084113103,-2.144826808671433,-96.14121587092755,68.47126209804904,76.94169752784022
1.53,-1.7498947519996038,1.3263199485989652,-1.9692269575875043,-110.68418876206162,63.33797933579291,79.0533607118602
1.54,-1.831293282999653,1.0267277050240946,-1.8155770878890665,-123.40929004180391,58.8463569188188,80.90106599787767
1.55,-1.9025169976246967,0.7645844918960828,-1.681133451902933,-134.54375366157842,54.91618730396645,82.51780812314296
1.56,-1.9648377479216097,0.5352091804090724,-1.5634952704150664,-144.28640932888112,51.47728889097064,83.9324574827501
1.57,-2.0193684044314084,0.3345057828579383,-1.4605618616131832,-152.811233037771,48.46825277959931,85.17027567240633
1.58,-2.0670827288774825,0.1588903100006959,-1.3704951289115357,-160.27045378304962,45.835346182149394,86.25336658835555
1.59,-2.108832762767797,0.0052267712506089,-1.2916867377975936,-166.79727193516842,43.53155290938072,87.2010711398111
1.6,-2.1453640424218223,-0.1292288251557171,-1.2227293955728944,-172.50823781827236,41.51573379570813,88.03031262233472
1.61,-2.0143511621190946,-1.2381315970112523,-1.0332789711262826,-177.50533296598832,39.75189207124461,88.75589891954289
1.62,-1.899714891854208,-2.208421522384846,-0.8675098497354973,-181.87779122023977,38.20853056233904,89.39078692960003
1.63,-1.7994081553724317,-3.05742520708674,-0.7224618685185601,-185.7036921927098,36.85808924204666,89.94631393840002
1.64,-1.7116397609508778,-3.8003034312008976,-0.59554488495374,-189.0513555436211,35.67645308679083,90.43240007110002
1.65,-1.634842415832018,-4.4503218773007855,-0.4844925243345225,-191.98056097566845,34.64252145094197,90.85772543721252
1.66,-1.5676447388530157,-5.019088017638187,-0.3873217087927073,-194.5436157287099,33.73783126957423,91.22988513256097
1.67,-1.508846771496389,-5.516758390433413,-0.3022972451936189,-196.7862886376212,32.94622736087745,91.55552486599083
1.68,-1.45739855005934,-5.952219966629237,-0.2279008395444165,-198.7486274329185,32.253573940767765,91.840459632742
1.69,-1.4123813563019223,-6.333248845800582,-0.1628039846013644,-205.79004887880373,43.0487528231718,79.47665217864925
1.7,-1.372991311764182,-6.666649115075509,-0.1058442365261938,-211.95129264395328,52.49453434527532,68.65832065631808
1.71,-1.3385250227936594,-6.95837435069107,-0.0560044569604196,-217.34238093845912,60.7595931771159,59.19228057427832
1.72,-1.308367019944452,-7.213633931854686,-0.0123946498403671,-222.0595831961517,67.99151965497641,50.909495502493535
