style,quality,session_file,relative_path,stroke_index,start_time,peak_time,end_time
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,112,0.52,1.12,1.72
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,237,1.77,2.37,2.97
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,322,2.62,3.22,3.82
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,462,4.02,4.62,5.22
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,611,5.51,6.11,6.71
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,694,6.34,6.94,7.54
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,906,8.46,9.06,9.66
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,993,9.33,9.93,10.53
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1131,10.71,11.31,11.91
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1215,11.55,12.15,12.75
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1357,12.97,13.57,14.17
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1513,14.53,15.13,15.73
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1664,16.04,16.64,17.24
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1892,18.32,18.92,19.52
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,2121,20.61,21.21,21.81
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,2266,22.06,22.66,23.26
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,86,0.26,0.86,1.46
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,198,1.38,1.98,2.58
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,321,2.61,3.21,3.81
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,448,3.88,4.48,5.08
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,565,5.05,5.65,6.25
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,704,6.44,7.04,7.64
