time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-1.890462,-4.052905,8.458236,41.859999,-26.075000,2.275000
0.010,-1.890462,-4.052905,8.458236,41.859999,-26.075000,2.275000
0.020,0.267001,-2.688784,6.634429,41.859999,-26.075000,2.275000
0.030,0.267001,-2.688784,6.634429,41.859999,-26.075000,2.275000
0.040,5.157149,-2.698821,5.698277,41.859999,-26.075000,2.275000
0.050,5.157149,-2.698821,5.698277,41.859999,-26.075000,2.275000
0.060,0.270097,-2.530637,5.301782,41.859999,-26.075000,2.275000
0.070,0.270097,-2.530637,5.301782,41.859999,-26.075000,2.275000
0.080,0.108817,-2.357782,4.731757,41.859999,-26.075000,2.275000
0.090,0.108817,-2.357782,4.731757,41.859999,-26.075000,2.275000
0.100,-0.531608,-1.300125,4.135917,41.859999,-26.075000,2.275000
0.110,-0.531608,-1.300125,4.135917,41.859999,-26.075000,2.275000
0.120,-0.061368,-0.017297,3.902496,41.859999,-26.075000,2.275000
0.130,-0.061368,-0.017297,3.902496,41.859999,-26.075000,2.275000
0.140,0.111796,1.100903,3.715759,41.859999,-26.075000,2.275000
0.150,0.111796,1.100903,3.715759,41.859999,-26.075000,2.275000
0.160,0.516562,2.096977,3.411225,41.859999,-26.075000,2.275000
0.170,0.516562,2.096977,3.411225,41.859999,-26.075000,2.275000
0.180,1.556721,3.010673,3.043099,41.859999,-26.075000,2.275000
0.190,1.556721,3.010673,3.043099,41.859999,-26.075000,2.275000
0.200,2.137935,3.601808,3.229354,41.859999,-26.075000,2.275000
0.210,2.137935,3.601808,3.229354,41.859999,-26.075000,2.275000
0.220,2.227496,3.978949,2.516446,41.859999,-26.075000,2.275000
0.230,2.227496,3.978949,2.516446,41.859999,-26.075000,2.275000
0.240,2.098031,3.487701,1.281488,41.859999,-26.075000,2.275000
0.250,2.098031,3.487701,1.281488,41.859999,-26.075000,2.275000
0.260,1.839315,1.941656,-1.026161,41.859999,-26.075000,2.275000
0.270,1.839315,1.941656,-1.026161,41.859999,-26.075000,2.275000
0.280,2.170559,0.407939,-3.559896,41.859999,-26.075000,2.275000
0.290,2.170559,0.407939,-3.559896,41.859999,-26.075000,2.275000
0.300,3.115507,-1.435781,-6.975520,41.859999,-26.075000,2.275000
0.310,3.115507,-1.435781,-6.975520,41.859999,-26.075000,2.275000
0.320,3.115507,-1.435781,-6.975520,41.859999,-26.075000,2.275000
0.330,4.392444,-3.537081,-7.175912,41.859999,-26.075000,2.275000
0.340,3.443087,-6.330945,-2.166665,41.859999,-26.075000,2.275000
0.350,3.443087,-6.330945,-2.166665,41.859999,-26.075000,2.275000
0.360,1.877234,-8.700112,-3.566333,41.859999,-26.075000,2.275000
0.370,1.877234,-8.700112,-3.566333,41.859999,-26.075000,2.275000
0.380,-2.003324,-8.390865,-5.226199,-67.059999,-256.444999,-161.769998
0.390,-2.003324,-8.390865,-5.226199,-67.059999,-256.444999,-161.769998
0.400,-4.496770,-6.373673,-11.068599,-67.059999,-256.444999,-161.769998
0.410,-4.496770,-6.373673,-11.068599,-67.059999,-256.444999,-161.769998
0.420,-7.774819,-4.920809,-17.117748,-67.059999,-256.444999,-161.769998
0.430,-7.774819,-4.920809,-17.117748,-67.059999,-256.444999,-161.769998
0.440,-8.663857,-8.075744,-13.604176,-67.059999,-256.444999,-161.769998
0.450,-8.663857,-8.075744,-13.604176,-67.059999,-256.444999,-161.769998
0.460,-7.720214,-13.654693,-5.213871,-67.059999,-256.444999,-161.769998
0.470,-7.720214,-13.654693,-5.213871,-67.059999,-256.444999,-161.769998
0.480,-5.180183,-9.996719,-1.849679,-67.059999,-256.444999,-161.769998
0.490,-5.180183,-9.996719,-1.849679,-67.059999,-256.444999,-161.769998
0.500,-4.917953,-1.557929,-0.523978,-67.059999,-256.444999,-161.769998
0.510,-4.917953,-1.557929,-0.523978,-67.059999,-256.444999,-161.769998
0.520,-5.160194,0.605811,-1.237042,-67.059999,-256.444999,-161.769998
0.530,-5.160194,0.605811,-1.237042,-67.059999,-256.444999,-161.769998
0.540,-7.487699,-0.589869,-1.529765,-304.850003,-89.180004,61.879998
0.550,-7.487699,-0.589869,-1.529765,-304.850003,-89.180004,61.879998
0.560,-13.293432,-2.203382,1.080368,-304.850003,-89.180004,61.879998
0.570,-13.293432,-2.203382,1.080368,-304.850003,-89.180004,61.879998
0.580,-18.698417,-3.838958,5.570337,-304.850003,-89.180004,61.879998
0.590,-18.698417,-3.838958,5.570337,-304.850003,-89.180004,61.879998
0.600,-17.647900,-1.596337,10.767385,-304.850003,-89.180004,61.879998
0.610,-17.647900,-1.596337,10.767385,-304.850003,-89.180004,61.879998
0.620,-14.918943,-0.012933,12.988593,-304.850003,-89.180004,61.879998
0.630,-14.918943,-0.012933,12.988593,-304.850003,-89.180004,61.879998
0.640,-10.948741,-0.445133,16.631123,-304.850003,-89.180004,61.879998
0.650,-10.948741,-0.445133,16.631123,-304.850003,-89.180004,61.879998
0.660,-9.607500,-1.254410,19.759665,-304.850003,-89.180004,61.879998
0.670,-9.607500,-1.254410,19.759665,-304.850003,-89.180004,61.879998
0.680,-9.375346,-0.913507,20.082819,-304.850003,-89.180004,61.879998
0.690,-9.375346,-0.913507,20.082819,-304.850003,-89.180004,61.879998
0.700,-11.693005,3.710918,18.560057,-118.335008,616.035033,412.720000
0.710,-11.693005,3.710918,18.560057,-118.335008,616.035033,412.720000
0.720,-8.837256,2.170028,18.186519,-118.335008,616.035033,412.720000
0.730,-8.837256,2.170028,18.186519,-118.335008,616.035033,412.720000
0.740,-0.910003,5.386702,8.249591,-118.335008,616.035033,412.720000
0.750,-0.910003,5.386702,8.249591,-118.335008,616.035033,412.720000
0.760,2.353816,12.729290,-1.622973,-118.335008,616.035033,412.720000
0.770,2.353816,12.729290,-1.622973,-118.335008,616.035033,412.720000
0.780,4.133602,10.608642,-4.090975,-118.335008,616.035033,412.720000
0.790,4.133602,10.608642,-4.090975,-118.335008,616.035033,412.720000
0.800,9.926370,1.352193,-7.455929,-118.335008,616.035033,412.720000
0.810,9.926370,1.352193,-7.455929,-118.335008,616.035033,412.720000
0.820,9.926370,1.352193,-7.455929,-118.335008,616.035033,412.720000
0.830,16.694297,4.443213,-9.473685,-118.335008,616.035033,412.720000
0.840,16.477476,10.003592,-9.433018,-118.335008,616.035033,412.720000
0.850,16.477476,10.003592,-9.433018,-118.335008,616.035033,412.720000
0.860,16.160368,11.538631,-9.159149,-17.360000,38.290000,468.545021
0.870,16.160368,11.538631,-9.159149,-17.360000,38.290000,468.545021
0.880,16.703472,10.881946,-7.505448,-17.360000,38.290000,468.545021
0.890,16.703472,10.881946,-7.505448,-17.360000,38.290000,468.545021
0.900,15.301123,9.852859,-7.496425,-17.360000,38.290000,468.545021
0.910,15.301123,9.852859,-7.496425,-17.360000,38.290000,468.545021
0.920,14.849621,8.510525,-7.535175,-17.360000,38.290000,468.545021
0.930,14.849621,8.510525,-7.535175,-17.360000,38.290000,468.545021
0.940,15.235409,7.034433,-7.968401,-17.360000,38.290000,468.545021
0.950,15.235409,7.034433,-7.968401,-17.360000,38.290000,468.545021
0.960,14.638075,2.767912,-6.363229,-17.360000,38.290000,468.545021
0.970,14.638075,2.767912,-6.363229,-17.360000,38.290000,468.545021
0.980,9.463741,-3.265519,-6.004210,-17.360000,38.290000,468.545021
0.990,9.463741,-3.265519,-6.004210,-17.360000,38.290000,468.545021
1.000,4.604098,-8.228255,-7.607457,-17.360000,38.290000,468.545021
1.010,4.604098,-8.228255,-7.607457,-17.360000,38.290000,468.545021
1.020,4.604098,-8.228255,-7.607457,-64.364998,-547.505013,-388.185004
1.030,-0.871451,-14.581153,-13.755073,-64.364998,-547.505013,-388.185004
1.040,-11.674097,-34.066989,-5.734899,-64.364998,-547.505013,-388.185004
1.050,-11.674097,-34.066989,-5.734899,-64.364998,-547.505013,-388.185004
1.060,-26.340025,-35.395791,4.402787,-64.364998,-547.505013,-388.185004
1.070,-26.340025,-35.395791,4.402787,-64.364998,-547.505013,-388.185004
1.080,-15.216760,-12.442118,-4.503135,-64.364998,-547.505013,-388.185004
1.090,-15.216760,-12.442118,-4.503135,-64.364998,-547.505013,-388.185004
1.100,0.764858,-2.307573,-5.567668,-64.364998,-547.505013,-388.185004
