time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.010,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.020,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.030,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.040,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.050,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.060,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.070,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.080,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.090,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.100,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.110,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.120,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.130,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.140,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.150,-2.375048,-2.599145,15.363113,18.830000,-41.965000,-6.090000
0.160,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.170,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.180,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.190,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.200,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.210,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.220,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.230,13.055103,1.029315,-3.526563,18.830000,-41.965000,-6.090000
0.240,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.250,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.260,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.270,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.280,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.290,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.300,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.310,13.055103,1.029315,-3.526563,-247.205009,-231.280013,-247.695007
0.320,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.330,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.340,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.350,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.360,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.370,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.380,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.390,-22.741469,-21.025075,-8.714817,-247.205009,-231.280013,-247.695007
0.400,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.410,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.420,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.430,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.440,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.450,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.460,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.470,-22.741469,-21.025075,-8.714817,-228.305002,42.700000,-30.870000
0.480,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.490,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.500,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.510,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.520,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.530,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.540,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.550,-28.423121,-9.317590,11.900201,-228.305002,42.700000,-30.870000
0.560,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.570,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.580,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.590,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.600,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.610,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.620,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.630,-28.423121,-9.317590,11.900201,-115.955001,529.375014,430.570016
0.640,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.650,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.660,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.670,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.680,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.690,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.700,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.710,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.720,-9.058984,12.117091,5.304451,-115.955001,529.375014,430.570016
0.730,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.740,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.750,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.760,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.770,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.780,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.790,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.800,-9.058984,12.117091,5.304451,-143.080005,-100.589999,343.979993
0.810,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.820,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.830,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.840,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.850,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.860,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.870,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.880,24.482689,6.429897,0.690565,-143.080005,-100.589999,343.979993
0.890,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.900,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.910,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.920,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.930,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.940,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.950,24.482689,6.429897,0.690565,69.405001,-163.624995,-370.125000
0.960,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
0.970,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
0.980,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
0.990,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
1.000,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
1.010,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
1.020,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
1.030,17.691858,-1.793521,-13.190265,69.405001,-163.624995,-370.125000
1.040,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.050,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.060,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.070,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.080,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.090,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.100,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.110,17.691858,-1.793521,-13.190265,21.980000,-443.204992,156.240004
1.120,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.130,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.140,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.150,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.160,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.170,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.180,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.190,11.138708,-5.508790,2.627389,21.980000,-443.204992,156.240004
1.200,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.210,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.220,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.230,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.240,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.250,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.260,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.270,11.138708,-5.508790,2.627389,-162.224998,-112.384998,26.705000
1.280,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.290,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.300,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.310,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.320,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.330,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.340,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.350,-9.643139,-10.541935,2.389215,-162.224998,-112.384998,26.705000
1.360,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.370,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.380,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.390,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.400,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.410,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.420,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.430,-9.643139,-10.541935,2.389215,-181.019998,9.590001,143.325004
1.440,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.450,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.460,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.470,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.480,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.490,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.500,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.510,-6.954113,-3.784966,4.345797,-181.019998,9.590001,143.325004
1.520,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.530,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.540,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.550,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.560,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.570,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.580,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.590,-6.954113,-3.784966,4.345797,1.820000,454.230010,282.660002
1.600,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.610,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.620,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.630,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.640,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.650,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.660,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.670,-15.645753,-0.616533,9.808821,1.820000,454.230010,282.660002
1.680,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.690,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.700,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.710,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.720,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.730,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.740,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.750,-15.645753,-0.616533,9.808821,-20.125000,-53.970000,306.739998
1.760,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.770,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.780,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.790,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.800,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.810,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.820,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.830,1.360191,19.725328,-2.821505,-20.125000,-53.970000,306.739998
1.840,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.850,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.860,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.870,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.880,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.890,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.900,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.910,1.360191,19.725328,-2.821505,-29.399999,-243.600008,-196.980006
1.920,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.930,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.940,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.950,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.960,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.970,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.980,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
1.990,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
2.000,-3.972231,-36.388434,-7.589570,-29.399999,-243.600008,-196.980006
2.010,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.020,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.030,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.040,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.050,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.060,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.070,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.080,-3.972231,-36.388434,-7.589570,112.944998,-384.055007,-15.295000
2.090,8.285652,13.766531,-9.854495,112.944998,-384.055007,-15.295000
2.100,8.285652,13.766531,-9.854495,112.944998,-384.055007,-15.295000
2.110,8.285652,13.766531,-9.854495,112.944998,-384.055007,-15.295000
2.120,8.285652,13.766531,-9.854495,112.944998,-384.055007,-15.295000
2.130,8.285652,13.766531,-9.854495,112.944998,-384.055007,-15.295000
