time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.010,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.020,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.030,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.040,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.050,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.060,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.070,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.080,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.090,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.100,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.110,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.120,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.130,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.140,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.150,1.210508,-3.263776,3.190992,2.870000,-45.290001,2.905000
0.160,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.170,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.180,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.190,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.200,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.210,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.220,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.230,-5.553399,-21.467753,-9.326277,2.870000,-45.290001,2.905000
0.240,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.250,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.260,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.270,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.280,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.290,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.300,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.310,-5.553399,-21.467753,-9.326277,-418.810015,177.869997,-207.480001
0.320,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.330,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.340,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.350,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.360,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.370,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.380,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.390,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.400,23.580933,-47.988533,7.618618,-418.810015,177.869997,-207.480001
0.410,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.420,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.430,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.440,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.450,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.460,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.470,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.480,23.580933,-47.988533,7.618618,-371.174992,391.265010,-476.769990
0.490,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.500,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.510,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.520,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.530,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.540,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.550,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.560,-5.171123,-12.445343,12.448148,-371.174992,391.265010,-476.769990
0.570,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.580,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.590,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.600,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.610,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.620,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.630,-5.171123,-12.445343,12.448148,345.030011,435.120015,60.969998
0.640,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.650,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.660,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.670,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.680,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.690,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.700,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.710,15.526200,-17.912686,-19.589761,345.030011,435.120015,60.969998
0.720,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.730,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.740,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.750,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.760,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.770,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.780,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.790,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.800,15.526200,-17.912686,-19.589761,305.409996,209.334998,322.980002
0.810,7.500398,9.889594,0.516825,305.409996,209.334998,322.980002
0.820,7.500398,9.889594,0.516825,305.409996,209.334998,322.980002
0.830,7.500398,9.889594,0.516825,305.409996,209.334998,322.980002
0.840,7.500398,9.889594,0.516825,305.409996,209.334998,322.980002
