time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.010,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.020,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.030,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.040,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.050,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.060,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.070,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.080,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.090,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.100,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.110,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.120,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.130,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.140,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.150,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.160,3.079901,0.028730,6.908708,11.060000,-7.455000,-14.980000
0.170,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.180,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.190,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.200,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.210,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.220,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.230,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.240,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.250,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.260,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.270,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.280,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.290,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.300,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.310,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.320,3.781689,-1.955584,14.975444,11.060000,-7.455000,-14.980000
0.330,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.340,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.350,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.360,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.370,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.380,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.390,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.400,9.564395,-7.523157,-12.227897,11.060000,-7.455000,-14.980000
0.410,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.420,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.430,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.440,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.450,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.460,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.470,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.480,9.564395,-7.523157,-12.227897,-310.170010,-53.725001,-204.819997
0.490,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.500,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.510,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.520,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.530,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.540,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.550,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.560,-22.595871,-17.290427,-13.059500,-310.170010,-53.725001,-204.819997
0.570,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.580,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.590,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.600,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.610,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.620,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.630,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.640,-22.595871,-17.290427,-13.059500,-216.440007,415.835003,190.260001
0.650,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.660,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.670,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.680,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.690,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.700,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.710,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.720,-29.038310,-0.277329,17.890171,-216.440007,415.835003,190.260001
0.730,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.740,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.750,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.760,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.770,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.780,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.790,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.800,-29.038310,-0.277329,17.890171,26.075000,291.025017,441.665003
0.810,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.820,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.830,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.840,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.850,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.860,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.870,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.880,9.615885,10.366255,10.554197,26.075000,291.025017,441.665003
0.890,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.900,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.910,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.920,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.930,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.940,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.950,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.960,9.615885,10.366255,10.554197,19.110000,-217.000000,39.270002
0.970,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
0.980,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
0.990,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.000,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.010,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.020,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.030,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.040,8.146648,-6.397818,-10.972660,19.110000,-217.000000,39.270002
1.050,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.060,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.070,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.080,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.090,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.100,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.110,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.120,8.146648,-6.397818,-10.972660,-79.064999,-411.459994,-250.214992
1.130,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.140,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.150,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.160,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.170,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.180,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.190,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.200,0.572037,4.335969,-7.374168,-79.064999,-411.459994,-250.214992
1.210,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.220,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.230,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.240,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.250,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.260,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.270,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.280,0.572037,4.335969,-7.374168,-70.945004,-208.530006,59.499998
1.290,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.300,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.310,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.320,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.330,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.340,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.350,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.360,12.660397,-2.878732,2.407588,-70.945004,-208.530006,59.499998
1.370,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.380,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.390,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.400,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.410,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.420,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.430,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.440,12.660397,-2.878732,2.407588,-116.550006,-16.240001,30.135000
1.450,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.460,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.470,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.480,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.490,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.500,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.510,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.520,1.296586,-8.667731,-0.722875,-116.550006,-16.240001,30.135000
1.530,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.540,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.550,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.560,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.570,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.580,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.590,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.600,1.296586,-8.667731,-0.722875,-175.629995,402.290001,119.980005
1.610,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.620,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.630,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.640,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.650,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.660,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.670,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.680,-14.582503,3.778431,9.151736,-175.629995,402.290001,119.980005
1.690,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.700,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.710,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.720,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.730,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.740,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.750,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.760,-14.582503,3.778431,9.151736,71.575000,411.424996,346.990002
1.770,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.780,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.790,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.800,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.810,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.820,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.830,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.840,-8.339020,11.480980,8.445706,71.575000,411.424996,346.990002
1.850,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.860,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.870,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.880,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.890,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.900,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.910,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.920,-8.339020,11.480980,8.445706,-88.445001,-142.380006,199.359999
1.930,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.940,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.950,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.960,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.970,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.980,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
1.990,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
2.000,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
2.010,10.044143,1.094298,-6.352168,-88.445001,-142.380006,199.359999
2.020,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.030,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.040,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.050,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.060,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.070,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
2.080,10.044143,1.094298,-6.352168,-33.215002,-320.354997,-318.639991
