time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-2.288857,-2.964979,6.609912,18.480001,-20.230001,-4.935000
0.010,-2.288857,-2.964979,6.609912,18.480001,-20.230001,-4.935000
0.020,-1.380975,-1.607754,5.446905,18.480001,-20.230001,-4.935000
0.030,-1.380975,-1.607754,5.446905,18.480001,-20.230001,-4.935000
0.040,-1.085627,-1.548608,4.734850,18.480001,-20.230001,-4.935000
0.050,-1.085627,-1.548608,4.734850,18.480001,-20.230001,-4.935000
0.060,-0.780395,-1.275278,3.826187,18.480001,-20.230001,-4.935000
0.070,-0.780395,-1.275278,3.826187,18.480001,-20.230001,-4.935000
0.080,-0.850329,-0.868909,2.967097,18.480001,-20.230001,-4.935000
0.090,-0.850329,-0.868909,2.967097,18.480001,-20.230001,-4.935000
0.100,-0.590241,-0.808134,2.193634,18.480001,-20.230001,-4.935000
0.110,-0.590241,-0.808134,2.193634,18.480001,-20.230001,-4.935000
0.120,-0.546892,-0.780582,1.823860,18.480001,-20.230001,-4.935000
0.130,-0.546892,-0.780582,1.823860,18.480001,-20.230001,-4.935000
0.140,-0.368560,-0.593820,1.468664,18.480001,-20.230001,-4.935000
0.150,-0.368560,-0.593820,1.468664,18.480001,-20.230001,-4.935000
0.160,0.164838,-0.588062,1.259208,18.480001,-20.230001,-4.935000
0.170,0.164838,-0.588062,1.259208,18.480001,-20.230001,-4.935000
0.180,0.156770,-0.344036,1.105049,18.480001,-20.230001,-4.935000
0.190,0.156770,-0.344036,1.105049,18.480001,-20.230001,-4.935000
0.200,0.083278,-0.190953,0.897447,18.480001,-20.230001,-4.935000
0.210,0.083278,-0.190953,0.897447,18.480001,-20.230001,-4.935000
0.220,0.219852,-0.238954,0.779249,18.480001,-20.230001,-4.935000
0.230,0.219852,-0.238954,0.779249,18.480001,-20.230001,-4.935000
0.240,0.135659,-0.175840,0.562108,18.480001,-20.230001,-4.935000
0.250,0.135659,-0.175840,0.562108,18.480001,-20.230001,-4.935000
0.260,0.022336,-0.121518,0.405633,18.480001,-20.230001,-4.935000
0.270,0.022336,-0.121518,0.405633,18.480001,-20.230001,-4.935000
0.280,-0.007031,-0.133607,0.422190,18.480001,-20.230001,-4.935000
0.290,-0.007031,-0.133607,0.422190,18.480001,-20.230001,-4.935000
0.300,0.185911,-0.177754,0.423943,18.480001,-20.230001,-4.935000
0.310,0.185911,-0.177754,0.423943,18.480001,-20.230001,-4.935000
0.320,0.250243,-0.008128,0.387039,18.480001,-20.230001,-4.935000
0.330,0.250243,-0.008128,0.387039,18.480001,-20.230001,-4.935000
0.340,0.485583,0.024144,0.271324,18.480001,-20.230001,-4.935000
0.350,0.485583,0.024144,0.271324,18.480001,-20.230001,-4.935000
0.360,0.541696,0.040384,0.037015,18.480001,-20.230001,-4.935000
0.370,0.541696,0.040384,0.037015,18.480001,-20.230001,-4.935000
0.380,0.714915,-0.400565,-0.368783,1.785000,-3.465000,-1.435000
0.390,0.714915,-0.400565,-0.368783,1.785000,-3.465000,-1.435000
0.400,2.146359,-0.105931,-0.187767,1.785000,-3.465000,-1.435000
0.410,2.146359,-0.105931,-0.187767,1.785000,-3.465000,-1.435000
0.420,0.192459,0.037838,-0.075514,1.785000,-3.465000,-1.435000
0.430,0.192459,0.037838,-0.075514,1.785000,-3.465000,-1.435000
0.440,1.963984,-0.607545,0.881947,1.785000,-3.465000,-1.435000
0.450,1.963984,-0.607545,0.881947,1.785000,-3.465000,-1.435000
0.460,2.084504,-0.447729,1.561724,1.785000,-3.465000,-1.435000
0.470,2.084504,-0.447729,1.561724,1.785000,-3.465000,-1.435000
0.480,1.263462,0.323686,2.490533,1.785000,-3.465000,-1.435000
0.490,1.263462,0.323686,2.490533,1.785000,-3.465000,-1.435000
0.500,0.759857,0.536676,3.597499,1.785000,-3.465000,-1.435000
0.510,0.759857,0.536676,3.597499,1.785000,-3.465000,-1.435000
0.520,1.423830,0.454241,4.437104,1.785000,-3.465000,-1.435000
