time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.010,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.020,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.030,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.040,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.050,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.060,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.070,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.080,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.090,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.100,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.110,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.120,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.130,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.140,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.150,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.160,1.398214,-2.376963,7.510132,3.815000,-1.575000,0.525000
0.170,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.180,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.190,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.200,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.210,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.220,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.230,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.240,0.214520,0.375794,6.697636,3.815000,-1.575000,0.525000
0.250,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.260,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.270,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.280,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.290,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.300,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.310,0.214520,0.375794,6.697636,12.075000,10.570000,-50.820002
0.320,-0.343616,-1.382968,3.427424,12.075000,10.570000,-50.820002
0.330,-0.343616,-1.382968,3.427424,12.075000,10.570000,-50.820002
