time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.010,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.020,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.030,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.040,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.050,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.060,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.070,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.080,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.090,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.100,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.110,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.120,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.130,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.140,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.150,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.160,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.170,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.180,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.190,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.200,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.210,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.220,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.230,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.240,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.250,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.260,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.270,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.280,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.290,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.300,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.310,1.241154,-5.192545,10.070970,19.005000,-21.595001,-22.050000
0.320,9.119801,2.051735,-2.617533,19.005000,-21.595001,-22.050000
0.330,9.119801,2.051735,-2.617533,19.005000,-21.595001,-22.050000
0.340,9.119801,2.051735,-2.617533,19.005000,-21.595001,-22.050000
0.350,9.119801,2.051735,-2.617533,19.005000,-21.595001,-22.050000
0.360,9.119801,2.051735,-2.617533,19.005000,-21.595001,-22.050000
