time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.900039,-5.192545,9.979033,16.695001,-23.940001,-3.640000
0.010,1.900039,-5.192545,9.979033,16.695001,-23.940001,-3.640000
0.020,1.900039,-5.192545,9.979033,16.695001,-23.940001,-3.640000
0.030,1.900039,-5.192545,9.979033,16.695001,-23.940001,-3.640000
0.040,5.881309,-3.227001,8.283938,16.695001,-23.940001,-3.640000
0.050,5.881309,-3.227001,8.283938,16.695001,-23.940001,-3.640000
0.060,-0.062288,-3.589081,7.400957,16.695001,-23.940001,-3.640000
0.070,-0.436733,-3.658478,7.378355,16.695001,-23.940001,-3.640000
0.080,-0.436733,-3.658478,7.378355,16.695001,-23.940001,-3.640000
0.090,-0.979540,-2.369412,6.981032,16.695001,-23.940001,-3.640000
0.100,-0.979540,-2.369412,6.981032,16.695001,-23.940001,-3.640000
0.110,-0.595927,-1.355398,6.387363,16.695001,-23.940001,-3.640000
0.120,-0.595927,-1.355398,6.387363,16.695001,-23.940001,-3.640000
0.130,-0.595927,-1.355398,6.387363,16.695001,-23.940001,-3.640000
0.140,0.157243,-0.199421,5.008375,16.695001,-23.940001,-3.640000
0.150,0.157243,-0.199421,5.008375,16.695001,-23.940001,-3.640000
0.160,-0.414337,0.928388,3.340155,16.695001,-23.940001,-3.640000
0.170,-2.129994,1.796159,0.678233,16.695001,-23.940001,-3.640000
0.180,-2.129994,1.796159,0.678233,16.695001,-23.940001,-3.640000
0.190,-4.203542,2.997947,-0.056922,16.695001,-23.940001,-3.640000
0.200,-4.203542,2.997947,-0.056922,16.695001,-23.940001,-3.640000
0.210,-5.186258,3.606950,-1.593149,16.695001,-23.940001,-3.640000
0.220,-5.186258,3.606950,-1.593149,16.695001,-23.940001,-3.640000
0.230,-5.186258,3.606950,-1.593149,16.695001,-23.940001,-3.640000
0.240,-3.195156,3.975401,-3.113267,16.695001,-23.940001,-3.640000
0.250,-3.195156,3.975401,-3.113267,16.695001,-23.940001,-3.640000
0.260,0.608052,2.753195,-6.325167,16.695001,-23.940001,-3.640000
0.270,5.966291,1.501534,-11.876904,16.695001,-23.940001,-3.640000
0.280,5.966291,1.501534,-11.876904,16.695001,-23.940001,-3.640000
0.290,9.638050,0.530851,-13.650196,16.695001,-23.940001,-3.640000
0.300,9.638050,0.530851,-13.650196,16.695001,-23.940001,-3.640000
0.310,10.091235,-3.913613,-9.700072,16.695001,-23.940001,-3.640000
0.320,10.091235,-3.913613,-9.700072,16.695001,-23.940001,-3.640000
0.330,10.091235,-3.913613,-9.700072,16.695001,-23.940001,-3.640000
0.340,10.101355,-10.491624,-9.267447,16.695001,-23.940001,-3.640000
0.350,10.101355,-10.491624,-9.267447,16.695001,-23.940001,-3.640000
0.360,8.211329,-14.823167,-9.813905,16.695001,-23.940001,-3.640000
0.370,3.456600,-18.217534,-9.004172,16.695001,-23.940001,-3.640000
0.380,3.456600,-18.217534,-9.004172,16.695001,-23.940001,-3.640000
0.390,-2.563255,-19.538642,-3.091057,-330.819994,-110.880000,-259.385012
0.400,-2.563255,-19.538642,-3.091057,-330.819994,-110.880000,-259.385012
0.410,-12.847496,-12.913018,-0.494277,-330.819994,-110.880000,-259.385012
0.420,-12.847496,-12.913018,-0.494277,-330.819994,-110.880000,-259.385012
0.430,-12.847496,-12.913018,-0.494277,-330.819994,-110.880000,-259.385012
0.440,-21.095957,-1.920062,-3.310601,-330.819994,-110.880000,-259.385012
0.450,-21.095957,-1.920062,-3.310601,-330.819994,-110.880000,-259.385012
0.460,-17.621842,-0.103359,-6.373859,-330.819994,-110.880000,-259.385012
0.470,-1.961744,-0.814355,-5.526213,-330.819994,-110.880000,-259.385012
0.480,-1.961744,-0.814355,-5.526213,-330.819994,-110.880000,-259.385012
0.490,-4.972992,3.974114,0.304226,-330.819994,-110.880000,-259.385012
