time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.010,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.020,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.030,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.040,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.050,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.060,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.070,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.080,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.090,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.100,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.110,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.120,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.130,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.140,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.150,1.476744,-1.078348,6.891470,20.300000,-4.620000,7.980000
0.160,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.170,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.180,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.190,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.200,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.210,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.220,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.230,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.240,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.250,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.260,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.270,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
0.280,0.551241,-3.940665,3.977056,20.300000,-4.620000,7.980000
