time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-0.882982,-3.171838,8.199662,21.490000,-9.170000,11.620000
0.010,-0.882982,-3.171838,8.199662,21.490000,-9.170000,11.620000
0.020,1.620779,-2.690699,7.187968,21.490000,-9.170000,11.620000
0.030,1.620779,-2.690699,7.187968,21.490000,-9.170000,11.620000
0.040,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.050,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.060,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.070,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.080,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.090,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.100,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.110,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.120,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.130,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.140,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.150,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.160,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.170,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.180,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.190,4.363116,-3.382222,6.723378,21.490000,-9.170000,11.620000
0.200,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.210,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.220,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.230,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.240,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.250,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.260,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.270,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.280,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.290,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.300,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.310,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.320,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.330,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.340,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.350,-4.326096,-3.372323,-1.742611,21.490000,-9.170000,11.620000
0.360,-2.993529,-21.133212,-13.978013,21.490000,-9.170000,11.620000
0.370,-2.993529,-21.133212,-13.978013,21.490000,-9.170000,11.620000
0.380,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.390,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.400,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.410,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.420,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.430,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.440,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.450,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.460,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.470,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.480,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.490,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.500,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.510,-2.993529,-21.133212,-13.978013,-172.899996,41.370002,-58.730003
0.520,16.067345,-46.763222,12.376534,-172.899996,41.370002,-58.730003
0.530,16.067345,-46.763222,12.376534,-172.899996,41.370002,-58.730003
0.540,16.067345,-46.763222,12.376534,-172.899996,41.370002,-58.730003
0.550,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.560,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.570,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.580,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.590,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.600,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.610,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.620,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.630,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.640,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.650,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.660,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.670,16.067345,-46.763222,12.376534,-366.800010,439.635016,-521.989995
0.680,-16.658012,-19.988450,7.485956,-366.800010,439.635016,-521.989995
0.690,-16.658012,-19.988450,7.485956,-366.800010,439.635016,-521.989995
0.700,-16.658012,-19.988450,7.485956,-366.800010,439.635016,-521.989995
0.710,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.720,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.730,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.740,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.750,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.760,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.770,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.780,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.790,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.800,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.810,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.820,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.830,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.840,-16.658012,-19.988450,7.485956,514.185001,376.880003,231.455003
0.850,29.081605,10.521671,-23.502054,514.185001,376.880003,231.455003
0.860,29.081605,10.521671,-23.502054,514.185001,376.880003,231.455003
0.870,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.880,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.890,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.900,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.910,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.920,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.930,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.940,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.950,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.960,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.970,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.980,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
0.990,29.081605,10.521671,-23.502054,269.114999,283.605000,335.195003
1.000,4.525390,12.918436,7.017428,269.114999,283.605000,335.195003
1.010,4.525390,12.918436,7.017428,269.114999,283.605000,335.195003
1.020,4.525390,12.918436,7.017428,269.114999,283.605000,335.195003
1.030,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.040,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.050,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.060,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.070,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.080,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.090,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.100,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.110,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.120,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.130,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.140,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.150,4.525390,12.918436,7.017428,20.020000,142.135007,76.019999
1.160,-10.273719,11.893853,5.575635,20.020000,142.135007,76.019999
1.170,-10.273719,11.893853,5.575635,20.020000,142.135007,76.019999
1.180,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.190,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.200,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.210,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.220,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.230,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.240,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.250,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.260,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
1.270,-10.273719,11.893853,5.575635,-21.839999,80.535000,42.840002
