time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-2.032198,-2.020706,7.029376,8.925001,-29.574999,2.205000
0.010,-2.032198,-2.020706,7.029376,8.925001,-29.574999,2.205000
0.020,3.476764,-0.930866,5.669470,8.925001,-29.574999,2.205000
0.030,3.476764,-0.930866,5.669470,8.925001,-29.574999,2.205000
0.040,1.429166,-1.146918,4.734773,8.925001,-29.574999,2.205000
0.050,1.429166,-1.146918,4.734773,8.925001,-29.574999,2.205000
0.060,0.790906,-0.865820,3.500515,8.925001,-29.574999,2.205000
0.070,0.790906,-0.865820,3.500515,8.925001,-29.574999,2.205000
0.080,0.776377,-1.171496,3.227537,8.925001,-29.574999,2.205000
0.090,0.776377,-1.171496,3.227537,8.925001,-29.574999,2.205000
0.100,0.149923,-1.155548,2.583945,8.925001,-29.574999,2.205000
0.110,0.149923,-1.155548,2.583945,8.925001,-29.574999,2.205000
0.120,-0.833912,-0.849740,2.172501,8.925001,-29.574999,2.205000
0.130,-0.833912,-0.849740,2.172501,8.925001,-29.574999,2.205000
0.140,-0.690114,-0.959434,1.780139,8.925001,-29.574999,2.205000
0.150,-0.690114,-0.959434,1.780139,8.925001,-29.574999,2.205000
0.160,0.018687,-1.388124,1.155961,8.925001,-29.574999,2.205000
0.170,0.018687,-1.388124,1.155961,8.925001,-29.574999,2.205000
0.180,0.436329,-1.367158,-0.082712,8.925001,-29.574999,2.205000
0.190,0.436329,-1.367158,-0.082712,8.925001,-29.574999,2.205000
0.200,-0.300244,-1.237378,-1.270932,8.925001,-29.574999,2.205000
0.210,-0.300244,-1.237378,-1.270932,8.925001,-29.574999,2.205000
0.220,-0.343625,-2.723305,-1.690953,8.925001,-29.574999,2.205000
0.230,-0.343625,-2.723305,-1.690953,8.925001,-29.574999,2.205000
0.240,-0.343625,-2.723305,-1.690953,8.925001,-29.574999,2.205000
0.250,-1.636722,-6.620367,-2.172537,8.925001,-29.574999,2.205000
0.260,-4.327987,-9.335791,-4.137977,8.925001,-29.574999,2.205000
0.270,-4.327987,-9.335791,-4.137977,8.925001,-29.574999,2.205000
0.280,-7.657031,-9.246088,-9.994993,8.925001,-29.574999,2.205000
0.290,-7.657031,-9.246088,-9.994993,8.925001,-29.574999,2.205000
0.300,-9.785881,-9.559314,-14.144304,8.925001,-29.574999,2.205000
0.310,-9.785881,-9.559314,-14.144304,8.925001,-29.574999,2.205000
0.320,-8.841930,-10.392164,-15.805050,8.925001,-29.574999,2.205000
0.330,-8.841930,-10.392164,-15.805050,8.925001,-29.574999,2.205000
0.340,-3.689101,-11.679020,-12.515711,8.925001,-29.574999,2.205000
