time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-0.293050,-1.993891,7.801266,20.545001,10.885000,21.035000
0.010,-0.293050,-1.993891,7.801266,20.545001,10.885000,21.035000
0.020,-0.293050,-1.993891,7.801266,20.545001,10.885000,21.035000
0.030,-0.293050,-1.993891,7.801266,20.545001,10.885000,21.035000
0.040,1.071836,-1.780903,6.378920,20.545001,10.885000,21.035000
0.050,1.071836,-1.780903,6.378920,20.545001,10.885000,21.035000
0.060,1.071836,-1.780903,6.378920,20.545001,10.885000,21.035000
0.070,2.521918,-1.340447,5.011199,20.545001,10.885000,21.035000
0.080,2.521918,-1.340447,5.011199,20.545001,10.885000,21.035000
0.090,1.598070,-1.338592,3.710162,20.545001,10.885000,21.035000
0.100,1.037121,-1.134081,2.803409,20.545001,10.885000,21.035000
0.110,1.037121,-1.134081,2.803409,20.545001,10.885000,21.035000
0.120,1.037121,-1.134081,2.803409,20.545001,10.885000,21.035000
0.130,0.622837,-1.372698,2.208251,20.545001,10.885000,21.035000
0.140,0.659160,-1.178603,1.624864,20.545001,10.885000,21.035000
0.150,0.659160,-1.178603,1.624864,20.545001,10.885000,21.035000
0.160,0.669065,-1.352770,1.552718,20.545001,10.885000,21.035000
0.170,0.669065,-1.352770,1.552718,20.545001,10.885000,21.035000
0.180,0.878102,-1.538072,1.646316,20.545001,10.885000,21.035000
0.190,0.878102,-1.538072,1.646316,20.545001,10.885000,21.035000
0.200,0.053174,-1.425824,1.567965,20.545001,10.885000,21.035000
0.210,0.053174,-1.425824,1.567965,20.545001,10.885000,21.035000
0.220,-1.148816,-1.686538,1.187334,20.545001,10.885000,21.035000
0.230,-1.148816,-1.686538,1.187334,20.545001,10.885000,21.035000
0.240,-2.087423,-2.467801,0.432720,20.545001,10.885000,21.035000
0.250,-2.087423,-2.467801,0.432720,20.545001,10.885000,21.035000
0.260,-5.092689,-3.880025,-0.592351,20.545001,10.885000,21.035000
0.270,-5.092689,-3.880025,-0.592351,20.545001,10.885000,21.035000
0.280,-5.367020,-4.883391,-2.303051,20.545001,10.885000,21.035000
0.290,-5.367020,-4.883391,-2.303051,20.545001,10.885000,21.035000
0.300,-4.646043,-4.387468,-3.617981,20.545001,10.885000,21.035000
0.310,-4.646043,-4.387468,-3.617981,20.545001,10.885000,21.035000
0.320,-5.660926,-3.105834,-6.520164,20.545001,10.885000,21.035000
0.330,-5.660926,-3.105834,-6.520164,20.545001,10.885000,21.035000
0.340,-6.568601,-0.868102,-9.931751,20.545001,10.885000,21.035000
0.350,-6.568601,-0.868102,-9.931751,20.545001,10.885000,21.035000
0.360,-4.425529,-0.238625,-10.452608,20.545001,10.885000,21.035000
0.370,-4.425529,-0.238625,-10.452608,20.545001,10.885000,21.035000
0.380,-0.230679,-2.286306,-9.833084,20.545001,10.885000,21.035000
0.390,-0.230679,-2.286306,-9.833084,20.545001,10.885000,21.035000
0.400,3.330145,-5.004714,-7.933505,-112.489999,92.434999,-106.400004
0.410,3.330145,-5.004714,-7.933505,-112.489999,92.434999,-106.400004
0.420,3.748211,-7.972400,-6.015447,-112.489999,92.434999,-106.400004
0.430,3.748211,-7.972400,-6.015447,-112.489999,92.434999,-106.400004
0.440,0.646505,-11.022671,-0.577493,-112.489999,92.434999,-106.400004
0.450,0.646505,-11.022671,-0.577493,-112.489999,92.434999,-106.400004
0.460,-0.572637,-13.231130,3.799684,-112.489999,92.434999,-106.400004
0.470,-0.572637,-13.231130,3.799684,-112.489999,92.434999,-106.400004
0.480,-0.661138,-12.391090,5.901297,-112.489999,92.434999,-106.400004
