time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.010,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.020,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.030,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.040,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.050,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.060,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.070,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.080,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.090,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.100,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.110,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.120,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.130,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.140,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.150,-1.283292,-7.755298,-0.427126,-4.060000,-94.254999,18.935000
0.160,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.170,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.180,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.190,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.200,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.210,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.220,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.230,2.589569,-11.341238,1.100567,-4.060000,-94.254999,18.935000
0.240,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.250,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.260,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.270,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.280,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.290,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.300,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.310,2.589569,-11.341238,1.100567,-195.475001,102.900003,-124.950005
0.320,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.330,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.340,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.350,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.360,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.370,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.380,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.390,-0.521744,-6.747742,-0.201726,-195.475001,102.900003,-124.950005
0.400,-0.521744,-6.747742,-0.201726,-76.965003,-201.250008,-140.734996
0.410,-0.521744,-6.747742,-0.201726,-76.965003,-201.250008,-140.734996
