time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.01,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.02,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.03,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.04,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.05,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.06,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.07,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.08,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.09,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.1,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.11,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.12,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.13,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.14,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.15,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.16,1.976653,-2.679591,7.276458,7.28,-2.975,-27.195001
0.17,1.449354,-3.330382875,6.5309515000000005,7.28,-2.975,-27.195001
0.18,0.9879673750000001,-3.899825765625,5.878633312500001,7.28,-2.975,-27.195001
0.19,0.5842540781250001,-4.398088294921875,5.307854898437501,7.28,-2.975,-27.195001
0.2,0.23100494335937505,-4.83406800805664,4.808423786132814,7.28,-2.975,-27.195001
0.21,-0.07808804956054682,-5.21555025704956,4.371421562866213,7.28,-2.975,-27.195001
0.22,-0.34854441836547845,-5.549347224918365,3.989044617507936,7.28,-2.975,-27.195001
0.23,-0.5851937410697936,-5.841419571803569,3.654464790319444,7.28,-2.975,-27.195001
0.24,-0.7922618984360694,-6.0969828753281226,3.3617074415295134,7.28,-2.975,-27.195001
0.25,-0.9734465361315607,-6.320600765912107,3.105544761338324,7.28,-2.975,-27.195001
0.26,-1.1319830941151157,-6.5162664201730935,2.8814024161710337,7.28,-2.975,-27.195001
0.27,-1.2707025823507263,-6.687473867651456,2.685277864149654,7.28,-2.975,-27.195001
0.28,-1.3920821345568855,-6.837280384195024,2.5136688811309473,7.28,-2.975,-27.195001
0.29,-1.498289242737275,-6.9683610861706455,2.363511020989579,7.28,-2.975,-27.195001
0.3,-1.5912204623951154,-7.083056700399315,2.2321228933658817,7.28,-2.975,-27.195001
0.31,-1.672535279595726,-7.1834153628494,2.1171582816951466,7.28,-2.975,-27.195001
